keyword,weight
coffee,19.6214
good coffee,11.8059
sandwich,7.9036
cafe,5.9559999999999995
friendly staff,3.2645999999999997
nice,3.2029
avocado toast,3.0967000000000002
good,2.9402
tasty,2.7398
food,2.4617999999999998
coffee good,2.3898
great coffee,2.3608000000000002
turkey sandwich,2.3353
coffee great,2.3316
tasty sandwich,2.3194
local cafe,2.1523
sandwich good,2.146
free wifi,2.0173
breakfast,1.9624000000000001
lunch,1.8349000000000002
good service,1.8281
tasty coffee,1.7335
baked good,1.7308000000000001
delicious,1.6751
earth,1.6049
great,1.5939
great breakfast,1.5755
coffee friendly,1.5654
awesome sandwich,1.5550000000000002
food good,1.5394
breakfast sandwich,1.5310000000000001
food coffee,1.5057
blueberry muffin,1.4994999999999998
breakfast food,1.4238
coffee shop,1.4131
small cafe,1.3505
sandwich great,1.3392
food great,1.3346
good food,1.3034
slow,1.3014000000000001
tasty food,1.2894
place,1.2803
cafe nice,1.2699
great food,1.2593999999999999
scone,1.2494
cafe great,1.2491
slow service,1.2462
coffee free,1.232
black coffee,1.2245
great cafe,1.224
oven,1.2209
avocado,1.1802000000000001
good place,1.1789
sunny,1.1755
coffee atmosphere,1.163
jazz,1.1614
live jazz,1.138
coffee average,1.137
read,1.1277
biscuit,1.1124
blueberry,1.1118000000000001
quiet,1.0986
wifi,1.0459999999999998
delicious food,1.0455999999999999
best,1.0394
overpriced,1.0371000000000001
coffee really,1.014
nice cafe,1.0
never,1.0
egg mcmercury,1.0
lovely place,1.0
outstanding,1.0
funky,1.0
always delicious,1.0
cosmic,1.0
scone delicious,1.0
beautiful,1.0
super,1.0
great tuna,1.0
nice earth,1.0
absolutely magic,0.9818
neighborhood cafe,0.9793
great music,0.9746
bit slow,0.9712000000000001
friday night,0.9624999999999999
staff friendly,0.9607
service slow,0.9487
gave wanted,0.9461
coffee get,0.9434
latte,0.9409
lovely,0.9313
sufficient sunlight,0.9244
jazz friday,0.9191
best coffee,0.916
wanted,0.9085
favorite cafe,0.9046
homemade love,0.9025
earth like,0.9019
delicious pie,0.8985
bagel coffee,0.8963
egg,0.8929
like good,0.8803
lunch tasty,0.8793
coffee quiet,0.8785
read book,0.877
sit laptop,0.8701
latte sandwich,0.8692
best scone,0.8602
great service,0.8575999999999999
inexpensive tasty,0.8533
much control,0.8514
food unless,0.8501
quick lunch,0.8442
corner coffee,0.8401
breakfast piano,0.8381
love coffee,0.838
coffee breakfast,0.8368
sunlight,0.834
sandwich delicious,0.8313
tuna,0.8306
magic,0.8282
coffee service,0.8246
breakfast place,0.8217
love place,0.8196
comment coffee,0.8175
spot lunch,0.8162
biscuit delicious,0.8162
great bagel,0.8155
almond latte,0.8019
sunlight space,0.7988
gave,0.7971
mozzarella sandwich,0.7942
great scone,0.7913
mcmercury,0.7907
sandwich ok,0.7898000000000001
pleasant sandwich,0.7877
sit work,0.7868
beef sandwich,0.7836
sunny patio,0.7825
roast beef,0.779
control att,0.7782
coffee food,0.7774
love,0.7744
biscuits tomato,0.7722
great sandwich,0.7698
coffee nice,0.7643
cute caf,0.7637
enjoy coffee,0.7636
like coffee,0.7598
hot oven,0.7587
best cappuccino,0.7572
outside food,0.7567
lukasz really,0.754
sandwich decent,0.7538
laptop,0.7527
space suitable,0.7527
book,0.7499
like,0.7495
sandwich got,0.7484
nice time,0.7467
bread delicious,0.7467
supporting homemade,0.746
salad lovely,0.7457
got coffee,0.7419
delicious coffee,0.7408
decent sandwich,0.7381
overpriced food,0.7372
vanilla latte,0.7369
sit sunny,0.7362
latte avocado,0.7349
greatest bacon,0.7313
delicious avocado,0.7285
sandwich friendly,0.7278
scone toast,0.7269
fast wifi,0.7253
local business,0.7251
control,0.7244
siteseeing coffee,0.7236
favorite breakfast,0.7223
served salad,0.7223
study get,0.7216
decent coffee,0.7209
always,0.7177
really much,0.7173
place sit,0.7169
scone city,0.7166
unless pay,0.7165
ambiance coffee,0.715
cafe hayes,0.7138
work read,0.7138
food biscuit,0.7135
jazz wednesday,0.7134
want wake,0.7088
sandwich excellent,0.7074
quiet cafe,0.7068
service tasty,0.705
nice coffee,0.7034
wifi decent,0.7032
place study,0.7026
go cafe,0.7011
food honestly,0.7006
great patio,0.7002
coffee place,0.6998
place absolutely,0.6986
time food,0.6967
disappointing service,0.6946
cheese avocado,0.694
good sandwich,0.6939
lovely indoor,0.6931
service nice,0.6911
reading cute,0.688
bread breakfast,0.6862
chat friend,0.6843
almond,0.6835
get away,0.6819
study,0.6811
coffee excellent,0.6797
pay something,0.6788
absolutely,0.6785
work chat,0.6781
pie baked,0.6781
small local,0.6772
excellent breakfast,0.6765
homemade,0.6757
specialty coffee,0.6753
coffee little,0.6751
tasty friendly,0.6749
quiet place,0.6748
staff nice,0.6747
croissant sandwich,0.6745
good breakfast,0.6744
vegan gluten,0.6721
thinking working,0.6712
stale tasteless,0.6705
homemade bread,0.6687
coffee plenty,0.6675
owner nice,0.6665
best biscuit,0.6647
great tasting,0.6644
biscuit fresh,0.6638
cappuccino food,0.6611
sandwich bread,0.6605
great latte,0.6594
solid sandwich,0.6591
service overpriced,0.6584
loved latte,0.658
vibe vanilla,0.6577
snobby rude,0.6572
coffee sit,0.6571
enjoyed mocha,0.657
apple pie,0.6568
inexpensive,0.6546
friendly service,0.6545
good vibe,0.6533
coffee yummy,0.6531
cafe good,0.6525
employee owned,0.6498
origin coffee,0.6496
coffee selection,0.6489
coffee mediocre,0.6483
straight oven,0.6483
mcmercury coffee,0.6477
jazz performance,0.6463
salad iced,0.6461
vegan option,0.6455
vibe good,0.6436
wish vegan,0.6428
coffee wifi,0.6425
window sunny,0.6403
best pie,0.639
place read,0.6384
scone employee,0.6379
impressively slow,0.6377
sit,0.6377
community cafe,0.6371
vibrantly tasty,0.6356
cafe near,0.6349
caf great,0.6347
warm cozy,0.6346
little dirty,0.6346
server rarely,0.6341
bagel,0.6333
grudgy good,0.6293
butter jam,0.6266
piano want,0.6263
location sit,0.6262
fine toast,0.6262
tea good,0.6236
toast scrumptious,0.6235
eat nice,0.6232
biscuit especially,0.6225
lovely food,0.6215
coffee superb,0.6189
cafe menu,0.6184
shop,0.6182
great friendly,0.6179
fresh coffee,0.6175
lovely cafe,0.6168
coffee turkey,0.6168
great place,0.6166
rude others,0.616
quiet trendy,0.6146
soup salad,0.6124
inside lovely,0.6114
sunny day,0.6107
tasting coffee,0.6102
beef,0.6098
average overpriced,0.6097
great corner,0.6094
food disposable,0.6092
coffee bit,0.6092
regularly vegan,0.6088
extremely slow,0.6087
wake,0.6086
owned,0.6081
neighborhood coffee,0.6063
tomato cheese,0.6062
delicious friend,0.6062
delicious sun,0.6046
latte really,0.6037
local,0.6029
bake bread,0.6029
lived nearby,0.6026
coffee relaxed,0.6019
remote worker,0.6012
sipped coffee,0.6008
iced coffee,0.6007
service fantastic,0.5987
vanilla,0.598
bread biscuit,0.5971
caprese sandwich,0.5955
service delicious,0.5952
done roast,0.5936
avocado croissant,0.5934
toast patio,0.5934
favorite coffee,0.5929
wait lousy,0.5927
meet friend,0.5924
baked,0.5904
drinking coffee,0.5902
bacon egg,0.5899
delivered coffee,0.5898
tomato poached,0.5894
lousy substitution,0.589
great spot,0.5887
good cappuccino,0.5876
pastry lovely,0.587
chai good,0.5864
salt chocolate,0.5853
danced couple,0.5848
oven plus,0.5846
breakfast biscuit,0.5842
sandwich egg,0.5838
breakfast sf,0.5828
shop tasty,0.5818
rude waiter,0.5817
slow avocado,0.5812
breakfast lunch,0.5808
cold bread,0.5804
city,0.5798
real tea,0.5791
casually meet,0.5788
salad,0.5785
sandwich though,0.5779
waiting sandwich,0.5773
coffee delicious,0.5766
indoor seating,0.5761
rude coffee,0.576
sf cafe,0.5759
toast jam,0.5759
breakfast dish,0.572
going often,0.5702
bit stale,0.5696
cookie coffee,0.5696
place delicious,0.5689
jam toast,0.5679
coffee enjoyed,0.5674
menu decent,0.5661
order delicious,0.5659
ordering sandwiches,0.5653
friendly,0.5646
cafe friendly,0.5642
cozy free,0.5639
option great,0.5627
cute quiet,0.5621
free internet,0.5613
sandwich owner,0.5608
coffees good,0.5605
heartily cafe,0.5594
slow well,0.5592
outlet friendly,0.5589
microfoam cappuccino,0.5587
service slight,0.5586
sandwich world,0.5581
cafe lots,0.5555
business thing,0.5555
solid jazz,0.5539
blueberry delicious,0.5531
vibe,0.5528
coffee refills,0.5524
mcmercury sandwich,0.5495
dripped coffee,0.547
cafe actually,0.547
lots option,0.5453
laptop fridays,0.5415
fresh hot,0.5413
yummy strawberry,0.5408
nice vibe,0.5402
great microfoam,0.538
space good,0.5353
cute,0.5345
disappointing,0.5335
relaxed saturday,0.5333
lemonade worst,0.5332
really disappointing,0.5325
bad good,0.5324
fresh baked,0.5319
toast iced,0.5315
really snobby,0.5315
biscuit town,0.5307
better sandwich,0.5306
huge sandwich,0.5305
cooked cake,0.53
really bad,0.5299
really good,0.5296
coffee watched,0.5293
snobby,0.5279
cozy chill,0.5277
comfortable chair,0.5267
food server,0.5265
sorry ever,0.5255
san francisco,0.5254
recommend wifi,0.525
blueberry lemon,0.5241
cappuccino san,0.5234
laptopping friend,0.5218
pour coffee,0.5202
francisco bonus,0.5194
cappuccino,0.519
biscuit inevitably,0.5187
got apple,0.5186
sit conversation,0.5178
cafe full,0.5173
soy milk,0.5153
butter,0.515
delicious blue,0.5144
good yogurt,0.5135
hour google,0.5127
