keyword,weight
coffee,11.4878
great coffee,10.858
thank,6.5118
coffee shop,5.7623999999999995
coffee pastry,4.9428
good coffee,4.4635
pastry,4.2107
thank much,3.4228
lavender latte,3.2281
thank coming,3.1675
best coffee,2.8368
mission blue,2.6859
happy,2.3285
thanks coming,2.1470000000000002
thank support,2.1021
nice,2.0944000000000003
love,2.093
nice meet,2.0634
coming happy,1.8696000000000002
latte delicious,1.7749
local artist,1.762
drink pastry,1.7088999999999999
tea,1.6823
coming,1.655
kind review,1.6472
much,1.6234
local coffee,1.6148
kind word,1.6146
coffee owner,1.6019
appreciate kind,1.5903
gem,1.558
lavender,1.5377
stopping nice,1.5358
support,1.5121
back soon,1.5087000000000002
thanks,1.4918
cute cafe,1.4339
excellent coffee,1.431
neighborhood gem,1.4277
hope,1.4047999999999998
great shop,1.3571
coffee amazing,1.3013
see soon,1.2847
good,1.2703
delicious coffee,1.2395999999999998
pastry also,1.2056
owner friendly,1.1836000000000002
iced coffee,1.1741000000000001
coffee great,1.1195
blue,1.105
cup coffee,1.0869
copper bracelet,1.044
free wifi,1.0413999999999999
coffee gift,1.0295
legit,1.0
love place,1.0
hidden gem,1.0
neighborhood coffee,0.9953000000000001
great drink,0.9763
iced lavender,0.9654
love tea,0.9618
tea good,0.958
tea thank,0.9232
hub neighbourhood,0.9201
coffee drink,0.9103000000000001
love love,0.9101999999999999
shop cafe,0.8991
little coffee,0.8853
awesome coffee,0.8853
coffee tea,0.882
iced mocha,0.8814
coffee fun,0.8806
real hub,0.8799
nice coffee,0.877
happy thanksgiving,0.8736
paula thank,0.8721
guy thank,0.8719
coming support,0.8689
hidden,0.8632
good ppl,0.8594
vincent appreciate,0.8455
coffee good,0.8418
happy new,0.8398
enjoyed lavender,0.8347
see morning,0.832
coming appreciate,0.8307
ppl working,0.8265
great place,0.817
place good,0.8149
hope come,0.8141
fantastic place,0.8077
addition visitacion,0.8054
neighborhood,0.8034
valley greenway,0.7977000000000001
morning,0.7939
coffee charming,0.7901
tasty coffee,0.7851
coming chelsea,0.7842
hub,0.7841
new year,0.7832
like tea,0.7824
nice met,0.7813
excellent cappuccino,0.7757
visitacion valley,0.7738
chelsea,0.7662
great addition,0.7655
breakfast baverages,0.7578
coffee love,0.7564
coffee delicious,0.7558
get breakfast,0.754
amazing staff,0.7528
great menu,0.7512
pastry friendly,0.7506
nice cafe,0.7494
coffee staff,0.748
thank stopping,0.744
neighbourhood,0.7432
soon,0.7409
loved vanilla,0.7379
cafe nice,0.7332
visitacion,0.7284
blueberry muffin,0.7283
review hope,0.7267
real,0.7226
cappuccino worth,0.722
met guy,0.7163
pastry disappointment,0.7154
breakfast,0.7129
chai pastry,0.7123
cafe,0.7121999999999999
owner fantastic,0.7115
coffee around,0.711
vegan blueberry,0.7107
worth driving,0.709
place great,0.7042
shop featuring,0.7041
enjoy book,0.6995
stopping hope,0.6995
owner welcoming,0.6971
loved breakfast,0.6969
allie happy,0.6958
place,0.6928
pastry matched,0.6925
croissant coffee,0.6914
mocha perfect,0.6893
fantastic,0.6889
tasty matcha,0.6865
cheese croissant,0.6845
sf thank,0.6829
got iced,0.6813
funan thank,0.6799
support looking,0.679
thanks stopping,0.6778
love people,0.6767
drink,0.6766
artist creator,0.6741
service always,0.6717
lavender flower,0.6647
oil long,0.6622
come back,0.6582
iced oatmilk,0.6567
coffee winter,0.6566
valley community,0.6547
best motor,0.6514
vanilla latte,0.6498
thank kind,0.6491
iced,0.6476
cute decoration,0.6416
quickly closing,0.6414
review happy,0.6405
friendly employee,0.6375
review nice,0.6366
shop,0.6327
