keyword,weight
thank feedback,1.0
nice food,0.9475
thank,0.9342
food great,0.9108
awesome food,0.8904
burger soup,0.8846
food healthy,0.8585
people nice,0.8265
feedback,0.8085
try cheesecake,0.8061
stale cheese,0.7952
hot sandwich,0.7927
tange burger,0.788
beef sandwich,0.7791
burger,0.7552
sandwich hot,0.7466
cheesecake oh,0.7404
pork chops,0.7357
cheesecake,0.7299
bbq pork,0.7295
cold chicken,0.7263
chicken fresh,0.7213
coffee cake,0.7057
pork beef,0.6787
nice,0.6716
healthy well,0.6696
meals include,0.6694
sandwich bbq,0.6645
best smoothie,0.6623
smoothie best,0.6596
meat chicken,0.6594
type sandwich,0.6588
chops rice,0.656
food,0.6492
healthy,0.6434
chicken rice,0.6433
cheese bagel,0.6372
sandwich,0.6238
place awesome,0.6211
freshly made,0.6057
soup,0.5969
sandwich want,0.5948
burnt stale,0.5871
cake ask,0.573
option bread,0.571
pork,0.5684
bubble tea,0.5503
tea super,0.5477
went smoothie,0.5462
smoothie,0.5226
rice good,0.5132
cheese,0.5056
careful meat,0.4952
bagel purchase,0.4802
boba tea,0.4759
smoothie keep,0.4716
tea,0.4552
flavor bland,0.4357
starbucks trip,0.4334
thai boba,0.3964
lacking flavor,0.3877
ending starbucks,0.3798
overpriced average,0.3596
got thai,0.3561
vietnamese coffee,0.3545
black coffee,0.3412
manager offered,0.3382
tea found,0.3369
starbucks,0.3368
super overpriced,0.3138
food quality,0.2996
good food,0.296
rarely price,0.2775
