keyword,weight
breakfast,92.0421
food,51.5312
great food,27.6668
great breakfast,22.0375
coffee,21.8644
good,19.8268
great,19.0655
good food,17.9579
good breakfast,16.2169
delicious,14.9006
breakfast burrito,13.2212
place breakfast,11.024
good coffee,10.582699999999999
delicious food,9.7971
pancake,9.4863
sandwich,8.8879
delicious breakfast,8.8236
food great,8.6156
food good,8.0708
lunch,7.9298
nice,7.49
best breakfast,7.4439
friendly staff,7.28
corned beef,7.2374
egg benedict,7.2148
cafe,7.1811
great coffee,6.9834
pancake combo,6.5832
beef hash,6.4567
nice breakfast,6.3557999999999995
place,6.308199999999999
expensive,6.2261999999999995
excellent breakfast,6.2073
great service,6.1082
excellent food,5.9621
tasty,5.853
salmon,5.7773
breakfast lunch,5.6998999999999995
breakfast sandwich,5.6421
breakfast food,5.4742
menu,5.4227
breakfast place,5.3688
orange juice,5.3257
breakfast good,4.7049
breakfast option,4.6942
salmon scramble,4.4805
eggs benedict,4.4469
food delicious,4.3988
service,4.3427
food service,4.3423
beef,4.2997
coffee good,4.1655999999999995
fast service,4.0866
friendly,4.0128
san francisco,3.9645
breakfast friendly,3.9429
quality food,3.8948
coffee cake,3.8856
nice place,3.8101
good service,3.7715
french toast,3.6986
excellent,3.4612
food ok,3.3217
great menu,3.3101000000000003
food fast,3.2827
love place,3.2649
decent food,3.2551
love,3.2457
crab cake,3.1685
food nice,3.1151
quick breakfast,3.1038
basic breakfast,3.0973
salad,3.0202
good pancake,2.9335
breakfast cafe,2.8583
fair,2.8539
food breakfast,2.8504
coffee excellent,2.8495
iced tea,2.8486
friendly service,2.8346999999999998
delicious coffee,2.8151
good place,2.7956
breakfast spot,2.6911
amazing food,2.6872
burger,2.6466
egg bacon,2.566
bad,2.5316
nice staff,2.503
tea,2.5023
eat breakfast,2.4999000000000002
coffee great,2.4957
american breakfast,2.4717000000000002
scrambled egg,2.4712
good price,2.467
service food,2.4371
food excellent,2.3327999999999998
breakfast every,2.328
cuban sandwich,2.2981
breakfast pancake,2.2802
breakfast menu,2.2467
cheap,2.2451
diner,2.2266
best cafe,2.2049000000000003
good sandwich,2.1966
favorite breakfast,2.1705
breakfast great,2.1448
bacon,2.1105
fair price,2.1021
loved breakfast,2.0879
cake,2.0866
place great,2.0838
breakfast service,2.064
great selection,2.0496
