keyword,weight
coffee,8.0377
good coffee,4.5632
yogurt,3.1433
great coffee,2.7048
delicious,2.6029
coffee good,2.2693
food,2.0873
cafe,2.068
coffee shop,2.0451
yogurt bowl,1.7397
breakfast sandwich,1.6907
good food,1.6763000000000001
milk,1.5411000000000001
vanilla latte,1.5139
great cafe,1.4226
avocado toast,1.4167
sandwich good,1.3312
pastry,1.309
breakfast,1.2787000000000002
sandwich great,1.2498
coconut yogurt,1.2266
sandwich,1.2187000000000001
new coffee,1.0863
gluten free,1.0856
coffee matcha,1.0712
nut milk,1.0282
awesome,1.0
matcha atrocious,1.0
love muesli,1.0
great,0.9826999999999999
nice machiatto,0.9825
greek yogurt,0.9447
food wonderful,0.9381
delicious food,0.9371
coffee breakfast,0.9213
thanks vanilla,0.8987
avocado,0.8985000000000001
atrocious,0.8882
coffee work,0.8867
love,0.8808
delicious yummmmmmmmm,0.8636
delicious cappuccino,0.8574
place coffee,0.857
drink pastry,0.855
buy bottle,0.8475
pastry excellent,0.8416
healthy bowl,0.8379
one great,0.8336
radish delicious,0.8303
delicious healthy,0.8233
vanilla,0.8226
machiatto,0.8212
coffee nice,0.8132
needed one,0.8096
served toast,0.8084
bowl lovely,0.807
breakfast coffee,0.7947
good sandwich,0.7919
wonderful service,0.7884
cute space,0.7841
milk good,0.7836
place delicious,0.7814
delicious yogurt,0.7787
espresso drink,0.7757
cafe healthy,0.7707
free cafe,0.7703
muesli,0.7587
comfortable sofa,0.7578
really nice,0.7571
favorite coffee,0.7562
place needed,0.7546
matcha,0.7532
coffee food,0.7455
espresso,0.7405
breakfast pastries,0.7402
store buy,0.7397
coffee yogurt,0.7389
enticing menu,0.7374
place espresso,0.7348
food plenty,0.7335
nice,0.7311
food cute,0.7303
roasted coffee,0.7261
divine bowl,0.7236
hearty breakfast,0.7198
cappuccino pastry,0.7164
sweet staff,0.7141
sweet coffee,0.7053
theiryummy almond,0.7042
great food,0.7036
bowl sandwich,0.6982
beautiful place,0.6982
one,0.697
lovely staff,0.6954
sit relax,0.6894
dry coffee,0.6869
toast,0.6868
staff cute,0.6851
space dirty,0.6848
coffee service,0.6832
salmon bacon,0.6792
awesome modern,0.6778
style cafe,0.6766
coffee kind,0.676
wonderful coffee,0.6714
avocado bread,0.671
quick breakfast,0.6651
bottle kombucha,0.661
light food,0.6597
delicious vegan,0.6597
protein favorite,0.6533
yogurt super,0.6505
seating nice,0.6496
starbucks depressing,0.6473
plenty seating,0.6457
healthy vegan,0.6449
bacon chicken,0.6449
ciabatta sandwich,0.6442
avocado sandwich,0.6434
mint tea,0.6372
oat milk,0.6354
went store,0.6338
much milk,0.6326
butter croissant,0.6325
bread crispy,0.6319
best bread,0.6303
fresh food,0.6286
favorite roaster,0.6271
nice cafe,0.626
almond oat,0.6224
awesome cafe,0.6222
andytowns coffee,0.6198
bowl perfect,0.6192
store,0.6147
sandwich bit,0.614
healthy option,0.6139
food healthy,0.6134
relax lots,0.6125
dirty full,0.6117
modern vibe,0.6117
good drink,0.6116
tea sat,0.6111
clean interior,0.6109
space good,0.6102
shop great,0.61
uplifting interior,0.6099
tea,0.6094
cafe beautiful,0.6094
coffee pretty,0.6078
caffeine free,0.6059
menu drink,0.6049
iced vanilla,0.604
nice ambience,0.6036
yummmmmmmmm,0.6012
great healthy,0.6001
dirty drinking,0.5998
average avocado,0.5966
pastries latte,0.5965
work done,0.5954
drinking water,0.5952
food delicious,0.595
locally roasted,0.5935
sandwich tartines,0.5935
yogurt coffee,0.5892
card machine,0.5861
cup coffee,0.5858
avo radish,0.5853
relax,0.5817
healthy breakfast,0.5802
banana bread,0.5789
toast happy,0.5741
welcome food,0.5731
coffee gluten,0.5728
food comfort,0.5723
try avocado,0.5715
cool breakfast,0.571
helpful plastic,0.5699
work clean,0.568
brunch cafe,0.5671
toast tasty,0.5621
eating breakfast,0.5599
star coffee,0.5598
free toast,0.5562
access sit,0.5536
internet access,0.5514
sleek interior,0.5507
healthy,0.5486
caf space,0.5484
nice decor,0.5468
latte,0.5464
chocolate croissant,0.5461
working covered,0.5442
done coffee,0.5419
good,0.5414
new cafe,0.5403
heavy yogurt,0.5398
crumb,0.5394
really,0.5382
food allergy,0.5375
