keyword,weight
breakfast burrito,1.9945
tasty breakfast,1.4794999999999998
sandwich,1.2415
bagels,1.0
yum,1.0
top,1.0
stop sale,0.9267
closed stop,0.8978
place closed,0.8503
closed,0.8121
beat sandwich,0.7826
stop,0.7789
cooked breakfast,0.7167
nina thank,0.7158
sandwich area,0.6598
pas sandwich,0.6369
lasagna chicken,0.636
burrito good,0.5968
breakfast,0.5831
home cooked,0.5592
nina,0.5584
mozzarella tomato,0.5357
food,0.5311
burrito breakfast,0.5179
basil sandwich,0.5161
chicken salad,0.516
spicy cheese,0.5049
vegan tofu,0.5008
terrible breakfast,0.4881
rice salad,0.4845
portion lasagna,0.4819
regular breakfast,0.4741
salsa spicy,0.4718
blueberry banana,0.4636
strawberry blueberry,0.4572
discovered breakfast,0.4389
salad enjoyed,0.437
breakfast come,0.395
breakfast place,0.3917
vegan,0.359
fresh juice,0.3572
another vegan,0.3336
granola strawberry,0.3038
banana shaved,0.2569
