keyword,weight
coffee,3.5343999999999998
great,1.3504
worth coffee,0.9635
coffee acceptable,0.9312
nice people,0.918
staff friendly,0.9129
good coffee,0.893
prettyeyes matthew,0.8901
coffee warm,0.8868
service perfect,0.8768
great location,0.8654
great service,0.8322
liars hour,0.7945
perfect,0.7507
love location,0.7506
friendly,0.7406
service prettyeyes,0.7336
wrong fixed,0.7164
prettyeyes,0.713
order pandemic,0.7079
order wrong,0.6975
pandemic,0.6742
nice,0.6635
hard ton,0.6634
people working,0.6554
incorrect open,0.6543
warm,0.652
warm compared,0.6477
worth,0.6374
working,0.6351
acceptable,0.6346
operation incorrect,0.6142
love,0.61
always good,0.6096
location staff,0.6015
cold outside,0.5944
coffee great,0.5788
liars,0.5723
coffee cashier,0.5402
best soup,0.5191
service,0.5175
best coffee,0.5062
people,0.5046
hour operation,0.5041
peet coffee,0.499
coffee awful,0.4873
always,0.4842
coffee china,0.4766
cashier lazy,0.4683
show coffee,0.4675
get coffee,0.4402
good,0.4388
oh coffee,0.3992
coffee tasty,0.3976
hundred customer,0.3863
selection coffee,0.3837
card problem,0.3788
hate pete,0.3753
monday friday,0.3521
coffee factory,0.3474
pete coffee,0.3429
baristas salary,0.3351
town love,0.3342
remembers hundred,0.3277
coffee professional,0.3001
friday peets,0.2939
digital coffee,0.2937
buy coffee,0.277
coffee town,0.2745
coffee jeff,0.2695
drip coffee,0.2609
tip baristas,0.2035
salary enough,0.202
