keyword,weight
coffee,21.5063
coffee shop,9.062
great coffee,4.63
francisco coffee,4.479900000000001
nice,3.8444
see coffee,3.6381
friendly staff,3.2066
coffeebar grateful,3.1993
loving star,2.9954
hear enjoyed,2.9546
peet coffee,2.5731
experience coffeebar,2.5719
coffeebar,2.4577999999999998
friendly,2.4013999999999998
great,2.3095
tea,2.2743
shop earned,2.1143
customer service,2.0947
service coffee,2.0838
please come,2.0
cafe,1.9762
staff,1.9719000000000002
come,1.9008
please,1.7912
san francisco,1.7788
thanks star,1.704
great service,1.6882
star glad,1.663
starbucks,1.6275
service,1.6221
francisco coffeebar,1.544
good service,1.4907
great staff,1.4499
enjoyed experience,1.4127
friendly baristas,1.374
good coffee,1.3736
staff awesome,1.318
drink,1.2379
nice location,1.2051
average coffee,1.1985
happy,1.1743999999999999
delicious,1.1088
star thrilled,1.0589
coffeebar check,1.0433
thrilled enjoyed,1.0377
like expect,1.0
thanks review,1.0
refreshing drink,1.0
love,1.0
great place,1.0
nice cafe,1.0
courteous staff,1.0
cappuccino next,0.9952
grateful hear,0.9904
coffee sugar,0.9866
expect,0.9756
nice crew,0.9655
baristas,0.9554
better branch,0.9517
courteous,0.9498
great tea,0.9476
latte delicious,0.9402
nice customer,0.9384
fast service,0.9344
thanks,0.9161
white mocha,0.9123
language important,0.9116
iitsmethat real,0.9113
coffee amazing,0.9108
tea great,0.9099
vanilla latte,0.9023
helpful staff,0.9018
update hour,0.8966
quality coffee,0.8917
havana cappuccino,0.8909
real life,0.8867
uh coffee,0.8773
nice place,0.874
cafe closed,0.8677
favorite starbucks,0.8645
super friendly,0.8635
hour clarify,0.8634
atmosphere good,0.8615
like,0.8613
brew next,0.8588
great atmosphere,0.8587
place nice,0.8581
cold brew,0.8563000000000001
cute place,0.8536
stinky bathroom,0.852
nice friendly,0.8508
location helpful,0.8489
friendly peet,0.8484
refreshing,0.8481
quick fast,0.8449
coffee outdoor,0.8447
sandwich,0.8386
espresso good,0.8381
decent coffee,0.8324
review,0.8299
cute,0.8234
coffee baristas,0.8225
better,0.8211
real,0.8108
awesome cappuccino,0.8073
sunday study,0.8072
great location,0.8057
coffee ambiance,0.7955
place,0.7942
awesome coffee,0.7907
quick,0.7906
sugar,0.7861
fast,0.7814
coffee service,0.7809
better starbucks,0.7802
vanilla,0.7788
busy day,0.7787
hour,0.7785
try cold,0.7764
service busy,0.7732
good attention,0.7728
bathroom convenient,0.7713
coffee clean,0.7709
helpful,0.7671
coffee excellent,0.7636
strong coffee,0.7547
fresh new,0.7489
shop best,0.7475
employees slow,0.7433
