keyword,weight
coffee,10.1068
good coffee,3.5766999999999998
love,2.5985
best,2.3249
nice,2.2546
peets,2.0923
starbucks,1.8329
great coffee,1.6455
friendly,1.5924
service,1.4790999999999999
peet coffee,1.3986
good,1.0751
best coffee,1.0
super,1.0
everyone nice,1.0
excellent coffee,1.0
top one,1.0
peets favorite,1.0
love peets,1.0
best service,1.0
friendly efficient,1.0
efficient,0.9594
top,0.9541
still fave,0.935
coffee superb,0.9221
service whatever,0.9048
crowded coffee,0.9032
went public,0.9022
favorite,0.9004
breakfast sandwich,0.8938
love guy,0.8854
option starbucks,0.876
coffee bake,0.8549
friendly staff,0.8509
since went,0.8506
still,0.8505
whatever compared,0.8458
fast great,0.8418
love staff,0.8398
service quickly,0.8389
coffee spot,0.834
caf friendly,0.8309
awesome customer,0.8272
coffee usual,0.8211
compared peets,0.8182
discount latte,0.8177
since,0.8162
one,0.8125
went,0.812
coffee great,0.8112
usual coffee,0.8083
airport coffee,0.8065
cook breakfast,0.804
courteous professional,0.7942
public,0.7896
chain,0.7855
friendly courteous,0.7811
coffee heart,0.7752
fave chain,0.7726
bake good,0.7718
fast,0.7667
everybody friendly,0.7645
coffee shop,0.762
said love,0.7506
sf airport,0.7458
sandwich,0.7418
everyone,0.7369
good caf,0.7365
course coffee,0.7286
courteous,0.728
outstanding coffee,0.725
complain usual,0.7247
coffee consistent,0.7197
perfect black,0.7182
coffee perfect,0.7144
starbucks coffeebean,0.7112
basic crowded,0.7037
san francisco,0.6971
quickly lot,0.692
free americano,0.6895
friendly clerk,0.6726
nice people,0.6671
today thanks,0.6655
quickly,0.6614
hot cup,0.6595
breakfast,0.658
fave,0.6477
service experience,0.6443
americano drink,0.6443
people nice,0.6386
superb service,0.632
crowded,0.6278
drink iced,0.6272
usual peet,0.622
open sundays,0.6187
black tie,0.6184
nice place,0.6141
francisco,0.611
big coffee,0.6039
like starbucks,0.6036
awesome,0.5868
discount,0.5866
gave discount,0.5863
never disappoints,0.5841
baristas excellent,0.5825
unextraordinary coffee,0.5803
experience today,0.5765
cup coffee,0.5761
need,0.5755
need said,0.57
wifi ideal,0.5662
iced warm,0.5659
one ferry,0.5651
bake,0.5625
option iced,0.5595
excellent,0.5586
one cook,0.5583
saturday coffee,0.554
location closed,0.5512
buy bag,0.5476
customer starbucks,0.5474
sf,0.5466
latte coming,0.5445
iced like,0.5392
productivity friendly,0.5387
coffee looking,0.5382
crowded weekend,0.5379
tea coffee,0.5355
closed including,0.5313
coffee tea,0.5293
nice option,0.5275
service always,0.5273
pastry wish,0.5272
latte tea,0.5267
coffee service,0.525
selection pastry,0.5215
friend sit,0.517
cool friendly,0.5149
extra coffee,0.5138
always great,0.5086
superb,0.5034
enjoy hot,0.5002
recommend green,0.4982
latte,0.4965
milk yay,0.4965
blend taste,0.4956
passionate staff,0.4935
iced,0.4926
sundays seem,0.4889
still open,0.4852
disappoints coffee,0.4841
photogenic friend,0.4805
closed,0.478
coffee prefer,0.4747
fast service,0.4718
great light,0.4691
oat milk,0.465
sit table,0.465
americano,0.4635
friendly passionate,0.4605
get free,0.4579
black,0.4516
tie,0.4487
chain coffee,0.4487
reminds espresso,0.4478
facing ocean,0.4361
espresso would,0.434
coffee ordered,0.4213
ferry building,0.4208
espresso,0.4184
american coffee,0.418
open saturday,0.4152
coffee hot,0.4117
get coffee,0.4045
regular customer,0.4043
coffee order,0.4032
mother day,0.3984
reliable wifi,0.3943
helpful holiday,0.3865
perfect every,0.3849
tea,0.3815
francisco mother,0.3798
ordered soy,0.3699
option,0.3665
coffee wow,0.3587
hill coffee,0.3529
coffee last,0.3378
like coffee,0.3371
blend delicious,0.3071
coffee feel,0.3064
couple month,0.2205
good app,0.207
