keyword,weight
coffee,14.9983
good coffee,3.4233000000000002
great,2.8161
peet coffee,2.7996
starbucks,2.725
coffee good,2.5103
coffee shop,2.3640999999999996
excellent service,2.3236
friendly,2.0903
great coffee,2.0397
tea,1.6509
excellent,1.6475
friendly staff,1.5996000000000001
cup coffee,1.5546000000000002
peets,1.4101
public open,1.3852
service,1.3536000000000001
coffee place,1.3498999999999999
open space,1.3393000000000002
chocolate,1.3131
good,1.3072
place,1.2732
line,1.2585
staff,1.2111
coffee tea,1.2031
cafe,1.1698
morning,1.0749
permanently closed,1.0
superior starbucks,1.0
strong coffee,1.0
get eduroam,1.0
good crossaints,1.0
love,1.0
quick line,1.0
great service,1.0
awesome cafe,1.0
great staff,0.9743
dirty coffee,0.9699
best pete,0.9697
quick,0.9642
eduroam,0.9366
good tea,0.9329
hot chocolate,0.9167
tea wonderful,0.9138
friendly people,0.9115
service friendly,0.9101
great cookie,0.896
morning coffee,0.8864
great place,0.8815
closed,0.8768
coffee poor,0.8738
service clean,0.87
line coffee,0.8691
get,0.8671
poor coffee,0.8649
peets starbucks,0.8645
chocolate yummy,0.8609
permanently,0.8486
free coffee,0.8445
coffee friendly,0.8415
shop friendly,0.8412
good environment,0.841
outlet great,0.8398
coffee always,0.8373
hangout friend,0.8363
advertised wifi,0.8293
place coffee,0.826
fast service,0.8194
downtown coffee,0.8191
crossaints,0.8182
three starbucks,0.7955
wifi working,0.7912
clean,0.7875
mocha friendly,0.7849
wonderful aroma,0.7846
watching,0.7756
quickly served,0.7725
good mocha,0.767
average downtown,0.7646
friend,0.7599
pete,0.756
service cleanliness,0.7558
place work,0.7541
cookie break,0.7524
people watching,0.7491
aroma kind,0.7424
cleanliness store,0.7379
service quickly,0.7303
cofee fast,0.7272
wifi,0.727
cookie,0.7257
peet good,0.7209
green tea,0.7165
warm welcome,0.7143
environment hangout,0.7122
chocolate orange,0.7107
friendly associate,0.71
nice place,0.7059
coffe tea,0.7032
still coffee,0.7013
cup,0.7006
hangout,0.6993
time excellent,0.6986
good one,0.6916
space efficient,0.6908
local coffee,0.6897
nice peets,0.6895
cleanliness,0.6891
consistent friendly,0.6883
pete around,0.6863
coffe taste,0.6832
next public,0.6791
coffee snack,0.6784
dark chocolate,0.6782
friendly welcoming,0.6778
poor wi,0.6734
bit dirty,0.6701
san francisco,0.6683
average cofee,0.668
orange latte,0.6677
people happy,0.6674
aroma,0.667
welcome,0.6657
make right,0.6656
peet,0.6644
coffee great,0.6642
typical coffee,0.6618
dirty,0.6613
coffee bakery,0.6601
nice,0.6595
favorite coffee,0.6584
place cup,0.6572
wonderful staff,0.6559
amazing coffee,0.6548
tea outstanding,0.6541
welcome soon,0.6528
cafe satisfied,0.651
