keyword,weight
coffee,33.5812
great,6.4631
great coffee,6.354
starbucks,5.6672
good,5.3425
good coffee,4.3978
fast,4.2721
friendly,3.7545
always,3.4356
best coffee,3.3912
love coffee,3.3467
friendly staff,3.314
love,2.9614000000000003
better starbucks,2.729
francisco coffeebar,2.6828
peet coffee,2.6817
fast service,2.6498
coffee good,2.6474
service,2.5374
chocolate,2.5241
tea,2.4732000000000003
best,2.3932
hot chocolate,2.2368
coffee friendly,2.2239
cappuccino next,2.1374
good service,2.1327
strong coffee,2.0918
clean,2.034
havana cappuccino,2.0244
sandwich,1.9995
coffee shop,1.9916
coffeebar,1.9068
coffee tea,1.8855
francisco coffee,1.7677
great location,1.7629000000000001
loving star,1.7313
peet,1.7264
customer,1.6923
excellent coffee,1.69
nice,1.6614
clean restroom,1.6299000000000001
favorite,1.6274
amazing coffee,1.6206999999999998
excellent service,1.5807
always good,1.5729000000000002
friendly efficient,1.533
place,1.5324
coffee drink,1.5213999999999999
pleasant atmosphere,1.5147
horrible,1.4992999999999999
helpful,1.495
friendly fast,1.4851
baristas,1.4465
local coffee,1.4361000000000002
coffee great,1.4043999999999999
bad,1.395
restroom,1.3919000000000001
waffle sandwich,1.3807
staff friendly,1.3617
chicken waffle,1.3145
super friendly,1.3052000000000001
busy morning,1.2955999999999999
go,1.2908
coffee town,1.2752
signature havana,1.2701
great staff,1.2351999999999999
bookstore,1.2235
coffee van,1.2185000000000001
cappuccino,1.2183
tea honey,1.21
book store,1.1733
enjoy coffee,1.1677
parking,1.1074
never,1.0986
honey milk,1.0958
customerservice peets,1.0887
thank star,1.0596
star thrilled,1.0455
thrilled enjoyed,1.0186000000000002
star glad,1.002
coffee bad,1.0
always great,1.0
expensive,1.0
good chocolate,1.0
busy,1.0
amazing,1.0
good place,1.0
ok,1.0
nice neat,1.0
love peet,1.0
absolutely lovely,1.0
beautiful,1.0
barista slow,1.0
great time,1.0
like,1.0
tasty cocoa,0.9786
neat,0.9757
lovely,0.9655
pastry,0.9639
pleasant,0.9526
horrible service,0.9516
hear enjoyed,0.9508
jazzmenda delight,0.9464
always helpful,0.9453
great customer,0.9441
horrible coffee,0.9367
worker make,0.9349
favorite coffee,0.9342
big fan,0.9325
