keyword,weight
coffee,44.0081
good coffee,11.545
great coffee,10.6094
great,8.1998
good,7.637
starbucks,6.0159
best coffee,4.9475999999999996
nice,4.7728
peet coffee,4.7533
friendly staff,4.6914
friendly,4.4201
tea,3.989
staff,3.4436999999999998
coffee shop,3.2793
always,3.0282
place,2.895
cup coffee,2.6798
latte,2.439
clean,2.2561999999999998
coffee great,2.2539
better starbucks,2.2405999999999997
great staff,2.2111
coffee good,2.0564
expensive,2.0048
yum,2.0
friendly place,1.935
love,1.9199
bought coffee,1.8647999999999998
awesome,1.8528000000000002
coffee delicious,1.8282
excellent coffee,1.8258999999999999
quiet,1.8125
strong coffee,1.7922
best,1.7808000000000002
nice place,1.7046999999999999
wifi,1.703
good customer,1.6359
good place,1.5383
great location,1.4932
great service,1.4698
taste,1.4421
fast,1.4354
smile,1.4108999999999998
coffee nice,1.4067
laptop,1.4039
internet,1.4035000000000002
peets coffee,1.4001
peet,1.3739
coffee best,1.3346
joe,1.3193000000000001
coffee always,1.307
service,1.2939
pete,1.2797999999999998
location,1.2793999999999999
loved,1.2783
google,1.2635
place coffee,1.2549000000000001
drink,1.2237
nice coffee,1.2185
restroom,1.2147000000000001
skinny latte,1.2046000000000001
always good,1.2038
love peet,1.1707999999999998
cup,1.1617
large,1.1486
chocolate,1.1189
baristas,1.1107
staff excellent,1.0979
homeless,1.0887
friendliest,1.0822
san francisco,1.0634000000000001
good taste,1.0
coffee internet,1.0
enjoyed coffee,1.0
caramel sauce,1.0
wooo coffee,1.0
solid,1.0
know undertow,1.0
bathroom code,1.0
plug,1.0
premium coffee,1.0
fast internet,1.0
bathrooms unclean,1.0
awesome staff,1.0
usual peet,1.0
favorite latte,1.0
good expensive,1.0
awesome tea,1.0
confy,1.0
favourite coffee,0.978
many homeless,0.9746
quaint quiet,0.9731
drink slowly,0.9731
nice friendly,0.9723
excellent tea,0.9704
expensive starbucks,0.9667
new big,0.9622
cool like,0.9616
always great,0.9609
visit enjoyable,0.9592
love tea,0.9557
cool,0.9538
excellent,0.9535
coffee pleasant,0.9534
location clean,0.9521
caramel,0.9508
quiet nice,0.9507
good location,0.948
tea breakfast,0.9429
tea recommend,0.9395
much help,0.9387
loved walked,0.9373
bathroom,0.9363
coffee awesome,0.9324
cappuccino best,0.9316
quality coffee,0.9309
part morning,0.9286
overpriced joe,0.9274
morning,0.9264
great costumer,0.9264
usual,0.9237
walked smile,0.9209
undertow,0.9161
baristas fun,0.9159
little aloof,0.9116
quick professional,0.9048
desk dirty,0.9047
enjoyable,0.9022
expensive coffee,0.9018
golden latte,0.9014
thanks much,0.8992
coffee gingerbread,0.8992
much,0.8974
decent baristas,0.8918
always strong,0.8908
coffee atmosphere,0.8865
fast clean,0.8854
selection good,0.883
like wow,0.8821
great outlet,0.8818
wow,0.8812
aloof side,0.8794
latte awesome,0.8784
nice new,0.8771
good wifi,0.8755999999999999
coffee warm,0.8755
day ago,0.8748
unclean,0.8707
store bad,0.8668
coffee cold,0.8649
ok overpriced,0.8641
strong consistent,0.8623
least day,0.8595
korean cafe,0.8578
cool little,0.857
staff nice,0.8567
love peets,0.8565
aloof,0.8562
consistent caffinated,0.8561
thanks,0.8545
coffee wonderful,0.854
traditional cappuccino,0.8531
slowly,0.8519
working laptop,0.8517
tea selection,0.8505
expert baristas,0.8499
like,0.848
great cup,0.8445
starbucks sweet,0.844
delicious cocoa,0.8433
selection,0.8428
bad taste,0.8426
coffee consistently,0.84
taste different,0.8394
like tea,0.8393
help,0.836
coffee quiet,0.8352
prompt friendly,0.8345
great skinny,0.8324
gingerbread cooky,0.8273
big,0.8268
best coffe,0.8243
coffee also,0.8217
space charge,0.8213
peet always,0.8195
accessible wifi,0.8195
coffe love,0.8195
buy anything,0.8182
coffee clean,0.8136
consistent,0.811
restroom buy,0.8084
fan earl,0.8074
coffee friendly,0.8061
starbucks none,0.8052
store clean,0.8041
earl grey,0.8039
cup joe,0.8004
service great,0.8004
quaint,0.7988
new,0.7975
friendliest staff,0.7972
great space,0.7964
capsule nespresso,0.796
delicious kitchen,0.7882
professional,0.7871
google map,0.7867
coffee relaxation,0.7857
outta quicker,0.7831
bar none,0.7809
pleasant people,0.7804
overpriced,0.7803
excellent music,0.7793
clean consistant,0.774
professional service,0.7727
place people,0.7702
noisy unfriendly,0.7675
croissant efficient,0.7672
cant go,0.7659
coffee taste,0.7656
disabled friendly,0.7625
outlet charging,0.7609
posted google,0.7603
grey latte,0.7601
couple outside,0.7592
breakfast item,0.7579
overall visit,0.7573
rude coffee,0.7562
nice cup,0.7538
fashionable coffee,0.7536
location layout,0.7511
know,0.7509
earl,0.7504
taste coffee,0.7484
wrong pete,0.7461
quick coffee,0.7461
little,0.7458
bad,0.7451
coffee anywhere,0.7445
grinded coffee,0.7416
pleasure least,0.7405
gingerbread,0.7401
cant,0.7401
coffee brought,0.7386
coffee croissant,0.7348
shop restroom,0.7318
nice helped,0.7305
coffee love,0.7294
room laptop,0.7289
breakfast,0.7281
fruit tea,0.727
charging,0.7259
space,0.7253
people,0.7234
day,0.7199
nice staff,0.7198
coffee accessible,0.7198
helped problem,0.7188
coffee christmas,0.7183
large window,0.7181
friendly polite,0.7175
ye drink,0.7156
quicker,0.7155
american coffee,0.7149
coffee starbucks,0.7135
great vibe,0.7132
korean manner,0.7123
costumer,0.7119
chilly morning,0.7118
nespresso,0.7106
oatmilk steamed,0.71
original berkeley,0.71
loved dumo,0.7094
large table,0.708
least,0.7073
kitchen clean,0.7068
essential,0.7039
acceptable beverage,0.7023
cold,0.7007
outside table,0.699
pete best,0.6985
ordered vanilla,0.6984
wifi bathroom,0.6973
warm welcome,0.6967
korean,0.696
competent staff,0.6956
treated respect,0.6951
wonderful store,0.6937
different,0.6931
mostly vip,0.693
single comfortable,0.6919
coffee around,0.691
favorite pumpkin,0.6892
visit,0.689
friendly baristas,0.6878
nice smile,0.6875
coffee zombie,0.6855
large space,0.6848
coffee bought,0.6846
friendly competent,0.6844
essential part,0.6843
chocolate solution,0.6841
table plenty,0.684
vanilla frappe,0.6833
noisy,0.6829
berkeley,0.6827
pleasant,0.6817
coffee snack,0.6816
layout,0.6808
plenty charging,0.678
service selection,0.678
amazing coffee,0.6768
staff great,0.6758
feel korean,0.6752
cappuccino,0.6749
pump chocolate,0.6742
coffee crowded,0.6723
fun,0.6719
sit staff,0.6716
drinks expensive,0.6686
smile saying,0.6677
dirty,0.6675
polite,0.6672
staff friendly,0.6667
staff got,0.6651
go wrong,0.6649
crowded wifi,0.6636
like korean,0.6617
staff good,0.6607
use restroom,0.66
nice atmosphere,0.6589
batista nice,0.6574
coming coffee,0.6573
got outta,0.6552
coffee anyways,0.6547
burnt sandwich,0.6542
sleekest peet,0.6539
bathrooms,0.6519
quick,0.6516
sauce,0.6505
terrible customer,0.6503
shop nice,0.6501
coffee need,0.6486
coffee get,0.6484
oatmilk latte,0.6478
staff drink,0.6473
local coffee,0.6466
outlet wifi,0.6453
havana cap,0.645
tourist walking,0.6448
none,0.6445
seating coffee,0.6445
walking enjoying,0.6434
buy,0.6429
tea cloud,0.6428
awesome view,0.6419
costumer sevice,0.6417
quiet place,0.6408
helped,0.6397
coffee ordering,0.6391
sandwich delicious,0.6383
outlet,0.6383
starbucks baristas,0.6382
always room,0.6365
excellent american,0.6362
manager sloan,0.6351
window sun,0.635
little nice,0.6346
good store,0.6323
really nice,0.6313
coffee fast,0.6307
coffee coming,0.6287
customer mostly,0.6286
delicious,0.6286
window overlooking,0.628
head google,0.6274
music coffee,0.6271
outside,0.6264
overall,0.6264
people friendly,0.626
beest coffee,0.6243
room sit,0.6242
step starbucks,0.6241
strong,0.6222
skinny,0.622
efficient friendly,0.6217
map hyatt,0.621
baristas good,0.6192
coffee scone,0.6183
restroom th,0.6181
always coffee,0.618
expected,0.6177
beverage quality,0.6161
coffee affordable,0.6156
wifi fruit,0.6155
beloved favourite,0.6147
coffee peet,0.6141
great place,0.6141
code,0.614
clean environment,0.6139
barista training,0.6136
white moca,0.6133
chocolate mocha,0.6131
comfortable seat,0.6128
great meeting,0.6121
enjoyed,0.6113
cooky great,0.6112
coffee place,0.6102
favorite,0.6097
outlet coffee,0.6097
card cashier,0.6088
people staff,0.6077
quick baristas,0.6073
nice music,0.607
francisco white,0.6064
going havana,0.604
front desk,0.6032
ice mocha,0.6032
get upset,0.603
especially original,0.6017
coffee soma,0.6002
decent,0.5992
wooo,0.5987
sleekest,0.5987
prompt,0.5979
many coffee,0.5956
vip,0.5948
get oatmilk,0.5941
hot drink,0.5933
coffee bay,0.5929
quality sufficient,0.5925
wifi stable,0.5919
coffee service,0.5915
taste good,0.5913
golden,0.5907
mia chocolate,0.5901
walked,0.5899
pos expensive,0.5884
especially chilly,0.5861
search parking,0.5861
better coffee,0.5854
family sweet,0.5845
seat table,0.5845
pete coffee,0.584
starbucks barista,0.5838
cashier took,0.5824
environment good,0.5823
sit company,0.5809
homeless week,0.5799
relax peace,0.5789
ordered oatmilk,0.578
mario courtney,0.577
mission mario,0.5758
large clean,0.5756
