keyword,weight
coffee,114.093
great coffee,24.3363
best coffee,18.5448
good coffee,14.751100000000001
friendly staff,9.7666
good,8.998899999999999
great,8.8035
amazing coffee,8.339
philz coffee,7.8284
hot chocolate,7.1108
mojito coffee,7.0621
excellent coffee,6.0863
iced coffee,6.0532
drip coffee,5.636
best,5.4532
coffee nice,4.9554
mint mojito,4.9296999999999995
coffee great,4.7095
love coffee,4.6943
chocolate,4.653
delicious coffee,4.6131
coffee good,4.484
cup coffee,4.3642
awesome coffee,4.1871
coffee friendly,4.0297
philz,4.0241
love,4.0046
coffee shop,3.9628
tea,3.9416
friendly,3.8973
coffee delicious,3.8388999999999998
coffee made,3.8292
tasty,3.768
coffee best,3.7423
delicious,3.3722
great service,3.1848
always,3.1692
nice,3.1588000000000003
mojito,3.057
coffee hot,2.924
mint,2.8893
service,2.8531
coffee always,2.6921
selection coffee,2.659
iced mint,2.6253
tasting coffee,2.5972
bad,2.5967000000000002
coffee tea,2.5867
busy,2.5329
great staff,2.5305999999999997
awesome,2.5187
pretty good,2.4904
coffee mint,2.4631
coffee ever,2.4389
tasty coffee,2.4147
coffee little,2.3826
local coffee,2.3385
coffee make,2.3091999999999997
coffee like,2.2793
amazing,2.2637
iced,2.2349
coffee iced,2.1845
favorite coffee,2.1824
place coffee,2.1332
great atmosphere,2.0676
breakfast,2.0631
coffee place,2.05
starbucks,2.0484999999999998
like mojito,2.0
pretty,1.9334
coffee pretty,1.9247
flavor,1.8919000000000001
live,1.8871
order coffee,1.8712
favorite,1.8335
avocado toast,1.8197
staff,1.8195999999999999
ice coffee,1.7981
philtered soul,1.7922
coffee excellent,1.7883
dancing water,1.7684
tea good,1.7412999999999998
slow,1.7134999999999998
coffee philz,1.6895
coffee taste,1.6607
coffee worth,1.6578
make coffee,1.6547
hot,1.6508
gingersnap iced,1.6242
cup,1.5943999999999998
get coffee,1.5836999999999999
taste coffee,1.5836000000000001
quick service,1.5607
coffee town,1.5512
like,1.5332
great attitude,1.5014
iced mojito,1.4945
neighborhood coffee,1.474
great location,1.4611
water coffee,1.4491
vegan,1.4447
grab coffee,1.4386
long line,1.4337
sweet creamy,1.4282
quality coffee,1.3889
coffee period,1.383
coffee philtered,1.359
coffee though,1.3589
coffee long,1.3535
caffeine,1.3368
nice baristas,1.3345
indoor seating,1.3311000000000002
baristas,1.3288000000000002
good pastry,1.3166
coffee pastry,1.3082
coffee coffee,1.2879
morning,1.2711999999999999
espresso,1.2692
try,1.2475999999999998
caltrain station,1.2458
breakfast burrito,1.2447
flavor coffee,1.2395
always great,1.2315999999999998
great choice,1.2216
almond croissant,1.2145
great iced,1.2134
friendly coffee,1.2064
mojito iced,1.2
great tasting,1.193
much,1.1913999999999998
coffee around,1.1893
best philz,1.1844000000000001
choice coffee,1.184
coffee fresh,1.1557
turkish coffee,1.1541000000000001
expensive,1.147
coffee menu,1.1408
staff friendly,1.1408
ice mint,1.1353
pastry,1.1312
hazelnut,1.1306
caltrain,1.1291
coffee blend,1.1111
dancing,1.1067
chai tea,1.097
helpful staff,1.0859
outdoor seating,1.0694
love place,1.0644
coffee location,1.0615999999999999
silken splendor,1.0581
spot,1.0554999999999999
made cup,1.0505
mint coffee,1.0485
chocolate croissant,1.0394
brewed coffee,1.0352999999999999
employees great,1.0326
black coffee,1.0194999999999999
staff nice,1.0034
strong coffee,1.0
love stuff,1.0
yummy,1.0
needs cleaned,1.0
live tesora,1.0
sho,1.0
always time,1.0
much caffeine,1.0
nice area,1.0
yes,1.0
convienent friendly,1.0
original,1.0
personalized service,1.0
decent coffee,0.9988
like coffee,0.9984
coffee extremely,0.9814
philz always,0.9809
philz perfectly,0.9762
always philz,0.9753
good philz,0.975
painfully slow,0.9668
place,0.9667
amazing team,0.9661
pour coffee,0.9597
much indoor,0.9566
rude customer,0.9449
rose coffee,0.9442
great recommendation,0.9436
coffee fragrant,0.942
love mocha,0.9402
want coffee,0.9386000000000001
slow like,0.9382
philz good,0.9378
perfectly fine,0.9337
personalized,0.9336
worst service,0.9307
staff cozy,0.9297
freshly served,0.9287
avocado,0.9278
good coffer,0.9268
pretentious coffee,0.9239
coffee god,0.9149
great vegan,0.9127
coffee ambiance,0.9112
custom coffee,0.9096
good cup,0.9093
favorite location,0.9054
spot coffee,0.9041
coffee cooky,0.9008
coffee experience,0.9007000000000001
although bad,0.9006
bad thing,0.899
coffee go,0.8984000000000001
pastry coffee,0.8983
service greatcoffee,0.8972
coffee delish,0.8962
ambrosia coffee,0.8958
close caltrain,0.8902
perfectly,0.8896
greatcoffee,0.8894
indoor,0.888
creamy,0.8876
coffee expensive,0.8851
word sweet,0.8847
flavor friendly,0.8814
coffee choice,0.8771
pourover coffee,0.8752
cleaned,0.8751
type coffee,0.873
coffee conveniently,0.8679
slow bad,0.8676
conveniently close,0.867
coffee helpful,0.8666
service great,0.8643
chocolate coffee,0.8641
try mint,0.8639
hearty cuppa,0.8623
quick,0.8621
coffer vibe,0.8592
chill place,0.8543
busy coffee,0.8523
disguise coffee,0.8501
good people,0.8493
helpful employee,0.8465
vegan donut,0.8452
atmosphere,0.8446
loved dancing,0.8412
bad service,0.8395
cozy atmosphere,0.8392
sweet,0.8384
super friendly,0.8381
soul combo,0.8376
menu coffee,0.8369
cream suger,0.8364
service baristas,0.8358
morning vegan,0.8328
always cute,0.8312
outstanding coffee,0.8283
coffee sugary,0.8266
coffee option,0.8238
dog friendly,0.8232
served smile,0.8222
lovely coffee,0.8201
cute lady,0.8197
sleep,0.8178
fantastic coffee,0.8139
great local,0.8126
breakfast menu,0.8121
coffee sometimes,0.8115
coffee quirky,0.8085
great place,0.8084
love employee,0.8041
coffee liked,0.8016
convienent,0.801
worst,0.7967
give coffee,0.7945
good bakery,0.7928
fine,0.7918
nice coffee,0.7915
coffee overated,0.7906
philizzz coffee,0.7906
overall coffee,0.7902
love chalk,0.7897
best chai,0.7894
worth hassle,0.7874
starbucks always,0.7873
love staff,0.7844
breakfast coffee,0.7822
place amazing,0.782
upbeat joyful,0.7811
vibe,0.7802
chill,0.7797
time,0.7791
variety flavor,0.7785
fragrant brewed,0.7783
usually vanilla,0.7774
rude,0.7768
vibe coffee,0.7759
coffee trying,0.7734
mint fresh,0.771
better starbucks,0.77
cozy,0.7666
nice helpful,0.7639
bumble date,0.7635
vegan option,0.7624
small coffee,0.7612
freshly,0.7598
place welcoming,0.7574
coffee black,0.757
super tiny,0.7567
coffee buy,0.7564
quick coffee,0.7563
coffee yuppie,0.7561
needs,0.755
conveniently,0.7545
coffee life,0.754
coffee specialty,0.7538
awesome service,0.7528
mocha tesoro,0.7525
good hot,0.7523
morning fix,0.7512
busy busy,0.7508
hazelnut good,0.7503
coffee pinch,0.7492
philharmonic awesome,0.7477
loud busy,0.7461
valued customer,0.7448
recommend almond,0.7439
delicious bagel,0.7434
friendly neighborhood,0.7426
confusing ordering,0.7424
nice space,0.7422
worst coffee,0.7419
espresso great,0.7405
coffee wifi,0.7399
coffee freshly,0.7396
close,0.7394
nice employee,0.7392
philz best,0.7364
new bay,0.7351
service nice,0.7349
vanilla scone,0.7347
shop mission,0.7347
area,0.7342
coffee lot,0.7336
tesora,0.7318
quick breakfast,0.73
always busy,0.7298
coffeee please,0.7296
visit sf,0.728
mediocre food,0.7261
hipster vibe,0.7251
baristas always,0.7244
coffee geeks,0.7239
service cheap,0.7235
tasty refreshing,0.7222
solid iced,0.7222
favorite breakfast,0.7222
always upbeat,0.7209
welcoming,0.7202
best headache,0.7197
good hipster,0.7196
making coffee,0.7185
philz great,0.7168
joyful,0.7151
try new,0.7135
coffee never,0.7114
great starbucks,0.7106
chocolate watery,0.7102
sweet tooth,0.7098
extensive coffee,0.7082
coffee finest,0.707
warm friendly,0.7063
wonderbar hazelnut,0.7047
bacon breakfast,0.7043
service dishwashing,0.7039
philz although,0.7038
surprisingly tasty,0.7034
town,0.7032
tea enthusiastic,0.703
wrong ice,0.7025
location,0.7015
yuppie bull,0.7003
concrete sleep,0.6992
dishwashing water,0.6971
mint mohito,0.697
expensive friendly,0.6957
like painfully,0.6957
fond parking,0.6954
chocolate fantastic,0.6953
seating,0.6949
mix flavor,0.6945
corporate bubble,0.6943
coffee ground,0.6936
happens morning,0.6935
half cream,0.6926
ancho chili,0.6919
