keyword,weight
coffee,79.2971
great coffee,25.7158
good coffee,14.8438
best coffee,14.6464
good,10.1743
philz coffee,7.8484
iced coffee,6.6455
cup coffee,6.465
great,6.2401
love coffee,5.9971
favorite coffee,5.964
mojito coffee,5.3041
coffee amazing,5.0099
friendly,4.8901
best,4.8564
tea,4.8123
starbucks,4.7761000000000005
love,4.5823
mint mojito,4.3847
friendly staff,3.9458
coffee shop,3.7439999999999998
coffee tea,3.6386000000000003
nice,3.5573
coffee great,3.2911
excellent coffee,3.0494
always,2.7184
coffee friendly,2.6654999999999998
coffee taste,2.6642
spot,2.592
place,2.5872
coffee good,2.5598
amazing coffee,2.4765
coffee really,2.4089
delicious coffee,2.3961
pastry,2.3365
mojito iced,2.2809
great staff,2.1774
staff friendly,2.1484
philz,2.1351
coffee place,2.1128
hot chocolate,2.0543
brewed coffee,1.9992
delicious,1.9485000000000001
awsome,1.9077
mojito,1.8896000000000002
green tea,1.8866
coffee delicious,1.8771
mint,1.8180999999999998
local coffee,1.7322
coffee philz,1.7311999999999999
fresh mint,1.6360000000000001
better starbucks,1.6317
coffee nice,1.6065999999999998
silken,1.5831
baristas,1.5753
tasty,1.5699
coffee mediocre,1.5298
coffee ever,1.5278
long line,1.5276999999999998
perfect coffee,1.5097999999999998
awesome coffee,1.4981
coffee made,1.4942000000000002
worst coffee,1.4891999999999999
great space,1.4778
pour coffee,1.4558
amazing service,1.4381
staff nice,1.417
expensive,1.4158
drip coffee,1.4119
iced mint,1.4105
place coffee,1.4067
friendly helpful,1.3889999999999998
go,1.3578999999999999
coffee sf,1.3536000000000001
coffee always,1.3433
super friendly,1.341
coffee thanks,1.3374000000000001
favorite philz,1.3216
cafe,1.3149
service,1.2906
coffee served,1.2856
mint tea,1.2778
chocolate,1.2684
first time,1.2604
cozy,1.2582
coffee tasty,1.2572
green,1.2539
staff great,1.2505000000000002
coffee interesting,1.2319
awesome,1.2309999999999999
awesome staff,1.2226
tasting coffee,1.22
poor,1.2043
pleasant,1.1817
coffee pastry,1.1793
like coffee,1.1754
friendly professional,1.1745999999999999
sf,1.1739
coffee espresso,1.1615
homeless people,1.1446
coffee baristas,1.1427
best cup,1.1401000000000001
coffee going,1.1183
banana bread,1.101
coffee lover,1.0955
coffee rose,1.0675
coffee hand,1.0659
excellent customer,1.0623999999999998
san francisco,1.0619
taste coffee,1.0523
bacon,1.0404
order coffee,1.0394
morning,1.0266
good baristas,1.0264
get coffee,1.0173
freshly brewed,1.0099
coffee order,1.0054
type coffee,1.0036
mint leaf,1.0015
love location,1.0
good drink,1.0
good spot,1.0
great spot,1.0
costly place,1.0
okay,1.0
nice ppl,1.0
friendly people,1.0
noisy,1.0
slow service,1.0
cool,1.0
overated overpriced,1.0
silken splender,1.0
lamborghini coffee,1.0
espresso,1.0
know good,1.0
kind trashy,1.0
delicious friendly,1.0
yummy coffee,1.0
area rough,1.0
tasted good,1.0
average,1.0
yum,1.0
beautiful place,1.0
always good,1.0
awsome spot,1.0
wonderful,1.0
rough,0.9783
excellent pastry,0.9773
coffee stop,0.9768
like phill,0.9751
costly,0.9721
iconic coffee,0.9672
fresh coffee,0.9669
atmosphere starbucks,0.9607
friendly baristas,0.9601
latte,0.9592
good go,0.9571
beautiful,0.9569
overpriced,0.9553
long,0.9504
space plenty,0.9501999999999999
coffee must,0.9495
compare philz,0.9483
solid coffee,0.9483
coffee especially,0.9454
sweet creamy,0.9383999999999999
always pleasant,0.9364
know,0.9348
love silken,0.9267
phill,0.9226
nice coffee,0.921
delicious flavor,0.9161
best coffe,0.916
tesora coffee,0.9151
made order,0.9143
slow,0.9114
coffee incredible,0.9027
adjusting coffee,0.8987
mojito best,0.8919
amazing,0.8914
mojitos coffee,0.8864
trashy,0.8858
tea delicious,0.8855
plenty seating,0.8804
philz rule,0.8793
make coffee,0.8787
recommend ginger,0.8766
sit work,0.8746
need said,0.8735
mojito awesome,0.8729
staff fun,0.8727
cafe sf,0.8707
coffee mostly,0.8657
cup,0.865
ginger snap,0.8642
word disgusting,0.8624
helpful staff,0.862
nice music,0.8611
tea good,0.8603
cold amazin,0.8595
ok compare,0.8588
lot homeless,0.8581
gluten free,0.8579
coffee willing,0.8577
rather cold,0.857
last time,0.8551
cream sugar,0.8551
milk base,0.8544
cafe ridiculous,0.854
poor philanthropist,0.8513
soft delicious,0.851
picked good,0.8507
local,0.8502000000000001
good croissant,0.8489
service friendly,0.8485
rule need,0.8477
yep like,0.8425
hang outside,0.8422
coffee guess,0.8407
got coffee,0.8393
coffee liked,0.8367
always coffee,0.8366
place sit,0.8355
always solid,0.835
expensive poor,0.8348
good chai,0.8346
crazy beverage,0.8334
atmosphere coffee,0.8334
yep,0.8311
disgusting,0.8284
sweets lover,0.8284
fine coffee,0.8278
coffee planet,0.8271
atmosphere good,0.8252
overated,0.8251
coffee lovely,0.8248
compare,0.8216
time frustrating,0.8215
awesome loved,0.8207
picked,0.8184
coffee owner,0.8161
amazing caffeine,0.8122
dumb snobby,0.8107
tea superb,0.8102
sit,0.8088
use milk,0.8077
coffee selection,0.806
new manhattan,0.8048
like,0.8045
tasted,0.8039
seating atmosphere,0.8038
cold,0.802
line,0.8017
chai great,0.799
ok coffee,0.7984
coffee go,0.7965
coffee cool,0.7913
mojito blow,0.7897
coffee bad,0.7893
drink,0.7893
kind ok,0.7891
snobby worker,0.7869
milk,0.786
brown sugar,0.7855000000000001
baristas friendly,0.7852
always love,0.7848
visit cafe,0.7845
silken splendor,0.7836
need,0.7819
drake kanye,0.7814
splender,0.7802
everyone always,0.7802
coffee friend,0.7798
cheese tomato,0.7747
kind coffee,0.7727
almost scary,0.7722
ppl,0.7719
love atmosphere,0.7716
spoon sugar,0.7716
free wifi,0.7715
croissant pain,0.7711
nice set,0.7697
rather starbucks,0.7686
patriots good,0.7685
flavor unique,0.7684
fun vibe,0.7678
food worth,0.7673
homeless,0.7658
tomato cucumber,0.7645
hard chew,0.7642
blend cafe,0.7627
au chocolat,0.7627
space friendly,0.7625
one word,0.7617
cookie delicious,0.7568
stop,0.756
poor product,0.7554
service poor,0.7552
lamborghini,0.7546
scary,0.7527
good employee,0.7515
coffee neighborhood,0.7514
coffee fresh,0.7502
chocolate almond,0.7473
splendor philz,0.7471
road rough,0.747
visit coffee,0.7462
great green,0.7447
ginger,0.7423
checkout average,0.7413000000000001
sauce sesame,0.7402
manhattan da,0.7386
coffee per,0.7373
friendly personal,0.7362
selection coffee,0.736
fun cafe,0.7349
frustrating,0.7342
coffee staff,0.7332
try pastry,0.7331
love mint,0.7327
blow mind,0.7314
located nice,0.7312
expensive side,0.7308
blend coffee,0.7302
area,0.7292
coffee worth,0.729
sesame leaf,0.7266
tea made,0.7264
fine pastry,0.7259
coffee house,0.7255
informative friendly,0.7255
chocolat,0.7218
delicious vegan,0.7202
helpful,0.7198
coffee perfectly,0.7187
go crazy,0.7187
fan coffee,0.7187
great philz,0.7182
coffee better,0.7177
bold coffee,0.7163
solid,0.7147
snobby,0.7144
atmosphere customer,0.7136
lovely warm,0.7133
relax hv,0.7123
great crowd,0.7121
loved,0.7106
mojito spoon,0.709
many bum,0.7084
coffee savvy,0.7083
great place,0.708
freshly roasted,0.7079
mojito sweets,0.7074
variety coffee,0.7048
outside,0.7047
bagel really,0.7044
nice service,0.7023
nyc open,0.7019
mediocre sorry,0.7
pick coffee,0.6998
nice work,0.699
coffee city,0.6972
bit expensive,0.6969
kind,0.6966
product good,0.6958
coffee mint,0.6950000000000001
time last,0.6948
coffe town,0.6939
coffee rather,0.693
flavor,0.6912
music,0.6908
work quickly,0.6907
croissant,0.6905
tea special,0.6903
bacon cheddar,0.6901
kanye kendrick,0.6899
quality coffee,0.6887
comfortable sofa,0.6886
nice mint,0.6884
miss taxi,0.6884
get work,0.6884
coffee best,0.6883
sweet coffee,0.6881
starbucks defacto,0.688
comfortable cozy,0.6876
butter cookie,0.6857
geat food,0.6841
atomosphere delicious,0.6836
relax,0.6835
great tasting,0.6822
everyone,0.6819
barista friendly,0.6819
nice baristas,0.6815
work done,0.6795
great customer,0.6793
people,0.6791
ice menu,0.6778
good cafe,0.6777
best blend,0.677
warm people,0.6768
superb seating,0.6753
choice coffee,0.6751
delightful coffee,0.6749
coffee refreshingly,0.6715
bacon onion,0.6713
work coffee,0.6704
mocha,0.6701
quick breakfast,0.67
pretty crazy,0.6694
fave great,0.6691
location,0.667
stir stick,0.6669
never got,0.665
cream cheese,0.6649
soy sauce,0.6647
pastry fine,0.6647
mojito ice,0.6636
crazy,0.663
toasted bacon,0.6624
manhattan,0.6615
hazelnut flavored,0.6576
amazing awesome,0.6572
interesting flavour,0.656
favorite roast,0.655
philz friendly,0.6548
last,0.6538
mediocre,0.6526
breakfast cucumber,0.6516
found hazelnut,0.6515
must visit,0.6514
coffee san,0.6509
friendly cafe,0.6508
place exceptional,0.6507
convenient location,0.6505
iced mojito,0.6495
coffee crowded,0.6493
great local,0.6487
iconic,0.6466
pastry see,0.6464
one,0.6449
coffe,0.6445
word,0.6439
cozy place,0.6438
service worst,0.6426
hang,0.6425
hot coffee,0.6424
informative,0.6422
love philz,0.6411
coffee maker,0.6408
tasty coffee,0.6408
first,0.64
coffee creamy,0.6398
excellent service,0.6398
latte ever,0.6397
bum hang,0.6397
rough lot,0.6387
cozy spot,0.638
space staff,0.6369
helpful drink,0.6368
mojito taste,0.6362
taste creamy,0.6359
kendrick travis,0.6356
salt delicious,0.6349
bagel,0.6347
coffee super,0.6345
service excellent,0.6336
coffee tasting,0.633
people nice,0.6327
best chai,0.6322
love starbucks,0.632
base mocha,0.6317
food,0.6304
coffee shame,0.6304
funny coffee,0.6303
price fair,0.6282
taste aroma,0.6278
lot space,0.6278
clean restroom,0.6276
take subway,0.6265
croissants outstanding,0.6256
perfect atmosphere,0.6246
warm,0.6232
coffee chain,0.623
happy baristas,0.622
exceptional,0.622
philtered soul,0.6218
good local,0.6215
savory aroma,0.6213
used adjusting,0.6207
sunday awful,0.6203
fast convenient,0.6202
friendliness relaxed,0.6175
time amazing,0.6174
cucumber toast,0.6152
barista,0.6141
vegan bagel,0.6138
coffee delectable,0.6129
lots space,0.6127
sweets,0.6123
coffee love,0.612
crowded morning,0.6117
product tasty,0.6117
popular coffee,0.6113
drink coffee,0.6103
friendly cosy,0.6086
spot bagel,0.6085
quality consistent,0.6071
bathroom customer,0.6065
sugar,0.6062
strong nyc,0.605
bagel cream,0.6048
coffee ginger,0.6046
defacto coffee,0.6034
yummy,0.6031
latte rather,0.6026
specialty coffee,0.6017
coffee choose,0.6014
nicer,0.6012
pastry staff,0.6
sell coffee,0.5994
over lot,0.5994
chocolate delicious,0.5989
caffeine free,0.5978
relaxed couch,0.5977
drink mojito,0.5975
dirty table,0.5969
pleasure meet,0.5965
ya stir,0.5962
seattle coffee,0.5956
coffee walkable,0.5952
tesora,0.5952
coffee fanatic,0.5952
coffee seems,0.5948
iced gingersnap,0.5948
taxi take,0.5936
korea taste,0.5927
aroma taste,0.5926
great drink,0.5926
always friendly,0.592
fresh fragrant,0.5915
staff,0.5911
peanut butter,0.5904
barely speak,0.59
hazelnut,0.5887
rose coffee,0.5886
like atmosphere,0.5884
stick line,0.588
service tasty,0.5876
herbal mint,0.5875
delicious staff,0.5862
mojit coffee,0.5858
understaffed kept,0.5852
pour over,0.5852
served love,0.5852
organization cafe,0.5852
bad organization,0.5851
nice atomosphere,0.5848
expensive tasty,0.5848
relaxed atmosphere,0.5847
never,0.5843
wifi plug,0.5841
coffee bean,0.5826
fragrant love,0.5825
lil extra,0.5817
drinking mojito,0.5817
