keyword,weight
coffee,52.2534
great coffee,11.2042
love,7.6469000000000005
best coffee,7.6098
good coffee,7.4784999999999995
great,5.997999999999999
coffee good,5.9149
best,4.7264
cup coffee,4.5832
good,4.3601
philz,4.139
amazing coffee,3.9746
coffee great,3.8983
place,3.6482
delicious coffee,3.4516999999999998
nice,3.3203
mint mojito,3.1587
tea,3.0372
coffee ever,3.0237999999999996
starbucks,3.0163
nice staff,2.8129
friendly staff,2.7967
mint,2.7772
delicious,2.5326
coffee amazing,2.4966999999999997
staff,2.3941
cool,2.377
coffee delicious,2.3138
awesome staff,2.1795999999999998
mojito,2.1686
philz coffee,2.1283
always,2.0659
love coffee,2.0
amazing,1.9452
good philz,1.94
friendly baristas,1.8104
philz great,1.7945
nice coffee,1.7906
unique flavor,1.6974
coffee awesome,1.633
latte,1.5997
friendly,1.5594000000000001
coffee town,1.5512
iced coffee,1.5509
favorite coffee,1.542
flavor,1.5368
coffee bomb,1.5255
coffee bean,1.5083
first time,1.4801
mojito latte,1.4630999999999998
cute,1.4422000000000001
coffee friendly,1.4162
patio,1.4102000000000001
love philz,1.4046
seating,1.3942
mint tea,1.3898000000000001
coffee complaint,1.3860999999999999
coffee tea,1.3820999999999999
coffee like,1.362
drink,1.3531
coffee best,1.3517
hot chocolate,1.325
service great,1.3176999999999999
quality coffee,1.3107
baristas,1.2606
great neighborhood,1.252
special coffee,1.2467
coffee ready,1.2341000000000002
great service,1.229
mojito coffee,1.2107
best mint,1.2044000000000001
coffee excellent,1.1931
coffee coffee,1.1834
coffee house,1.18
experience coffee,1.1773
coffee made,1.1503
good service,1.1480000000000001
toast,1.1312
coffee always,1.1237
bad,1.0952
service,1.0657999999999999
tasty,1.0381
drip coffee,1.0334
great philz,1.0246
cup,1.016
really nice,1.0144
ever,1.0084
great place,1.0
wolfie approves,1.0
addicted,1.0
beautiful place,1.0
friendliest staff,1.0
menu attractive,1.0
ask latte,1.0
cool peep,1.0
quiet,1.0
cute patio,1.0
good cofee,1.0
fantastic staff,1.0
full philling,1.0
love phill,1.0
love phiz,1.0
coffee around,0.9866999999999999
come breakfast,0.9641
beautiful,0.9569
start day,0.9551
lot character,0.9471
love little,0.9458
good customer,0.9429
breakfast,0.9375
nice people,0.9316
place lot,0.927
always love,0.9265
flavor cool,0.9265
unique blend,0.9239
coffee specialty,0.9232
cute interior,0.9191
excellent coffee,0.9175
cool place,0.9162
dark coffee,0.9162
free wifi,0.9133
friendliest,0.9065
high turnover,0.9063
fast friendly,0.9032
pretentious,0.9031
nothing else,0.8958
mojito go,0.892
expect philz,0.8908
mojito great,0.8899
spot chill,0.8899
best bathroom,0.8882
favorite,0.887
various coffee,0.8867
pour coffee,0.886
great selection,0.8848
seems high,0.8844
love coffe,0.8817
coffee expensive,0.88
high,0.8722
ecstatic coffee,0.8721
friendly delicious,0.8712
awesome,0.8708
coffee way,0.8687
greenery courtyard,0.8663
philz starbucks,0.8654
pretentious coffee,0.8633
lot,0.8633
great tea,0.8609
starbucks upper,0.8593
chill,0.8575
get coffee,0.8536
philz nothing,0.8521
philz greenery,0.8517
day,0.8515
super nice,0.8504
people,0.8504
mint coffee,0.8493
always parking,0.8483
coffee service,0.8443
greenery,0.8394
always point,0.8371
coffe perfect,0.8365
terrible wifi,0.8363
tea loved,0.8358
full,0.8341
point drink,0.8338
decent coffee,0.829
area changed,0.829
perfect atmosphere,0.8277
free morning,0.8266
almond milk,0.8262
nothing,0.8197
hangout,0.817
morning commute,0.817
exactly would,0.816
changed lot,0.8153
place hangout,0.8145
corporate discount,0.8131
bad cup,0.8106
coffee outside,0.8101
gingersnap iced,0.8085
coffee food,0.808
allows baristas,0.8077
ask,0.8075
highly caffeinated,0.8056
wish seating,0.8045
caffeinated coffee,0.8031
coffee terrible,0.8011
way start,0.7991
tasty coffee,0.7981
great love,0.7979
lot seating,0.7973
start,0.7971
great accommodating,0.7916
would expect,0.7899
