keyword,weight
coffee,183.861
best coffee,39.8823
great coffee,37.6432
good coffee,24.6315
best,20.659
good,15.8162
philz coffee,14.7804
iced coffee,14.6602
mint mojito,13.7325
coffee shop,13.4056
cup coffee,10.8391
great,10.6972
favorite coffee,10.624600000000001
coffee good,10.5426
original,9.9567
coffee great,9.3694
philz,9.3583
love,8.3167
delicious coffee,8.2051
coffee ever,8.1921
mojito coffee,7.9898
delicious,7.5919
love coffee,6.9953
mint,6.8722
excellent coffee,6.8676
drip coffee,6.4866
mojito,6.4329
favorite,5.7294
amazing coffee,5.541
ice coffee,5.3276
tea,5.2806999999999995
nice,5.2322
starbucks,5.1822
coffee friendly,5.0772
sf,5.0355
original philz,5.0146
coffee sf,4.7757000000000005
iced mint,4.7622
awesome coffee,4.7571
quality coffee,4.5067
excellent,4.1172
friendly staff,4.0855
coffee nice,3.8624
coffee experience,3.7958
iced,3.7656
cool,3.7583
mojito iced,3.7287
drink coffee,3.7228
awesome,3.7118
place,3.6201
friendly,3.4711999999999996
expensive,3.4602999999999997
vibe,3.348
coffee made,3.2867
coffee taste,3.2761
coffee love,3.2639
get coffee,3.1423
coffee really,3.136
coffee always,3.0739
coffee blend,3.0602
coffee place,3.0446999999999997
coffee tea,3.0111
service,2.9587000000000003
coffee philz,2.932
coffee best,2.9276
coffee delicious,2.8975999999999997
selection coffee,2.8035
coffee amazing,2.8013
ever,2.7544
cozy,2.7401999999999997
coffee staff,2.7384
cafe,2.7376
great service,2.675
san francisco,2.6644
great cup,2.6353999999999997
cream,2.6108000000000002
original best,2.5857
fantastic coffee,2.5758
taste good,2.5698
comfortable,2.5378
coffee long,2.5008
friendly baristas,2.495
pour coffee,2.4792
friendly service,2.462
coffee mint,2.428
og philz,2.4171
couch,2.3994
coffee cozy,2.3622
coffee strong,2.3485
amazing,2.341
cream sugar,2.3337
coffee awesome,2.3324
coffee town,2.2931
best cup,2.2843
espresso,2.2245
go,2.1889
hipster coffee,2.1328
coffee one,2.1176
wrong,2.1143
