keyword,weight
coffee,152.102
great coffee,40.8292
best coffee,21.9551
good coffee,17.4986
mint mojito,17.373
great,16.4033
mojito coffee,13.0548
mint,10.3075
iced coffee,10.1419
cup coffee,9.2759
coffee great,9.0578
good,8.7453
best,8.6397
philz coffee,8.0739
coffee shop,7.9423
mojito,7.6822
tea,7.4535
love coffee,7.1434999999999995
love,7.1301000000000005
delicious,6.7542
amazing coffee,5.6803
great service,5.6391
coffee good,5.5179
friendly,5.4008
iced mint,5.2031
coffee ever,5.1323
iced,5.0043999999999995
coffee always,4.902
philz,4.9011
drip coffee,4.8624
delicious coffee,4.7065
friendly staff,4.5294
expensive,4.4289
amazing,4.4269
taste,4.402
pour coffee,4.3989
quality coffee,4.0705
excellent,3.9714
excellent coffee,3.9582
try,3.8964
awesome,3.8582
nice,3.6844
coffee best,3.4556
mint coffee,3.4344
avocado toast,3.4155
nice coffee,3.3442
service,3.2669
favorite coffee,3.2451
coffee worth,3.2262
coffee nice,2.9808000000000003
place,2.9628
mojito iced,2.9372
taste coffee,2.9351000000000003
coffee friendly,2.8943
strong coffee,2.8785
tasty,2.7948
always,2.7855
always great,2.7699
cup,2.7691
order coffee,2.7668
coffee taste,2.7031
coffee bean,2.6969
avocado,2.6886
coffee spot,2.6591
coffee really,2.6303
coffee chain,2.6032
coffee tea,2.5845000000000002
coffee amazing,2.5374999999999996
san francisco,2.4577
cream,2.4347000000000003
coffee tasted,2.3713
rose coffee,2.3518
clean,2.2813
best cup,2.1597
coffee awesome,2.1437999999999997
coffee town,2.0938999999999997
cold brew,2.0930999999999997
coffee wish,2.0378
yummy,2.0
drinking coffee,1.9925
coffee recommend,1.9844000000000002
go,1.9687999999999999
caffeine,1.9632
cream sugar,1.9608
sf,1.9582
coffee service,1.9414
good place,1.9157000000000002
great place,1.907
mint latte,1.8987
hipster,1.893
better coffee,1.8778000000000001
coffee around,1.8759
first time,1.8368
coffee flavor,1.8362
mojito delicious,1.8237999999999999
good customer,1.8207
brewed coffee,1.8140999999999998
latte delicious,1.7628
mojito awesome,1.7622
roast coffee,1.7612
worth,1.7523
make coffee,1.7469999999999999
taste great,1.7319
little,1.7044
drip,1.7038
high,1.6784
high price,1.6749
decent coffee,1.6623999999999999
making coffee,1.66
coffee avocado,1.6578
tesora,1.6551
brew,1.6407
fast,1.6328
coffee expensive,1.6301999999999999
tasting coffee,1.63
espresso,1.6289
awesome staff,1.6243
love philz,1.6183
staff great,1.5813000000000001
coffee excellent,1.5697
location friendly,1.5667
starbucks,1.564
great taste,1.5593
coffee espresso,1.5483
coffee lover,1.5277
francisco franchise,1.5272999999999999
ice,1.5234999999999999
sandwich,1.5215
favorite,1.5006
mojito tasty,1.4773
coffee definitely,1.4681000000000002
coffee atmosphere,1.4667
town,1.4654
iced tea,1.4555
normal philz,1.4491
good service,1.4464000000000001
coffee delicious,1.4413
black coffee,1.4296000000000002
coffee life,1.4293
coffee coffee,1.4214
atmosphere,1.4142
vegan donut,1.4073
loved avocado,1.4016
ice coffee,1.3952
tea coffee,1.3934
francisco,1.3925
different,1.3911
local coffee,1.3816
tea selection,1.373
perfect,1.3721
coffee mint,1.3704
breakfast,1.3476
soul train,1.3447
good cup,1.3296999999999999
get iced,1.3169
nice philz,1.3058
coffee hand,1.2964
coffee pastry,1.2911
coffee usually,1.2869
type coffee,1.2843
food,1.2799
quickly coffee,1.27
friendly service,1.2688
coffee drink,1.2549
excellent location,1.2452
always consistent,1.1915
coffee line,1.1911999999999998
good vibe,1.1905999999999999
outdoor seating,1.1879
sugar,1.1857000000000002
normal,1.1799
pour,1.1792
coffee much,1.166
buy coffee,1.1654
pick,1.1618
getting coffee,1.1587
coffee even,1.1503
pricey,1.1421000000000001
staff always,1.1416
iced latte,1.125
coffee quite,1.1219000000000001
iced mocha,1.114
ecstatic iced,1.1069
first,1.0998
coffee every,1.0982
great customer,1.0981999999999998
coffee okay,1.0939
normal coffee,1.093
take coffee,1.0867
mint iced,1.0831
coffee philz,1.057
coffee first,1.0535999999999999
drink,1.0469
turkish,1.0444
great staff,1.0363
menu,1.0310000000000001
lunch,1.0204
blend coffee,1.0187
rose,1.0187
morning,1.0149000000000001
great choice,1.0111
open,1.0
good worth,1.0
close pm,1.0
great crousaints,1.0
must try,1.0
phil period,1.0
great philz,1.0
tasteful coffee,1.0
decent throughput,1.0
taystee expensive,1.0
try beanz,1.0
prefer peet,1.0
pride,1.0
building beauty,1.0
flavour,1.0
loved,1.0
starbucks philz,1.0
fine,1.0
good atmosphere,1.0
good coofee,1.0
feels disorganized,1.0
overcoffee,1.0
fan coffee,1.0
try mojito,1.0
wow,1.0
little expensive,1.0
expensive good,1.0
exelent coffee,1.0
recycle bin,1.0
latte,0.9879
amazing experience,0.9809
bacon,0.9807000000000001
sensational amazing,0.9787
hold caffeine,0.9707
awesome tea,0.9696
disorganized,0.9687
coffee seems,0.9677
like flavor,0.9632
ridiculous coffee,0.9622
hipster bahaha,0.9591
mint leaf,0.9577
love design,0.9571
recycle,0.9568
clean bathroom,0.9559
breakfast burrito,0.9553
long wait,0.9541
tea friendly,0.9518
flavor available,0.9514
awesome meeting,0.9505
tesora philz,0.9502
customer service,0.9496
phil,0.9482
extra creamy,0.9477
special coffee,0.9461
smooth coffee,0.9456
awesome coffee,0.9441
standard great,0.9431
mint love,0.9426
breakfast friend,0.9422
greatest want,0.9413
staff friendly,0.9384
different amazing,0.934
choice coffee,0.9338
coffee drinker,0.9336
quirky tasty,0.9328
unbelievable coffee,0.9319
flavor,0.9309
coffee stop,0.9299000000000001
best iced,0.9296
feel hipster,0.929
silken splendor,0.9276
good tea,0.9274
best bay,0.9242
friendly barista,0.9222
calm god,0.9216
little place,0.9212
fast accurate,0.921
great little,0.92
