keyword,weight
thank,34.9568
coffee,14.3871
great review,6.9159999999999995
thank much,6.7321
great coffee,5.8465
great,5.7967
hope,4.0095
excellent review,3.6535
real soon,3.5623
tasty,3.1441
next time,3.0849
really appreciate,3.0736
appreciate,3.0014
star next,2.9364
excellent,2.6394
review hope,2.5008999999999997
see soon,2.4475
much great,2.3277
sightglass coffee,2.2404
appreciate great,2.157
coffee pastry,2.101
review,2.0813
soon,2.0512
anything better,2.0
thank kindly,1.8951
tasty coffee,1.8807
better,1.8672
two star,1.8304
thank excellent,1.8166
kindly,1.7976
kind word,1.7922
cappuccino,1.7664
appreciate review,1.7557
appreciate kind,1.7232
always,1.6659
coffee service,1.6560000000000001
best,1.6446999999999998
best coffee,1.6131
anything,1.594
restaurant,1.5904
flat white,1.5463
pastry,1.506
latte,1.4802
baked good,1.4677
espresso,1.4379
little cafe,1.4176
coffee bar,1.4159000000000002
hope see,1.3963
enjoy coffee,1.3700999999999999
sandwich,1.3567
good coffee,1.3527
hot chocolate,1.3364
cafe,1.2862
hope get,1.2316
sorry experience,1.1997
coffee fast,1.0699
chocolate,1.0276
coffee treat,1.0013999999999998
always appreciated,1.0
thank colin,1.0
try,1.0
unfriendly people,1.0
reliably latte,1.0
love cappuccino,1.0
thank come,1.0
coffee cuppuccino,0.9804
piccino coffee,0.9793000000000001
thank george,0.9641
george appreciate,0.9608
terrific coffee,0.9559
could improve,0.953
great espresso,0.9495
kindly pawan,0.9418
unfriendly,0.9381
friendly knowledgeable,0.9337
food great,0.9247
knowledgeable staff,0.9229
sandwich cold,0.907
geetika thank,0.8959
always looking,0.8931
thank great,0.8896
tasty espresso,0.885
blush thank,0.8816
terrific latte,0.877
steep coffee,0.876
banana muffin,0.8737
amazing pastry,0.8712
like coffee,0.8684
enjoyed hope,0.8609
great flat,0.8604
best mocha,0.8601
improve,0.859
delicious coffee,0.8564
knowledgeable,0.8535
delicious gibraltar,0.8504
tasty food,0.8476
coffee simply,0.8471
great granola,0.8396
white,0.8346
flat,0.8341
simple grab,0.8331
made blush,0.8324
thank could,0.8299
come,0.828
colin,0.8208
caffeine good,0.8182
service,0.8165
cafe amazing,0.8142
appreciated,0.8138
glad enjoyed,0.8137
pleased enjoyed,0.8125
sit restaurant,0.8122
much,0.8117
sit inside,0.8112
sandwich lunch,0.8083
built simple,0.8056
great sandwich,0.8037
low price,0.7969
business awesome,0.794
