keyword,weight
coffee,18.7642
coffee shop,6.7185
friendly staff,5.9357
food,5.4775
good food,4.9031
friendly,4.3824
great food,4.1996
good coffee,3.7701000000000002
ice cream,3.6203
coffee great,3.2835
food good,3.2139
sandwich,3.2064
delicious food,3.2039
good,3.1940999999999997
coffee food,3.1065
lunch,3.0358
great coffee,3.0278
cozy,2.9335
food coffee,2.8989000000000003
wifi,2.8735999999999997
nice patio,2.7858
thank,2.7403
love,2.5877
tasty,2.5188
cafe,2.4046
free wifi,2.3913
decent coffee,2.3859
breakfast sandwich,2.341
great,2.336
cafe friendly,2.1413
delicious,2.036
cafe good,2.0141999999999998
neighborhood cafe,1.9403
nice place,1.923
banana,1.8612
salmon wrap,1.8249
sandwich delicious,1.7076
coffee friendly,1.6974
nice,1.6592
patio,1.6568
gluten free,1.6178
excellent coffee,1.6147
great place,1.5896
tasty coffee,1.5463
friendly service,1.5335
place,1.5257
friendly good,1.5104
wonderful patio,1.4889999999999999
nice staff,1.4889999999999999
good service,1.4815999999999998
bagel delicious,1.4808
ham cheese,1.4787
favorite,1.4518
cute coffee,1.4442
grilled salmon,1.4142000000000001
coffee work,1.4137
thank support,1.412
tea,1.3809
love coffee,1.3717000000000001
place coffee,1.3439
patio good,1.3252
neighborhood coffee,1.3225
always nice,1.2961
breakfast lunch,1.2723
great patio,1.2705
heights,1.2426
cozy neighborhood,1.2406000000000001
vegan,1.226
smoothie,1.2185000000000001
banana cake,1.1833
best cafe,1.1672
bernal,1.1558
cafe nice,1.1538
great service,1.1537
favorite place,1.1516000000000002
salmon,1.1383
cool coffee,1.1273
food great,1.1053
patio food,1.0995
cozy atmosphere,1.0934
breakfast,1.0836999999999999
organic coffee,1.0744
best coffee,1.0711
bernal height,1.0669
menu breakfast,1.0619
amazing food,1.0390000000000001
coffee coffee,1.0342
service,1.0159
food drink,1.0146
coffee drink,1.0045
good time,1.0
sweet,1.0
like sandwich,1.0
good hang,1.0
great selection,1.0
friendly place,1.0
great local,0.9727
salad,0.9701000000000001
always friendly,0.9675
san francisco,0.9652
cappuccino disappointed,0.964
back patio,0.9604999999999999
food option,0.9596
excellent,0.9538
tasty food,0.9488
enjoying food,0.9484
many room,0.9474
clean place,0.9336
local coffee,0.9307000000000001
food decent,0.9296
stale croissant,0.9285
nice outdoor,0.9248
room hanging,0.9188
good location,0.9173
food friendly,0.9152
yummy food,0.914
lively friendly,0.9139
cute neighborhood,0.9133
love food,0.9097
soup sandwich,0.9062
cozy backroom,0.9001
play chess,0.8939999999999999
super cozy,0.8918
clean,0.889
lovely human,0.8877
outdoor seating,0.8866
cream,0.8818
heights festival,0.8816
great lunch,0.881
working happy,0.8786
service tasty,0.8748
excellent delicious,0.8744
favorite coffee,0.87
delicious smoothy,0.8673
stale,0.8617
great little,0.8535
good chai,0.8474
betnal heights,0.844
place good,0.8425
hang,0.8378
working coffee,0.8373
spacious coffee,0.8361
croissant bad,0.8347
bad atmosphere,0.8342
staff delicious,0.8316
room,0.8296
cozy place,0.8288
great drink,0.8262
yard coffee,0.8257
best smoothie,0.8209
friendly environment,0.8208
beautiful cafe,0.8208
food cozy,0.8174
affordable menu,0.8156
cheese croissant,0.815
coffee delicious,0.8141
cafe delicious,0.813
happy friendly,0.8119
festival,0.8076
time,0.8068
amazing sandos,0.8057
perfect breakfast,0.8052
coffee lovely,0.802
disappointed,0.8016
cozy cute,0.7997
many,0.7996
pastry excellent,0.7978
good menu,0.7967
little spot,0.7939
lunch option,0.7902
year thank,0.7877
smoothy cozy,0.7846
outdoor,0.7843
support aziz,0.7822
menu friendly,0.7816
vibe food,0.7814
nice coffee,0.7809
coffee service,0.7809
nice menu,0.7779
sandwich everything,0.7774000000000001
bad,0.7745
berry smoothie,0.7743
really lively,0.7743
hanging,0.7714
decent food,0.7704
vegan friendly,0.7692
good salad,0.7679
relaxed environment,0.7667
great pastries,0.7658
cup organic,0.7651
little,0.7649
quiet shop,0.7606
coffee somewhat,0.7605
wifi reliable,0.7591
cutest coffee,0.7585
neighborhood hangout,0.7583
cold sits,0.7576
environment tasty,0.7568
lunch menu,0.7566
love sitting,0.755
always,0.7508
hangout spot,0.7492
work laptop,0.7489
chill hangout,0.7487
perfect sunny,0.7453
bernal heights,0.7445
salad friendly,0.744
decent wifi,0.7436
sitting relaxing,0.742
aziz owner,0.7414
tasty smoothy,0.7399
delicious atmosphere,0.7389
sunny day,0.7385
sandwich outstanding,0.7377
patio yogurt,0.7355
customer year,0.735
menu vegan,0.7348
generous menu,0.7337
selection,0.7332
coffee best,0.7329
happy,0.7315
cozy cafe,0.728
option relaxed,0.7277
fresh banana,0.7262
excellent java,0.7257
wifi lot,0.7234
hangout,0.7213
cute cafe,0.7205
smoothy,0.718
fast internet,0.7178
atmosphere food,0.7167
shop amazing,0.7166
support,0.7156
shop rustic,0.7152
new guest,0.7141
excellent banana,0.7133
reliable fast,0.7113
coffee house,0.7108
nice cafe,0.7106
breakfast cuisine,0.7104
good breakfast,0.7092
classic breakfast,0.709
love banana,0.7089
around enjoying,0.7086
pleasant environment,0.7077
relax coffee,0.7068
inviting vibe,0.7065
cheese,0.7061
cheese sandwich,0.7056
rude stuff,0.7049
best salmon,0.7043
vegan vegetarian,0.704
organic joe,0.7039
everyone respectful,0.703
stuff cold,0.7017
ordered cappuccino,0.7005
laptop,0.7001
sunny,0.6997
back soon,0.6995
funky space,0.6993
house coffee,0.6984
breakfast happy,0.6979
quiet inviting,0.6977
delicious coffee,0.6975
smoothie kind,0.6942
room patio,0.6934
local greets,0.6929
food awesome,0.692
coffee decent,0.691
food service,0.6906
yogurt parfait,0.6893
cold,0.6888
fantastic breakfast,0.6883
venue inviting,0.6882
patio breakfast,0.6882
good berry,0.6866
good quiet,0.6863
nice cuisine,0.6862
selection coffee,0.6859
enjoy cup,0.6855
banana bread,0.6852
rude,0.6849
breakfast friendly,0.6841
breakfast orange,0.6815
guest welcome,0.6803
patio perfect,0.6801
orange juice,0.6793
havent coffee,0.6783
great affordable,0.676
place delicious,0.6753
enjoying,0.6752
local cafe,0.675
made banana,0.6738
patio peaceful,0.673
perfect cafe,0.6723
cozy backyard,0.6711
sweet patio,0.6695
pastries well,0.6691
surly coffee,0.668
juice best,0.6676
wonderful cafe,0.6675
slow embarrassing,0.6673
service slow,0.6671
latte good,0.6668
coffee levash,0.6659
bagel friendliest,0.6657
grab coffee,0.665
cuisine beautiful,0.6631
work,0.663
affordable,0.6616
extremely pleasant,0.661
shop good,0.6608
ginger lemonade,0.6601
banana bred,0.6597
go visit,0.6595
sittin farm,0.6591
lots pastry,0.659
cute,0.6588
liked chicken,0.6583
menu great,0.658
place work,0.6571
superb bagel,0.656
convenient patio,0.6559
coffee free,0.6553
kind staff,0.6539
smoothie bernal,0.6528
wifi outlet,0.6526
service excellent,0.6519
healthy delicious,0.6513
patio lovely,0.65
relaxing,0.65
yogurt,0.6477
food safe,0.6462
good seating,0.6456
love place,0.6447
light lunch,0.6444
croissant breakfast,0.6435
perfect place,0.6432
perfect seating,0.6422
soon,0.6402
food vegan,0.6384
cup coffee,0.6382
snack coffee,0.6377
seating nice,0.6373
quiet,0.6367
beautiful cozy,0.6365
big patio,0.6363
great indoor,0.6359
greets new,0.6352
dog friendly,0.6351
best food,0.6321
wrap tasty,0.6319
cozy back,0.6314
service chill,0.6311
food welcome,0.6287
work funky,0.6283
good vibe,0.6279
sandwich forgot,0.6256
food always,0.6253
wifi double,0.6242
internet big,0.624
delicious ambiance,0.6233
loved coming,0.6232
staff free,0.623
late sister,0.6215
kind food,0.6209
seating,0.6198
tasty gluten,0.6191
nice drink,0.6183
menu fresh,0.6178
lovely coffee,0.6175
food greatest,0.6174
late service,0.6155
coffee uplifting,0.6152
smoothy breakfast,0.6149
courteous staff,0.6146
also delicious,0.6133
adorable spacious,0.6127
