keyword,weight
coffee,2.6462
good coffee,1.589
coffee lot,1.4362
room sit,1.3952
overpriced bad,0.9162
good latte,0.864
latte pricey,0.8534
useless business,0.8352
coffee good,0.8311
coffee bright,0.813
review overpriced,0.8128
insanely useless,0.8042
bad,0.7891
great customer,0.7817
enjoyed mocha,0.7575
useless,0.7341
bar inside,0.7034
overpriced,0.7018
equator coffee,0.6993
inside lobby,0.6966
pricey,0.6958
service enjoyed,0.6919
sit,0.6857
coffee bar,0.6776
latte,0.6745
worth money,0.6659
spacious setup,0.6416
bright spacious,0.633
lobby clancy,0.6323
lobby,0.6157
sit around,0.6076
espresso muffin,0.5999
insanely,0.5809
food menu,0.5756
definitely worth,0.5461
looked review,0.5444
enjoyed,0.5382
good,0.5375
listed food,0.5352
menu counter,0.5304
automatic espresso,0.524
worth,0.5231
good espresso,0.5213
cafe actually,0.5132
espresso,0.4796
business hour,0.4633
customer service,0.4546
cafe,0.4332
espresso place,0.4317
