keyword,weight
coffee,23.3878
charcoal latte,5.7522
good coffee,5.2059999999999995
great coffee,4.5008
coffee shop,3.5116
delicious,3.061
best coffee,2.8522
latte,2.6112
coffee great,2.4241
worst espresso,2.4236
beautiful coffee,2.0395
saigon latte,1.7448000000000001
quality coffee,1.6682
drip coffee,1.5932
coffee view,1.5535999999999999
iced latte,1.5369
charcoal,1.5257999999999998
latte delicious,1.5088
excellent coffee,1.5078
amazing,1.4799
coffee pastry,1.4494
matcha latte,1.4363
try coffee,1.4135
fast,1.3448
nice coffee,1.2907000000000002
tried charcoal,1.2902
taste coffee,1.2753
tea,1.266
great matcha,1.2631000000000001
got charcoal,1.2601
love coffee,1.2341
coffee place,1.1656
coffee spot,1.1515
san francisco,1.1507999999999998
good,1.1373
latte great,1.1366
pastry,1.1245
cold brew,1.1123
variety coffee,1.069
great,1.0638999999999998
espresso,1.0493000000000001
coffee well,1.0264
espresso drink,1.0109
complete gormet,1.0
pricey,1.0
delicious serviceable,1.0
coffee delicious,0.9962
latte tasty,0.9874
fast delicious,0.9786
coffee ordered,0.9713
fat milk,0.9528000000000001
complete,0.9245
bottle coffee,0.9159999999999999
white delicious,0.9129
amazing fast,0.8957
ferry building,0.8888
le recently,0.883
serviceable,0.8596
latte iced,0.8591
charcoal coffee,0.831
coffee bitter,0.8222
adorable coffee,0.822
iced delish,0.8213
latte amazing,0.8176
line efficient,0.8171
regular latte,0.8163
wonderful coffee,0.812
amazing le,0.8111
finest coffee,0.806
recently,0.8039
flat white,0.8028
coffee slow,0.8011
latte super,0.7985
used amazing,0.7902
efficient kind,0.7866
coffee inflated,0.786
coffee different,0.7832
great pastry,0.7798
awesome coffee,0.7765
coffee town,0.7756
cool coffee,0.7724
efficient,0.7574
yummy coffee,0.7533
pastry nice,0.7478
great people,0.7446
enjoy ferry,0.74
white,0.7391
nice baristas,0.7355
cafe,0.7302
sour,0.7289
best,0.7242
tasty nut,0.7232
coffee maker,0.7211
line coffee,0.7208
ambiance coffee,0.7195
funky coffee,0.7193
twist coffee,0.7193
kind service,0.7146
best oat,0.7127
gormet,0.7126
pastry pricey,0.7121
ordered regular,0.7112
super good,0.7112
cafe never,0.7031
sweet employee,0.6992
black owned,0.6987
tasty cappuccino,0.6917
baristas great,0.6901
vegetarian review,0.6884
slow bad,0.6868
serf coffee,0.6867
vegan chocolate,0.6857
amazing coffee,0.6847
tasting coffee,0.6845
coffee full,0.6836
veg vegetarian,0.6826
nut croissant,0.681
wish vegan,0.6762
cappuccino smooth,0.6757
mixed espresso,0.6653
seating fabulous,0.6632
beautiful cafe,0.6622
trying vegan,0.6609
coffee establishment,0.6588
coffee open,0.6553
overpriced starbucks,0.6542
inflated price,0.6521
google yelp,0.6514
honey lemon,0.6511
trade coffee,0.6477
taking ferry,0.6437
nice staff,0.6433
laptop ferry,0.6432
cola mixed,0.6432
brew coffee,0.6398
iced,0.6385
long wait,0.637
get coffee,0.6354
bitter bad,0.6353
love saigon,0.6323
coffee croissant,0.6298
starbucks quality,0.6293
lovely tasting,0.6291
latte saigon,0.6289
best espresso,0.6276
wonderful flavor,0.6257
vegan croissant,0.6248
francisco ferry,0.6244
pick coffee,0.6235
neighbor bakery,0.6233
service sweet,0.6211
owned coffee,0.621
espresso rich,0.6169
coca cola,0.616
shop excellent,0.6155
ferry terminal,0.6135
fast service,0.6118
unpleasant coffee,0.6105
coffee ready,0.6094
later shop,0.6092
slow coffee,0.6079
sour milk,0.6064
coffee connoisseur,0.6049
chocolate neighbor,0.6042
coffee would,0.6027
croissant cappuccino,0.5972
line slow,0.5963
flat,0.596
pastry neighbor,0.5953
super touristy,0.5949
tasted sour,0.594
iced chai,0.5936
roaster quality,0.5931
cafe friendly,0.5927
hot tea,0.5914
cola,0.5906
another coffee,0.589
latte ever,0.5881
bakehouse baked,0.5879
bad service,0.5878
around waterfront,0.5873
croissant tasty,0.5872
meh coffee,0.5868
nice relax,0.5861
ordering coffee,0.5835
lemon drip,0.5832
coffee espresso,0.583
place nice,0.5829
maker long,0.5818
waterfront taking,0.5809
