keyword,weight
breakfast pizza,46.8785
pizza,39.7186
breakfast,35.3991
food,32.1381
thanks much,21.1488
thanks,20.4665
great,15.1103
great food,13.121
good food,11.3709
coffee,11.1491
great breakfast,9.8023
glad,9.623
delicious,9.1968
good,9.0756
food great,8.7191
nice,8.6178
excellent food,7.6533
food good,7.59
kind word,6.8508
brunch,6.8506
enjoyed,6.7459
food service,6.4557
thank,6.359999999999999
place,5.87
glad enjoyed,5.6144
lunch,5.4298
cafe,5.135
much,5.1215
french toast,4.9008
good coffee,4.8911999999999995
tasty,4.8399
rose cafe,4.7702
delicious breakfast,4.459
nice place,4.3842
happy,4.2494
great hear,4.1251999999999995
appreciate feedback,3.9326
menu,3.9253
great service,3.9132000000000002
excellent,3.8948
much glad,3.764
thank much,3.7373
breakfast place,3.6443
salmon pizza,3.6206
love,3.6124
sandwich,3.4947
restaurant,3.4943
delicious food,3.4709
place breakfast,3.3522
pizza delicious,3.3003
waitress,3.2609000000000004
service,3.2529
happy hear,3.2455
excellent breakfast,3.2426
pizza great,3.0896
overpriced,3.0839
good service,2.9518
italian,2.9493
word appreciate,2.9267
flavor,2.8984
brunch lunch,2.8971999999999998
pasta,2.8821
food nice,2.8137
bad,2.8091999999999997
food delicious,2.7988
lunch dinner,2.7862999999999998
italian food,2.7773
best breakfast,2.7180999999999997
good breakfast,2.6509
food friendly,2.6425
friendly staff,2.6381
overpriced food,2.6317
feedback glad,2.5876
great brunch,2.5661
pastry,2.5643000000000002
dinner,2.5556
turkey sandwich,2.5532
glad hear,2.5052
appreciate business,2.4467
love place,2.4415
great coffee,2.4357
salmon,2.4109
chicken sausage,2.3838
much feedback,2.365
good wine,2.3227
glad good,2.3079
garlic potato,2.3067
thank laurie,2.2868
thanks feedback,2.2857000000000003
delicious pizza,2.2841
service food,2.2663
appreciate,2.2521
great staff,2.2509
food excellent,2.2453
breakfast menu,2.2298999999999998
brunch great,2.2279999999999998
meal,2.2199
always great,2.2029
review glad,2.175
wine,2.166
pizza good,2.1177
fresh tasty,2.1098
cozy,2.1083
food tasty,2.0973
amazing,2.0745
better,2.0663
smoked salmon,2.0652
food coffee,2.0545
service delicious,1.9798
nice breakfast,1.9712
favorite,1.9588
food amazing,1.9421
lavender lemonade,1.9341
coffee good,1.9313000000000002
food fresh,1.9247999999999998
delicious brunch,1.8921000000000001
wonderful breakfast,1.8448
service tasty,1.8128000000000002
brunch menu,1.7913000000000001
place eat,1.7849
hear thanks,1.7841
outdoor dining,1.7738
great dessert,1.7663000000000002
awesome breakfast,1.7635999999999998
address staff,1.7571999999999999
pizza amazing,1.7044000000000001
love food,1.6982
eat,1.6972
excellent service,1.6799
try breakfast,1.6742
bread pudding,1.6583999999999999
salmon sandwich,1.6562999999999999
word glad,1.6421999999999999
good experience,1.6352
good pasta,1.6122
thanks kevin,1.6093
comfort food,1.5989
great italian,1.5985
pizza tasty,1.5887
pizza ever,1.5866
scrambled egg,1.5839
breakfast excellent,1.5705
dining,1.5651
fresh food,1.5586000000000002
disappointed food,1.5548
favorite breakfast,1.549
expensive,1.5485
enjoyed visit,1.5402
coffee great,1.5373
diner,1.5291
pizza pasta,1.5190000000000001
much kind,1.5176
good place,1.4954
experience,1.492
great menu,1.4738
sausage polenta,1.4601
feedback,1.4558
happy enjoyed,1.4545
taste,1.4541
highly recommend,1.4432
chicken,1.4354
awesome,1.4334
caramelized apple,1.4172
tasty food,1.396
breakfast lunch,1.3901
pizza excellent,1.3844
great pastry,1.3824
rose,1.3807
hear laurie,1.3798
pizza sandwich,1.3767
loved breakfast,1.365
great experience,1.3638
egg sandwich,1.3513000000000002
interesting menu,1.3489
bad experience,1.3393
brunch breakfast,1.3296000000000001
great place,1.3201
nice polite,1.3177
wine great,1.3139
pizza garlic,1.313
sunday brunch,1.3063
wonderful place,1.3058999999999998
amazing service,1.3056999999999999
place beautiful,1.3031000000000001
sorry bad,1.2974
ham pizza,1.2955999999999999
slow food,1.2949
service great,1.291
cafe great,1.2768000000000002
feedback address,1.2709000000000001
excellent place,1.2612
pizza breakfast,1.2610999999999999
rich,1.2501
yummy,1.2431
wine list,1.2384
dessert,1.2342
best pizza,1.2316
nothing special,1.2301
pizza section,1.2268
little cafe,1.2231
pizza sausage,1.2081
beautiful,1.2035
good meal,1.1999
delicious coffee,1.199
delicious menu,1.1968999999999999
cozy atmosphere,1.1963
vegan,1.1909
breakfast sandwich,1.1888
pasta dish,1.1725
bistro,1.1717
breakfast food,1.1677
food always,1.1632
salmon breakfast,1.1543
place brunch,1.1482999999999999
good latte,1.1435
italy,1.1294
pizza brunch,1.1197
soft scrambled,1.1136
