keyword,weight
coffee,36.6636
great,11.2808
breakfast,10.884500000000001
sandwich,8.635
avocado,6.8781
friendly,6.5251
delicious,6.2088
nice,5.2185
food,5.1541
sandwiches,4.9865
good,4.1203
drinks,4.1197
latte,4.0925
tasty,3.9417
toast,3.5322
shop,3.2727
love,3.2462999999999997
park,3.1492
tea,3.0362999999999998
staff,2.5597
lattes,2.5018000000000002
service,2.4663
thank,2.4482
place,2.4145
cute,2.3293
cool,2.242
google,2.1888
cookie,2.1158
awesome,2.0573
hours,1.9828000000000001
spicy,1.8708
best,1.8476
flavor,1.8196
sesame,1.8109
morning,1.7471
espresso,1.722
drink,1.6736
restroom,1.6555
amazing,1.6365
hot,1.5797
coffees,1.5673
cold,1.5599
iced,1.5562
lunch,1.5137
hi,1.4686
wifi,1.4652
closed,1.4388999999999998
milk,1.4139
waffles,1.3838
pastries,1.3497
cafe,1.347
excellent,1.3092
1pm,1.2654999999999998
baristas,1.229
waffle,1.2223
variety,1.2107999999999999
butter,1.1996
quick,1.1636
average,1.1416
favorite,1.1127
brew,1.1027
work,1.0972
customers,1.0928
art,1.0665
brunch,1.0629
time,1.0365
sorry,1.0095
super,1.0
prices,0.9519
ambience,0.9493
long,0.9474
rich,0.9295
horrible,0.9231
chocolate,0.9146000000000001
cappuccino,0.9107
menu,0.8953
unfriendly,0.8881
golden,0.8825999999999999
flavors,0.8812
regulars,0.8786
closes,0.8565
character,0.849
small,0.8240999999999999
mocha,0.8230000000000001
taste,0.8097000000000001
ambiance,0.7893
enjoy,0.7798
fog,0.7779
location,0.7732
new,0.7614
don,0.7457
vibe,0.7355
creative,0.7329
needs,0.7179
eric,0.7102
neighborhood,0.6894
creme,0.6818
pleasant,0.6786
decent,0.6779
map,0.6777
locals,0.677
belgian,0.6618
walk,0.6581
pastry,0.6498
improve,0.6401
unique,0.6297
frittata,0.6287
chai,0.6203
enjoyable,0.6185
attention,0.6144
ginger,0.6038
quiet,0.6015
comfy,0.6002
pm,0.5944
bland,0.5904
cup,0.587
wrong,0.5858
london,0.572
terrible,0.5672
left,0.5654
taxes,0.5559
tastes,0.5495
unfortunately,0.5455
sucks,0.5454
brulee,0.5447
experience,0.5363
reliable,0.5352
starbucks,0.5272
bakery,0.5226999999999999
helpful,0.5187
rating,0.5177
egg,0.5138
keren,0.5103
neat,0.5057
cafes,0.5051
computers,0.4981
tell,0.4954
sitting,0.4858
café,0.4823
vibes,0.477
erin,0.4718
hungry,0.4706
cookies,0.4702
vanilla,0.4675
snacks,0.467
make,0.4569
fair,0.4557
visit,0.4469
friends,0.4417
review,0.439
breakfasts,0.4369
weekend,0.43610000000000004
andrea,0.435
update,0.4326
know,0.432
standoffish,0.4302
daily,0.4273
busy,0.4261
fast,0.4125
black,0.4124
barista,0.4121
overrated,0.4115
snack,0.4093
apple,0.4077
conveniently,0.406
lunchtime,0.4051
fi,0.4028
rude,0.3973
community,0.3948
tasting,0.394
appreciate,0.3903
email,0.39
boutique,0.3881
blt,0.3866
soo,0.3833
options,0.3831
wi,0.3771
socks,0.3766
quietly,0.3716
banana,0.364
fun,0.3632
peach,0.3622
dessert,0.3579
feedback,0.3578
buttery,0.3556
gg,0.3551
bluetooth,0.3532
tasted,0.3522
ready,0.345
