keyword,weight
coffee,104.2332
great coffee,35.6496
good coffee,23.9004
coffee shop,17.7818
favorite coffee,13.3902
best coffee,12.659
wifi,10.4928
cup coffee,10.3526
excellent coffee,9.4357
coffee great,9.2715
coffee good,9.0147
ritual coffee,8.3538
delicious coffee,6.7391000000000005
espresso,6.4114
coffee wifi,5.5614
coffee nice,5.2807
coffee pretty,4.1243
hipster coffee,4.0818
amazing coffee,4.0232
vegan,3.8835
espresso drink,3.4683
coffee bean,3.3376
coffee roasters,3.0968
vegan donut,2.9652000000000003
quality coffee,2.9354
coffee sf,2.9210000000000003
free wifi,2.9111000000000002
coffee cool,2.8701
pour coffee,2.6743
love coffee,2.6475999999999997
kind coffee,2.5586
friendly staff,2.551
blue bottle,2.4874
coffee service,2.4855
cold brew,2.3871
sf coffee,2.3805
rude staff,2.3680000000000003
nice atmosphere,2.3484000000000003
drip coffee,2.307
better coffee,2.2525
cafe,2.2499000000000002
hot chocolate,2.2337000000000002
coffee staff,2.2282
staff nice,2.2163
coffee excellent,2.1923
tea,2.1776999999999997
san francisco,2.0936
plenty seating,2.0584
hipster,2.0168
coffee atmosphere,2.0154
coffee roaster,1.9636
coffee love,1.9296
great space,1.9157000000000002
shop wifi,1.9108
great espresso,1.8889
vegan pastry,1.8755000000000002
best,1.81
coffee amazing,1.8074
coffee ritual,1.7843
awesome coffee,1.7839
public wifi,1.7797999999999998
experience coffee,1.7729
good espresso,1.7367
delicious espresso,1.7345
coffee friendly,1.7205
tasty,1.6742
fantastic coffee,1.6699
delicious,1.6295
coffee beautiful,1.6253
cold,1.6221
coffee wish,1.5998
seating nice,1.5771000000000002
nice staff,1.5552000000000001
coffee san,1.5492000000000001
space coffee,1.5473999999999999
tasty coffee,1.5467
good,1.5361
trendy coffee,1.5253
take coffee,1.4982
wifi coffee,1.4936
coffee expensive,1.4865
favorite,1.4838
almond milk,1.4719
latte tasty,1.4698
cutesy coffee,1.4649
average coffee,1.4264000000000001
space great,1.4233
coffee seriously,1.4172
coffee else,1.388
like coffee,1.3802
coffee also,1.3618999999999999
coffee coffee,1.3229
small coffee,1.3211
coffee place,1.3141
ordered tea,1.3046
drinking coffee,1.2966
nice cup,1.2685
coffee bad,1.2658
coffee ok,1.2473
excellent espresso,1.2450999999999999
atmosphere love,1.242
artisan coffee,1.2404
beautiful space,1.2378
flavor coffee,1.2292999999999998
delightful coffee,1.2162
coffee fantastic,1.2141
favorite cafe,1.2052
milk latte,1.2052
strong coffee,1.1958
nice people,1.1916
