keyword,weight
coffee,18.1384
best coffee,6.1936
great coffee,4.0537
amazing coffee,2.7749
coffee tea,2.4359
delicious,2.3416
expensive,2.3265000000000002
tasty coffee,2.1952
friendly,2.1225
tea,2.1067
coffee cocktail,2.1010999999999997
selection coffee,2.0762
quality food,2.0761
car thief,2.0458
coffee drink,1.9842
love,1.9465000000000001
yummy coffee,1.9229
espresso,1.8954
vegan alternative,1.8891
great,1.885
coffee good,1.7616
coffee food,1.7318
thief,1.7124000000000001
coffee ever,1.6789
great food,1.6300999999999999
cup coffee,1.6092
excellent espresso,1.5697
vegan option,1.5556999999999999
fancy,1.5324
never,1.529
starbucks,1.4719
delicious food,1.4327
chasing thief,1.4180000000000001
almond butter,1.3974
unique coffee,1.3511
food drink,1.3434
drink amazing,1.3014999999999999
cake delicious,1.2988
favorite drink,1.2928000000000002
breakfast,1.2796
best,1.2382
pour coffee,1.1768
food coffee,1.1415
good food,1.1309
vegan,1.1166
staff,1.1151
excellent,1.1076000000000001
going starbucks,1.0926
video rich,1.0923
tasty,1.0855
yummy,1.0792
morning coffee,1.0756999999999999
food,1.0734
strawberry guava,1.0088
nice,1.0
excellent coffee,1.0
team friendly,1.0
splendid,1.0
pricey great,1.0
cool hunter,0.9739
green tea,0.9723999999999999
coffee sold,0.9703
favorite,0.9612
coffee mediocre,0.9462
love staff,0.9355
blue bottle,0.9307
like coffee,0.9289
fancy coffee,0.927
toast never,0.9173
relax coffee,0.9106
gourmet quality,0.9
never disappoints,0.8998
friendly staff,0.8946
food menu,0.8898999999999999
pricey,0.887
blossom latte,0.8847
coffee thank,0.883
friendly love,0.8819
knowledgeable friendly,0.8809
expensive unique,0.8773
coffee great,0.874
best breakfast,0.8723
unique delicious,0.8702
coffee tasty,0.862
amazing cook,0.8596
coffee nice,0.8536
staff friendly,0.8486
staff great,0.8476
alternative vegan,0.8417
knowledgeable,0.8277
coffee shop,0.827
coffee lab,0.8245
great product,0.8232
unique drink,0.82
tier coffee,0.8102
drink friendly,0.8071
coffee justified,0.8064
island never,0.8057
substitute vegan,0.8031
coffee menu,0.8010999999999999
hunter nut,0.8005
exceptional coffee,0.8005
chasing,0.7834
butter croissant,0.7823
love tea,0.7772
mediocre,0.7771
relaxing environment,0.7753
real coffee,0.7714
butter toast,0.7656
love coming,0.765
team,0.7605
mash sweeten,0.7601
friendly people,0.7584
gourmet,0.7583
food great,0.7541
great espresso,0.7478
average cup,0.7461
breakfast option,0.7457
better experience,0.7446
incredible food,0.7377
sweeten drink,0.7333
cocktail caffeine,0.7333
friendly baristas,0.7315
people relaxing,0.7287
following car,0.7284
lover coffee,0.7254
top tier,0.7227
coffee lover,0.7142
offer vegan,0.7134
smoothy breakfast,0.7111
hunter,0.7101
tasty food,0.7076
tea thyme,0.7056
breakfast choice,0.7041
alcoholic cocktail,0.7033
listed vegan,0.6979
blossom coffee,0.6948
provide better,0.6933
exquisite espresso,0.6932
honey vegan,0.6911
espresso creative,0.6895
tasty breakfast,0.687
