keyword,weight
coffee,25.6253
food,7.181
delicious,5.5219
drinks,4.075
great,3.9994
espresso,3.757
friendly,3.6964
breakfast,2.7372
love,2.7346
vegan,2.7110000000000003
expensive,2.6368
tea,2.4308
menu,2.3148
tasty,2.1470000000000002
best,2.0794
good,2.0309
thief,1.8979
sandwich,1.8394
nice,1.7661
favorite,1.6743999999999999
staff,1.6629
knowledgeable,1.6557
coffees,1.6200999999999999
amazing,1.5571000000000002
toast,1.4655
drink,1.4294
excellent,1.3601999999999999
cocktails,1.3424999999999998
fancy,1.3167
butter,1.1686
cookies,1.1543999999999999
cool,1.1511
starbucks,1.1481
yummy,1.0271
unique,1.0090000000000001
splendid,1.0
better,0.9803
flavors,0.962
pricey,0.9001
cake,0.8783000000000001
quality,0.8502000000000001
spice,0.8315
car,0.7628999999999999
gourmet,0.7583
sunny,0.7294
mediocre,0.722
relaxing,0.6902
pour,0.6860999999999999
team,0.6828
rich,0.6801
alcoholic,0.6755
beans,0.6539
eggs,0.6272
relax,0.6185
sandwiches,0.602
cup,0.5992
sorry,0.5863
open,0.5842
nuts,0.5743
chasing,0.5598000000000001
happy,0.5557
morning,0.5541
tier,0.5517
baristas,0.5507
caffeine,0.5346
chocolate,0.5307999999999999
disappoints,0.5247
island,0.5236
hunter,0.5201
brilliantly,0.5198
blueberries,0.5185
hot,0.5153
cafe,0.5038
priced,0.4913
cheese,0.4863
liked,0.484
cocktail,0.482
phenomenal,0.4768
blend,0.4766
caring,0.4758
light,0.4698
grains,0.4687
blossom,0.4647
black,0.4631
incredible,0.4612
milk,0.4591
cook,0.4534
product,0.4514
thank,0.4507
salmon,0.4323
café,0.4291
basics,0.4267
taste,0.4259
day,0.4238
alternative,0.4213
pancakes,0.412
almond,0.4084
avocado,0.4079
pastries,0.4006
smoothies,0.3976
orange,0.3916
swan,0.3873
hope,0.3868
outside,0.3865
loved,0.3859
velvet,0.3853
lovely,0.385
coming,0.3845
sweeten,0.3841
steak,0.3835
spaghetti,0.3834
strawberry,0.3826
lattes,0.3815
cinnamon,0.3807
croissant,0.38
burger,0.3772
bomb,0.3703
