keyword,weight
coffee,132.0444
great coffee,42.6915
good coffee,35.237
best coffee,25.0176
coffee shop,22.4249
espresso,17.5892
coffee great,13.2905
coffee good,10.9743
great,10.0938
good,9.6153
macadamia milk,9.3846
almond macadamia,8.5533
friendly staff,7.7463
quality coffee,7.5583
excellent coffee,7.3079
amazing coffee,7.1249
delicious coffee,6.9193
cafe,6.718500000000001
pastry,6.4207
coffee friendly,6.1515
coffee place,5.7785
nice coffee,5.768
cup coffee,5.7193000000000005
coffee pastry,5.6736
coffee lover,5.5692
tasty,5.3861
coffee amazing,5.083
cappuccino,4.8217
specialty coffee,4.7697
iced coffee,4.7546
coffee nice,4.7152
chocolate,4.7135
coffee sf,4.6495999999999995
almond milk,4.5501
delicious,4.1992
latte,3.9843
nice cafe,3.9475
place coffee,3.8827
coffee tasty,3.7599
friendly baristas,3.7336
hipster coffee,3.7301
macadamia nut,3.6912
love,3.6901
great espresso,3.6196
milk,3.5281
nice,3.5267999999999997
love coffee,3.4964000000000004
coffee flight,3.2757
san francisco,3.2727
coffee coffee,3.2661
macadamia latte,3.2188999999999997
hot chocolate,3.1773
almond,3.1372
macadamia,3.1248
latte delicious,3.1052
milk latte,3.0648999999999997
tasting coffee,2.9336
favorite coffee,2.9133
starbucks,2.8529999999999998
awesome coffee,2.8366
cream latte,2.8099
coffee experience,2.8053
coffee taste,2.7723
loved,2.7654
tasty coffee,2.7375
great service,2.7101
best,2.6753
coffee spot,2.6578
friendly,2.6372
morning coffee,2.5784000000000002
coffee best,2.5732
coffee sour,2.5618
drip coffee,2.5605
coffee bean,2.496
good pastry,2.4507000000000003
great cafe,2.425
hipster,2.3221
decent coffee,2.3162000000000003
coffee san,2.2667
excellent,2.2619
highly recommend,2.2388
iced mocha,2.2079
best cappuccino,2.1374
good espresso,2.1262
modern coffee,2.0891
tasty pastry,2.0869
francisco,2.0401
grab coffee,2.0304
coffee favorite,2.0206999999999997
filter coffee,2.0187999999999997
great tasting,2.0135
lavender latte,2.013
great cappuccino,2.0
maple pine,1.9499
coffee delicious,1.9157
local coffee,1.8469
coffee excellent,1.8305
coffee cup,1.8193000000000001
cafe relaxing,1.8081
nut milk,1.8022
pine latte,1.7971
coffee bitter,1.7955
milk macadamia,1.7766000000000002
oat milk,1.7751000000000001
coffee tasted,1.766
coffee drink,1.7596
cool place,1.751
staff great,1.7236
flight coffee,1.7203
coffee worth,1.7170999999999998
wifi weekend,1.7012
nothing special,1.6896
shop,1.689
chocolate croissant,1.6874
coffee food,1.6794
solid coffee,1.6648
neighborhood coffee,1.6521
wonderful coffee,1.6509
latte amazing,1.6213000000000002
cool,1.6156000000000001
efficient service,1.6064
quality,1.6037
coffee ever,1.5916000000000001
nothing,1.5886
coffee pretty,1.5668
orange cream,1.5581
tea,1.5405
frank coffee,1.5367
trendy coffee,1.5344
nice place,1.5076
expensive coffee,1.4879
coffee ok,1.473
baristas,1.4585
iced,1.4528
food great,1.4375
clean minimalist,1.4249
taste coffee,1.4243000000000001
coffee service,1.409
kind coffee,1.4083999999999999
great atmosphere,1.3959000000000001
espresso drink,1.3906
coffee bar,1.385
coffee snack,1.3801999999999999
speciality coffee,1.3772000000000002
tonic espresso,1.3772
minimalist interior,1.3763999999999998
honey lavender,1.3725
cappuccino best,1.3716
coffee creamy,1.3689
homemade almond,1.3558
great staff,1.355
light good,1.3544
wifi,1.3529
clean modern,1.3519
outlet,1.3364
quality espresso,1.3307
sour coffee,1.3256999999999999
making coffee,1.3184999999999998
fantastic coffee,1.3176
best almond,1.3054000000000001
brew coffee,1.3007
real coffee,1.2951000000000001
great vibe,1.2931
place,1.2927
delicious cappuccino,1.2556
average coffee,1.2550999999999999
great iced,1.2543
coffee croissant,1.2476
macadamia almond,1.2432
coffee cappuccino,1.2406000000000001
burnt,1.2396
cafe work,1.2347000000000001
efficient,1.2337
taste good,1.2283
worst coffee,1.2266
service delicious,1.2187000000000001
natural light,1.2122000000000002
best iced,1.2111
origin espresso,1.2104
baristas friendly,1.2086999999999999
coffee even,1.1943000000000001
coffee loved,1.1909999999999998
clean,1.1856
coffee smooth,1.1844000000000001
franks coffee,1.184
read book,1.1834
croissant,1.1718
looking coffee,1.1640000000000001
expensive,1.1539000000000001
breakfast pastry,1.1513
caramel flavor,1.1485
stylish,1.148
coffee met,1.1401
coffee espresso,1.1394
spot coffee,1.139
coffee joint,1.1379000000000001
bitter,1.1379000000000001
spicy apple,1.1373000000000002
coffee ratio,1.1367
fantastic,1.1333
coffee impressed,1.1322
amazing iced,1.1289
coffee lovely,1.1287
homemade macadamia,1.1280000000000001
ice coffee,1.1237
food,1.1224
brew,1.1221
apple caramel,1.1133
top coffee,1.107
service great,1.1061
little coffee,1.101
good cappuccino,1.1005
prepared coffee,1.0934
bathroom clean,1.092
sf,1.0899
mission coffee,1.0873
best mocha,1.0771
cup,1.0705
coffee quality,1.0670000000000002
coffee tea,1.0666000000000002
nice staff,1.0661
milk get,1.0628
place amazing,1.057
coffee wifi,1.0503
nice baristas,1.0437
milk coffee,1.0368
great customer,1.0362
important coffee,1.0239
variety coffee,1.0236
russian hill,1.0173
coffee flavor,1.0079
dark roast,1.0052
warm milk,1.0051999999999999
go cut,1.0
pastries coffee,1.0
decent heck,1.0
cortado delicious,1.0
awesome,1.0
good outlet,1.0
yum,1.0
serious coffee,1.0
terrific coffee,1.0
valuable,1.0
good stuff,1.0
loved honduras,1.0
review,1.0
one hour,1.0
coffee area,0.9837
cool coffee,0.9752
heaven coffee,0.9726
espresso sf,0.9696
coffee outstanding,0.9689
find coffee,0.9661
found espresso,0.9631000000000001
bean coffee,0.9631
little pricey,0.9575
coffee efficient,0.9567
coffee house,0.9561
excellent cap,0.9535
good food,0.9466
delicious aesthetically,0.9461
cute space,0.9445
francisco coffee,0.9439
coffee cool,0.9427
phenomenal coffee,0.9422
coffee pleasant,0.9418
epic coffee,0.9417
decent,0.9386
lots seating,0.9379
drink cappuccino,0.9366
cut,0.9302
wifi work,0.9278
fancy coffee,0.9262
yam latte,0.925
creamy sweet,0.9217
incredibly delicious,0.9204
well coffee,0.9202
cake,0.9196
coffee really,0.9191
best americano,0.918
awesome espresso,0.9173
hour,0.9111
espresso burnt,0.911
good service,0.9097999999999999
pour espresso,0.9095
espresso croissant,0.9083
espresso beautiful,0.9067
coffee worst,0.9049
first time,0.9038
silky tasty,0.9009
coffee burnt,0.899
selection coffee,0.896
cappuccino kouign,0.8942
taste great,0.8905
coffee smell,0.8888
hip excellent,0.8886
coffee patisserie,0.8877
flavored coffee,0.885
best macadamia,0.8838
lovely coffee,0.8824
service coffee,0.8795
fave espresso,0.8775
nice nothing,0.8731
love quad,0.8696
holiday latte,0.8694
espresso san,0.8682
smooth coffee,0.868
heck,0.8643
fantastic holiday,0.8639
nice banana,0.862
service love,0.8618
caramel,0.8571
power outlet,0.8539
loved cooky,0.8526
order coffee,0.8525
coffee art,0.8513
lt taste,0.8509
hippest coffee,0.8505
like cappuccino,0.8502
go,0.8486
good place,0.8467
quad latte,0.8438
coffee sleek,0.8425
quick coffee,0.8419
missing ventilation,0.84
headphone loudspeaker,0.8386
quality love,0.8366
coffee uniques,0.8353
pricey good,0.8349
aesthetically pleasing,0.8325
aesthetic cafe,0.8325
over espresso,0.8320000000000001
nice walk,0.832
needed flavor,0.8312
cappuccino almond,0.8287
coffee specialty,0.8286
go espresso,0.8279
knowledgeable baristas,0.8278000000000001
sf coffeehouse,0.8272
great pastry,0.8268
minimalist well,0.8263
baked good,0.8260000000000001
coffee welcoming,0.8225
get tonic,0.8219
killer espresso,0.8211
people watch,0.8191
love affagato,0.8141
fantastic energy,0.8131
coffee wi,0.8125
espresso bean,0.8117
coffee dessert,0.8104
delicious espresso,0.8104
chocolate cappuccino,0.8101
coffee superb,0.8097
trying coffee,0.8096000000000001
starbucks treat,0.8092
good light,0.8068
better expectation,0.805
coffee takeaway,0.8044
espresso mighty,0.8036
loved cortado,0.803
latte cappuccino,0.8026
coffee blazing,0.8011
time last,0.7992
great satisfied,0.7987
banana bread,0.798
kouign amann,0.7974
missing,0.7943
pricey,0.7923
signature almond,0.7918
chocolate fudge,0.7916
milk divine,0.7912
satisfied,0.7896
coffee giselle,0.7883
espresso bright,0.7878
neighborhood cafe,0.7875
cute shop,0.7862
relaxing atmosphere,0.7853
cappuccino great,0.783
little,0.7801
amazing staff,0.7773
shop must,0.7773
espresso soda,0.7767
stuff,0.7763
sourced artisanal,0.7758
coffee small,0.7746
cafe like,0.7746
enjoyed iced,0.7736
giselle memorable,0.772
best bakery,0.7707
last,0.7703
smooth brew,0.7699
special coffee,0.7688
good barista,0.7686
design coffee,0.7685
staff nice,0.7685
nice pastry,0.7682
cooky loved,0.7673
employee clean,0.766
coffee true,0.7658
bitter taste,0.7646
cocoa smooth,0.7643
place people,0.7619
matcha latte,0.7619
americano ever,0.7602
pastry friendliest,0.7592
yummy latte,0.7582
loudspeaker,0.7576
coffee hip,0.7575
cap,0.757
milk good,0.7566
honduras,0.7554
email,0.755
artisanal coffee,0.7545
good better,0.7543
looking cafe,0.7536
coffee pricey,0.7494
absolutely fantastic,0.7483
level hipster,0.7477
watch,0.7473
tonic,0.7455
amazing hot,0.7448
perfect neighborhood,0.7435
delicious cake,0.7433
milk yummy,0.7428
better,0.7421
coffee city,0.7415
coffee coming,0.7408
best cup,0.7402
taste,0.7398
loved cappucino,0.7393
sunshine morning,0.7387
pleasing pour,0.7377
relaxing,0.7373
pastry friendly,0.7373
decent never,0.7363
nice cozy,0.735
cappuccino cappuccino,0.7348
brownie chocolate,0.7334
favorite cafe,0.7333
cold brew,0.7331
chocolate exquisitely,0.7331
coffee bit,0.7326
coffee average,0.7323
well sourced,0.7323
burnt bitter,0.7321
creamy espresso,0.7301
shop polk,0.7294
coffee love,0.7291
entered coffee,0.7287
enjoyed drinking,0.7286
relaxing calming,0.7285
maple,0.728
great neighbourhood,0.7274
coffee sparse,0.7274
milk cappuccino,0.7268
cappuccino honey,0.7268
clean environment,0.7263
shorting popular,0.7258
classy coffee,0.7246
kouign,0.7235
tea town,0.723
city coffee,0.7223
clean high,0.7215
coffee mediocre,0.7214
great food,0.721
cool guy,0.72
minimalist,0.7196
espresso cocoa,0.7184
lit coffee,0.7178
friendly employee,0.7178
shop coffee,0.7177
air conditioning,0.7176
capuchino strong,0.7159
working headphone,0.7156
another hipster,0.7153
serious,0.7147
americano delicious,0.7143
cake coffee,0.7137
loved cafe,0.7131
holiday,0.7124
ambiance tasty,0.7124
house milk,0.7123
coffee russian,0.7122
pleasant place,0.7115
good cafe,0.711
espresso kind,0.7103
service clean,0.71
best kenya,0.7095
staff helpful,0.7083
blueberry lemon,0.7081
first,0.708
one,0.7075
chocolate cake,0.7065
kaffe tonic,0.7059
light coffee,0.7057
decent latte,0.705
worst service,0.7048
great drip,0.7038
supper cute,0.7038
calming vibe,0.7034
place good,0.7029
unique flavored,0.7025
coffee crab,0.7024
nice service,0.7023
cappuccino town,0.7013
espresso sour,0.7012
shop tasty,0.7009
tonic good,0.7001
never place,0.7
atmosphere coffee,0.6998
egg muffin,0.6989
space fantastic,0.6989
mediocre coffee,0.6984
delicious muffin,0.6982
polk street,0.6981
coffeehouse,0.6979
stylish interior,0.6974
nice trendy,0.6973
artisanal,0.6972
horrible medicinal,0.6969
delicious pastry,0.6968
tea house,0.6966
coffee nicest,0.6963
wonderful pastry,0.6959
espresso almond,0.6941
cortado silky,0.6936
loved design,0.6934
great caffeine,0.6933
outlet customer,0.6925
better pastry,0.6921
friendly neighborhood,0.6915
coffee granola,0.6905
cozy place,0.6905
five coffee,0.6904
high queue,0.6903
cafe quite,0.6902
fantastic pourovers,0.689
nice bathroom,0.6875
good coffees,0.6874
expensive sour,0.6872
hip,0.6871
uncomfortable wifi,0.6871
americano,0.6864
cafe drink,0.6859
back yam,0.6859
top espresso,0.6858
chai tea,0.6855
pleasant,0.6853
small workspace,0.6846
good hungry,0.6845
never,0.6842
clean store,0.683
customer,0.6828
bathroom horrible,0.6826
bright cafe,0.6824
enjoying coffee,0.6819
coffee quiet,0.6816
smell good,0.6814
visit coffee,0.6812
yam,0.6803
beautiful tea,0.6801
lot sunshine,0.68
espresso tasty,0.6798
renovation coffee,0.6798
tiny coffee,0.6793
pine,0.6784
interior gorgeous,0.6772
quite expensive,0.6753
brilliant coffee,0.6748
nice modern,0.6744
coffee baristas,0.6742
quad,0.6742
weird wifi,0.6742
parking tough,0.673
delicious pour,0.6729
flavored,0.6728
exceptional baristas,0.6725
shop might,0.6715
aesthetic tasty,0.6715
coffee chocolate,0.6713
pour coffee,0.67
white love,0.669
cafe delicious,0.6689
account espresso,0.6689
osha tea,0.6686
delicious ham,0.6674
espresso pull,0.667
lover espresso,0.6669
boiled egg,0.6665
food delicious,0.6656
space friendly,0.6647
mocha nice,0.6643
latte coffee,0.6639
cozy,0.6639
latte enjoyed,0.6633
enjoyed nice,0.6628
made macadamia,0.6625
coffee option,0.6618
shop enjoyable,0.6616
espresso honduras,0.6616
minimalistic clean,0.6608
dessert friendly,0.6606
bitter meh,0.6602
vanilla flavor,0.6596
bad coffee,0.6594
bluebottle coffee,0.6592
hot,0.6589
headphone,0.6585
space coffee,0.6581
fairly quiet,0.6578
pastry exceptional,0.6568
award coffee,0.656
expensive hipster,0.6556
brewing always,0.655
espresso delicious,0.6546
banana,0.6546
sunshine,0.6524
excellent latte,0.6522
orange latte,0.652
coffee also,0.6515
sit read,0.6515
best morning,0.6514
music peaceful,0.6512
neighbourhood cafe,0.6505
cafe amazing,0.6501
cafe feel,0.6496
starbucks take,0.6494
espresso stop,0.6491
must try,0.6488
shop nice,0.6488
made almond,0.6486
unlike north,0.6485
pastries,0.6474
baristas kind,0.6474
slow wifi,0.6465
tourist easily,0.6463
popular high,0.645
custom made,0.6446
coffee restaurant,0.6436
latte great,0.6423
favorite place,0.642
hot coffee,0.6403
lavender,0.6403
latte needed,0.6398
amazing drink,0.6396
hipster place,0.6392
coffee pay,0.6391
flavor,0.6388
given sf,0.6383
satisfying coffee,0.6378
inviting atmosphere,0.6372
lt,0.6369
sugar free,0.6367
far coffee,0.6363
coffee celebrated,0.6362
ambiance coffee,0.6352
pretty coffee,0.6351
australian coffee,0.635
love efficient,0.6349
tasty food,0.6323
pastry coffee,0.6322
latte oat,0.6321
zen love,0.6306
coffee cake,0.6301
tough street,0.6299
crowded pastries,0.6295
coffee roaster,0.6294
love staff,0.6292
ham sandwich,0.6287
flavor chocolatey,0.6287
ordering coffee,0.6281
year love,0.628
latte highly,0.6279
milk winner,0.6279
staff friendly,0.6266
interior excellent,0.6263
coffee go,0.6258
delicious single,0.6255
honduras perfecto,0.6252
black coffee,0.6251
kids loved,0.6246
maple latte,0.6246
brewed espresso,0.6244
coffee atmosphere,0.6236
seating inside,0.6236
typical coffee,0.6234
sit time,0.6231
perfect taste,0.6224
sit relax,0.6221
cortado,0.622
modern minimalist,0.622
cappuccino ham,0.6216
beautiful spot,0.6216
cortado enjoyed,0.6213
pastry average,0.6209
ditch starbucks,0.6208
charming space,0.62
recommending coffee,0.6193
excellent chocolate,0.619
service quality,0.6182
lucky coffee,0.618
staff perfect,0.618
tasty line,0.6176
power,0.6176
coffee slow,0.6173
espresso excellent,0.6171
nice open,0.6169
knowledgeable coffee,0.6166
made espresso,0.6165
nice environment,0.6159
well lit,0.6158
muffin fantastic,0.6155
delicious baristas,0.6154
coffee nob,0.6144
inundated light,0.6137
real espresso,0.6134
popular,0.6134
espresso good,0.6134
pretty quick,0.6129
black pour,0.6127
tasty espresso,0.6124
coffee make,0.6119
perfect cappuccino,0.6113
homemade vegan,0.6112
cafe great,0.6111
friendliest staff,0.6107
breakfast sandwich,0.6103
milk amazing,0.6098
helpful staff,0.6097
stylish place,0.6094
light baristas,0.6094
espresso machine,0.6091
spot sit,0.6088
fast best,0.6087
ice delicious,0.6081
giselle,0.608
actually coffee,0.6076
chocolate nutty,0.6075
spacious great,0.6072
enjoyed place,0.607
outstanding coffee,0.6068
steaming coffee,0.6066
bright ambiance,0.6066
suitable shorting,0.6065
cage spacious,0.6057
peaceful place,0.6056
overall nice,0.6055
coffee melbourne,0.6053
trendy,0.6052
brewing bean,0.605
pastry hot,0.6049
blazing speed,0.6048
flavor almond,0.6045
loved vibe,0.6043
food coffee,0.6041
fantastic account,0.6033
coffee clean,0.6028
bougie coffee,0.6021
art wall,0.6015
efficient great,0.6012
better given,0.6003
good interior,0.6002
bassy music,0.6001
great environment,0.5993
quiet,0.5982
drink coffee,0.5979
ham croissant,0.5978
memorable perhaps,0.5976
could better,0.5975
nice aesthetic,0.5971
instagram google,0.5968
flavor espresso,0.5963
cafe decent,0.5961
latte delightful,0.5959
friendly tea,0.5957
light roast,0.5956
bakery sf,0.5955
espresso meet,0.5953
dog friendly,0.5952
seats uncomfortable,0.5945
perfect coffee,0.5944
iced black,0.5943
coffee decent,0.5942
worst tasting,0.5941
coffee cafe,0.5938
cream,0.5936
staff love,0.5935
italy problem,0.5931
sandwich perfect,0.5929
long food,0.5925
need parklet,0.5924
worth walk,0.5919
tasty snack,0.5917
tea pastry,0.5913
great cup,0.5913
coffee attitude,0.591
music,0.5909
cooky good,0.5903
coffee sitting,0.5902
bitter delicious,0.5901
interior minimalistic,0.5896
special enough,0.5889
good vibe,0.5887
coffee bright,0.5884
satisfied coffee,0.5881
restaurant stellar,0.5878
hipster making,0.5872
shop espresso,0.5864
sized coffee,0.5848
new renovation,0.5839
milk friendly,0.5838
food lovely,0.5838
great almond,0.5832
weak coffee,0.583
work attitude,0.5828
coffee super,0.5828
serf smooth,0.5827
baristas wonderful,0.5827
coffee staff,0.5823
espresso starbucks,0.5823
quiet ambience,0.5821
great lighting,0.582
brew amazing,0.5818
significant chocolate,0.5814
roast delicious,0.5814
minimalist coffee,0.5811
extremely expensive,0.5806
tea awesome,0.5797
favorite,0.5797
quality bean,0.579
espresso filter,0.579
know espresso,0.5783
friendly helpful,0.5783
cup hot,0.5771
artisan coffee,0.5767
baristas nice,0.5767
cold latte,0.5754
cafe good,0.5754
coffee gods,0.5747
staff knowledgeable,0.5746
kind professional,0.5744
pull perfect,0.5742
relaxed inviting,0.5738
matcha taste,0.5737
interior design,0.5736
amazing texas,0.573
enjoy coffee,0.573
cappuccino really,0.5719
enough seating,0.5711
sweet chocolate,0.5708
espresso tasted,0.5707
iced americano,0.5706
darker roast,0.5705
baristas super,0.5703
loved pumpkin,0.57
wifi interior,0.5699
cheese croissant,0.5698
