keyword,weight
coffee,1.962
amazing coffee,0.9733
best roaster,0.7571
owner amazing,0.739
best coffee,0.6811
coffee boyfriend,0.6735
amazing energy,0.6564
super friendly,0.6472
compostable biodegradable,0.6332
great place,0.6229
biodegradable keurig,0.614
place amazing,0.5956
amazing,0.5739
roaster full,0.5695
bodied coffee,0.5641
amazing hidden,0.5406
gem sf,0.5354
biodegradable,0.5266
nicest people,0.5201
staff nicest,0.5197
making compostable,0.5056
company making,0.4953
coffee owner,0.47
boyfriend stop,0.4596
coffee city,0.4579
get coffee,0.4564
coffee ever,0.4205
best san,0.3773
sold coffee,0.3513
boyfriend,0.3127
ever drinken,0.2528
drinken company,0.2429
