keyword,weight
thank,109.6789
coffee,77.3058
thank much,32.299
much,25.646
great coffee,24.0212
good coffee,21.6147
thanks,14.9539
best coffee,14.1241
awesome,10.8366
great,8.4015
espresso,8.0629
coffee shop,7.3025
thank awesome,6.9564
delicious coffee,6.3365
friendly staff,6.2778
coffee great,5.9397
excellent coffee,5.4048
coffee friendly,4.9743
friendly,4.9005
good,4.8849
coffee good,4.6776
appreciate,4.6145
amazing coffee,4.5461
love,4.1996
delicious,4.1464
quality coffee,3.9854000000000003
expensive,3.9555
coffee delicious,3.7222
coffee nice,3.6336
best,3.5678
coffee place,3.5595
latte,3.5103
enjoy coffee,3.4687
great atmosphere,3.3302
espresso drink,3.2201
kind word,3.1252
thank kind,3.0827999999999998
coffee excellent,3.0352
cup coffee,2.9886
pastry,2.9562
coffee cool,2.8696
sextant coffee,2.7773
drink nice,2.6651
love coffee,2.5984
coffee roasters,2.5837
coffee amazing,2.5530999999999997
kind,2.5476
nice coffee,2.5256
best tasting,2.4974000000000003
best espresso,2.4693
delicious espresso,2.4229000000000003
place,2.4024
good espresso,2.3877
coffee roaster,2.362
espresso great,2.3311
amazing,2.3062
tasty,2.293
bathroom,2.2643
iced latte,2.2513
great review,2.247
coffee best,2.2354
vibe good,2.2109
great espresso,2.136
favorite coffee,2.1355
coffee really,2.1297
favorite,2.1038
coffee ever,2.0937
chai latte,2.0671
coffee bean,2.0598
thank appreciate,2.0
coffee selection,1.9973
roasted coffee,1.9923
hot chocolate,1.9595
satisfying customer,1.9104
cappuccino,1.8999
good pastry,1.8936
happy,1.8917
great vibe,1.8684
much awesome,1.8477000000000001
coffee sf,1.8362
appreciated,1.8033000000000001
tasty coffee,1.7845
patio,1.7814
great service,1.7734999999999999
great place,1.7612
nice,1.7547000000000001
bad,1.752
yummy latte,1.7221
almond milk,1.6859
tasting drink,1.6856999999999998
ethiopian coffee,1.6778
coffee spot,1.6739000000000002
coffee pastry,1.6602
cold brew,1.6476
excellent service,1.639
pricey,1.6012
dog,1.5711
cookies,1.5424
san francisco,1.5411
cafe,1.5279
thanks great,1.5114999999999998
coffee better,1.5070000000000001
chocolate,1.5023
good service,1.4973
always,1.4630999999999998
lovely coffee,1.4605
best latte,1.4181
back yard,1.4117
baked good,1.4064
hot,1.3972
spacious,1.3965999999999998
service,1.3938000000000001
finest coffee,1.387
wifi,1.3798
nice people,1.3749
cool coffee,1.363
coffee always,1.3573
drink everyone,1.3572000000000002
everyone good,1.3512
staff,1.3453
excellent,1.335
nice atmosphere,1.328
glad enjoyed,1.3211
great latte,1.32
pastry friendly,1.3014999999999999
friendly baristas,1.2818
friendly people,1.2783
coffee actually,1.2733
great tasting,1.2618
friendly coffee,1.2572
coffee cappuccino,1.2565
drip coffee,1.2393999999999998
quality drink,1.2309
excellent latte,1.2264
shop great,1.2137
make coffee,1.208
kind coffee,1.2001
yes,1.1962
neighborhood coffee,1.1952
cool,1.1947
chai tea,1.1937
best ethiopian,1.1918
better,1.1873
good baristas,1.1819
amazing bathroom,1.1721
enjoyed,1.1548
espresso ever,1.1543
clean,1.1488
coffee enjoyed,1.1398
coffee coffee,1.1352
sunny,1.125
saturday,1.1206999999999998
tasting coffee,1.1192000000000002
coffee house,1.1177000000000001
pistachio croissant,1.1164
vibe,1.1059
outdoor patio,1.1049
tea,1.0925
coffee decent,1.0895000000000001
back,1.0701999999999998
decent,1.043
coffee festival,1.0402
sit work,1.0384
coffee roasted,1.0263
cute cafe,1.0258
local coffee,1.0171999999999999
coffee baked,1.0037
customer staff,1.0021
specialty coffee,1.0008
tank much,1.0
special coffee,1.0
good place,1.0
change cream,1.0
nice place,1.0
good expensive,1.0
thank joe,1.0
thank em,1.0
real deal,1.0
jostel gandi,1.0
thanks awesome,1.0
decent espresso,1.0
really good,1.0
reasonable,1.0
dog friendly,1.0
amazing roast,1.0
thanks million,1.0
love atmosphere,1.0
rich everything,1.0
great expresso,1.0
cappuccino okay,1.0
thank love,1.0
perfection,1.0
thank pablo,1.0
roast bean,0.9961
chocolate croissant,0.9916
coffee would,0.9906999999999999
always pleasure,0.986
kind thank,0.9787
staff safety,0.9783999999999999
extremely expensive,0.9768
much appreciated,0.9764
tried coffee,0.9750000000000001
sf coffee,0.9719
coffee neighborhood,0.9687
roaster,0.9682
latte delicious,0.967
much appreciate,0.9622
love dog,0.9604
latte weak,0.9574
fantastic coffee,0.9558
many coffee,0.9550000000000001
expensive wow,0.954
dark chocolate,0.9539
beautiful machine,0.9532
get work,0.9468000000000001
thank thank,0.9461
awesome awesome,0.9452
best capuccinos,0.9444
thank support,0.9383
jostel,0.9378
pranav awesome,0.9373
one best,0.9342999999999999
mach appreciated,0.9339
coffee spacious,0.9321
amazing thank,0.9321
latte friendly,0.9318
thanks much,0.9309
review awesome,0.9289
coffee overpriced,0.927
coffee ambience,0.9251
space aged,0.9237
thank supporting,0.9188
coffee san,0.9161
safety customer,0.9158
enjoy space,0.9118
expensive artwork,0.9109
enjoyed coffee,0.9105
real,0.9097
quick kind,0.9077
wired gandhi,0.9077
sextant blue,0.9055
gandi,0.9024
gandhi ftw,0.902
ha amazing,0.9011
rich,0.8976
thank pranav,0.8958
thank star,0.8955
support kind,0.8932
sudeep plenty,0.893
star rating,0.8917
fave coffee,0.8917
drink coffee,0.8878999999999999
beautiful,0.884
blue bottle,0.8797
thank sudeep,0.879
stay patio,0.876
place friendly,0.8753
americano delicious,0.8734
tank,0.8732
thank anthony,0.8727
expresso,0.8724
kind service,0.8724
solid coffee,0.8721
word appreciate,0.8702
great cold,0.8691
sunny coffee,0.8687
joe,0.8684
always welcome,0.8682
wifi spacious,0.8679
million,0.8673
pride coffee,0.8663
anthony wonderful,0.865
baristas,0.8616
deal,0.8603
calming decor,0.86
milk ace,0.8576
coffee different,0.8572
appreciate business,0.8567
clean bathroom,0.8556
croissant delicious,0.8554
roastery coffee,0.852
cream,0.8516
francisco coffee,0.8508
much robert,0.8504
coffee wholesome,0.8493
yes always,0.8487
pablo,0.8486
bean yirgacheffe,0.8463
vishal thank,0.8459
really,0.8458
wonderful hear,0.8451
pleasure,0.8406
space,0.8406
spacious busy,0.8393
robert,0.8391
pastry coffee,0.8377
weak,0.8354
espresso amazing,0.8347
em,0.8258
positivity awesome,0.824
neutral calming,0.8218
futuristic bathroom,0.8198
coffee expensive,0.8178
atmosphere neutral,0.8173
appreciate word,0.8154
bad cup,0.8149
favorite cafe,0.8145
ok coffee,0.8101
house wifi,0.8098
support,0.8094
spacious ventilated,0.8074
okay coffee,0.8065
thanks always,0.8037
getting coffee,0.8023
caf nice,0.8017
customer satisfaction,0.8014
bad coffee,0.801
decent coffee,0.7973
gibraltar almond,0.7957
amazing owner,0.7948
nathan happy,0.7944
best pourover,0.794
hidden gem,0.7929
iced mocha,0.7926
happy hear,0.792
delicious latte,0.7912
hope next,0.7908
open pm,0.7898000000000001
everything,0.7896
thank greatly,0.7881
coffee pleasant,0.7872
hear enjoy,0.7868
coffee need,0.7861
coffee ok,0.7846
chai stay,0.7842
yirgacheffe coffee,0.7823
coffee relaxed,0.7821
latte espresso,0.7806
change,0.7806
best americanos,0.7799
cooky nice,0.778
supporting,0.7777
