keyword,weight
coffee,257.2933
great coffee,99.9449
good coffee,47.6753
best coffee,40.2394
coffee great,29.5152
coffee shop,29.1129
wifi,26.8012
coffee good,22.9467
favorite coffee,18.4876
amazing coffee,18.163
coffee pastry,15.2524
delicious coffee,14.9335
love coffee,14.8824
excellent coffee,14.6343
espresso,13.5165
pastry,12.2476
coffee nice,11.7772
coffee bean,11.3105
vanilla,10.4624
cup coffee,10.0969
coffee delicious,8.7706
nice coffee,8.7261
coffee amazing,7.995
cafe,7.9719
fantastic coffee,7.7225
coffee roasting,7.5875
roast coffee,7.5391
roasted coffee,7.3713999999999995
coffee best,7.1754
coffee wifi,6.7448
sightglass coffee,6.7261999999999995
delicious,6.7234
iced coffee,6.4895
awesome coffee,6.3887
vanilla latte,6.2062
vanilla cold,6.1783
hipster coffee,6.1677
quality coffee,6.1423000000000005
coffee roasted,5.897
coffee lover,5.8275
coffee atmosphere,5.8077000000000005
coffee place,5.5524000000000004
tasty coffee,5.3293
coffee cool,5.2629
wifi outlet,5.2021999999999995
place coffee,5.1864
starbucks,5.0689
ice cream,4.901
san francisco,4.7261
great atmosphere,4.660299999999999
nice,4.6564
coffee coffee,4.6198999999999995
baked good,4.5386
coffee beautiful,4.4608
coffee really,4.4347
latte,4.4263
enjoy coffee,4.3871
coffee roaster,4.3801000000000005
bean roasted,4.3548
great pastry,4.3305
coffee bar,4.3282
decent coffee,4.3282
freshly roasted,4.2175
almond milk,4.1985
vanilla paste,4.166
iced vanilla,4.1525
better coffee,4.0947
coffee roast,4.0596
great,3.9949
great espresso,3.8943
coffee excellent,3.8527
excellent espresso,3.7632
pastry coffee,3.7465
coffee awesome,3.6892
best,3.6330999999999998
roast bean,3.6054
good pastry,3.5981
wi fi,3.5654
good espresso,3.5427
coffee tasty,3.5284
milk latte,3.5013
cold brew,3.474
coffee quality,3.4611
beautiful space,3.4526000000000003
coffee espresso,3.3869
space great,3.3848000000000003
coffee spacious,3.3238
coffee also,3.2912
drip coffee,3.2595
awesome,3.2363
favorite,3.2206
hot,3.2146
nice place,3.2049
iced latte,3.1963
coffee always,3.1307
coffee little,3.1273
coffee drink,3.1186
coffee sf,3.0855
strong coffee,3.071
espresso drink,3.0556
