keyword,weight
pizza,26.3289
food,9.8846
sandwich,6.8832
italian,6.6198999999999995
good food,6.3961
great food,6.3078
good,5.5671
breakfast sandwich,4.0661000000000005
coffee,4.041
delicious,4.0307
food great,3.7800000000000002
tasty,3.6283
crust pizza,3.4133
authentic italian,3.4122
great,2.9687
lunch,2.5328
pizza excellent,2.4779999999999998
food good,2.4687
cafe,2.3999
italian cafe,2.2945
espresso,2.251
personal pizza,2.2093
italian restaurant,2.1917999999999997
breakfast,2.1508
love,2.1238
great pizza,2.0919
south beach,2.0479000000000003
great coffee,2.0318
friendly,2.0168
nice place,1.9893
pizza good,1.964
lunch dinner,1.921
pizza sandwich,1.8675
great atmosphere,1.8378999999999999
breakfast food,1.8357999999999999
tasty food,1.7553
excellent food,1.7471
pizza salad,1.6724999999999999
margarita pizza,1.6596
pizza delicious,1.6583
best pizza,1.6231
nice,1.6221999999999999
wine,1.6092
fantastic food,1.553
fast service,1.5383
italian food,1.532
best breakfast,1.5196
beach cafe,1.4803000000000002
like,1.4672
cozy,1.4460000000000002
pizza coffee,1.4140000000000001
excellent,1.413
good lunch,1.3917000000000002
bad,1.3668
restaurant,1.3501
italian coffee,1.3261
food delicious,1.3143
place lunch,1.3123
pizza ok,1.3102
pizza italian,1.3071
italians,1.3048
pizza pretty,1.3003
place food,1.2756
lunch good,1.2743
awesome food,1.2633999999999999
place,1.2601
pizza sf,1.2418
pesto pizza,1.2397
italian pizza,1.2395
beach,1.2317
good pizza,1.2247
food pizza,1.2101000000000002
cheese sandwich,1.1545999999999998
great place,1.15
great location,1.1496
salad pizza,1.1453
sandwich salad,1.1379
salad sandwich,1.1263999999999998
salad,1.1259000000000001
school cafeteria,1.1254
margarita,1.0955
salad delicious,1.0676
best italian,1.0510000000000002
vegetarian,1.0456
food nicely,1.0348
pretty good,1.0
excellent love,1.0
great sandwich,1.0
great cafe,1.0
friendly delicious,1.0
always love,1.0
going back,1.0
like home,1.0
juventus club,1.0
rude,0.9819
food mediocre,0.9742999999999999
great music,0.9671
pretty,0.9667
menu,0.9665999999999999
twice far,0.9583
delicious great,0.9511
cafeteria,0.943
food wonderful,0.9414
juventus,0.9406
menu bad,0.9397
lunch coffee,0.9393
terrible food,0.9364
twice,0.9295
back,0.9268
breakfast lunch,0.9243
going,0.9167
home,0.9164
pizza best,0.9091
coffee delicious,0.9074
