keyword,weight
coffee,25.1658
good coffee,9.093
great coffee,8.1619
coffee shop,5.1277
breakfast burrito,5.0968
good,4.5818
coffee good,4.3817
breakfast,2.9568
best coffee,2.7680000000000002
quality coffee,2.7579000000000002
drip coffee,2.1297
cafe,2.1045
coffee great,2.0905
coffee tea,1.9911
espresso,1.9449
low,1.664
free wifi,1.6118000000000001
culture coffee,1.536
good music,1.4975
coffee nice,1.4428999999999998
tea,1.4411
coffee friendly,1.3540999999999999
burrito,1.2965
iced coffee,1.294
breakfast sandwich,1.2877
nice coffee,1.286
hot chocolate,1.2349999999999999
friendly staff,1.2058
nice place,1.1876
morning,1.1513
friendly baristas,1.0983999999999998
priced coffee,1.0782
fast wifi,1.0772
coffee espresso,1.0449
white theme,1.0
exc coffee,1.0
public wifi,1.0
excellent espresso,1.0
fantastic,1.0
wait forever,0.9753
sweet atmosphere,0.97
vegan coffee,0.9605
solid coffee,0.958
shop,0.9540000000000001
white,0.9467
wifi,0.9456
coffee terrible,0.9425
fancy low,0.9418
stuff sweet,0.9385
comfortable cafe,0.9352
lovely almond,0.9277
cold brew,0.9148999999999999
low brow,0.909
sweet,0.8912
good stuff,0.8836
pour coffee,0.8814
almond croissant,0.8762
watery coffee,0.8705
salad amazing,0.8664
vegan,0.862
great low,0.8612
expensive flavorful,0.8539
decaf cappuccino,0.8511
flowers dat,0.8494
forever,0.8443
low key,0.8312
francisco need,0.8288
cup coffee,0.8276
palm salad,0.8269
san francisco,0.8137
coffee last,0.8099
cappuccino,0.8075
coffee sf,0.8055
coffee worst,0.8051
good taste,0.7971
chai tea,0.7937
apricot bacon,0.7868
coffee chai,0.7864
service cozy,0.7858
great customer,0.7855
francisco,0.7799
proper coffee,0.7793
hair yissssss,0.7769
flowers,0.7765
maple apricot,0.7762
enjoy caffeine,0.7732
coffee service,0.7718
good decaf,0.7716
trendy coffeehouse,0.7688
great cafe,0.7667
coffee save,0.7626999999999999
pastry coffee,0.7585
coffee fruity,0.7581
cool coffee,0.7553
burrito latte,0.7537
milk espresso,0.7525
beste hot,0.7499
mango salad,0.7467
cafe haight,0.7447
cozy atmosphere,0.7436
good wait,0.7426
food randomly,0.7414
need place,0.7414
wait,0.7366
comfortable,0.7261
brow,0.726
chocolate,0.7245
think fancy,0.7194
coffee tasted,0.7169
cafe wonderful,0.7157
caffeine drink,0.7139
great danish,0.7124
mini breakfast,0.7115
croissant,0.7103
almond,0.7097
francisco library,0.7082
dat hair,0.7049
music good,0.7039
coffee excellent,0.7037
quiet laid,0.7034
caffeine,0.703
real coffee,0.6977
tea selection,0.6968
coffee place,0.6966
nice staff,0.6964
awesome mexican,0.6923
quaint coffee,0.6922
delicious breakfast,0.6921
salad,0.6905
cooky,0.6905
oz coffee,0.687
great cooky,0.6864
exc,0.6861
san,0.6852
little coffee,0.6839
good price,0.6789
juicy fruit,0.6766
rich cappuccino,0.6764
wake techbros,0.6751
flavorful san,0.6739
morning wake,0.6738
key always,0.6726
atmosphere good,0.6714
coffee cute,0.668
coffee macchiato,0.6672
cute coffee,0.6663
hipster coffee,0.665
bitter yet,0.6648
family shop,0.6626
rude staff,0.6622
espresso expected,0.6612
burrito coffee,0.6607
bacon avocado,0.6605
fruit bomb,0.6572
little cafe,0.6554
level coffee,0.6538
burrito mango,0.6536
bitter,0.6491
work bernadette,0.647
lovely staff,0.6443
milk steamed,0.6423
coffee delicious,0.6421
disgusting first,0.6418
kyoto iced,0.6406
mexican mocha,0.6404
gal work,0.6402
accompany coffee,0.6381
selection pastry,0.6377
burrito best,0.637
bathroom disgusting,0.6364
quiet,0.6354
coffee information,0.6346
laid back,0.6325
flavorful,0.6318
place morning,0.6301
natural espresso,0.6288
average coffee,0.6284
always,0.6277
simple place,0.6255
wow breakfast,0.6244
apricot,0.6228
coffee pretty,0.6225
techbros came,0.6224
coffeehouse,0.6222
charming cafe,0.6221
terrible,0.6205
expensive,0.6195
macchiato flavor,0.616
stale donut,0.6145
every morning,0.6128
great breakfast,0.6113
good breakfast,0.6111
