keyword,weight
starbucks,28.5786
coffee,16.4669
great,8.0603
good,7.3601
nice,6.4755
friendly,5.1190999999999995
clean,5.0389
service,4.1703
quick,4.1247
good coffee,3.8192
typical starbucks,3.7569
fast service,3.3562000000000003
page http,3.2873
fast,3.2699
great service,3.0
great coffee,2.9306
staff friendly,2.9265
friendly staff,2.6031
spacious,2.5853
standard starbucks,2.5448
average,2.5262000000000002
love,2.4497
place,2.3357
drink,2.1526
nice staff,2.1162
appreciate sharing,2.0108
staff,1.9606
rude,1.9433
starbucks experience,1.9385000000000001
free,1.9346
excellent,1.8763
free wifi,1.839
typical,1.7704
open,1.745
crowded,1.7409
cool,1.6699000000000002
normal,1.6644
assistance team,1.6524
team please,1.6484
http sbux,1.638
small,1.5991
always,1.5939999999999999
bad,1.5733
coffee friendly,1.5158999999999998
delicious,1.4741
wifi,1.4434999999999998
coffee shop,1.4209999999999998
every day,1.4153
staff good,1.3896000000000002
transamerica pyramid,1.3771
review appreciate,1.3648
every starbucks,1.3565999999999998
excellent service,1.3535
cup coffee,1.3402
super crowded,1.3298999999999999
clean friendly,1.3265
thanks taking,1.3006
seating,1.2781
busy,1.2776
hello thanks,1.2344
morning,1.2315
use bathroom,1.2108
thanks,1.1898
appreciate look,1.174
feedback thank,1.1142
grateful shared,1.0622
unfortunately,1.0615999999999999
nice place,1.0378
service starbucks,1.0247
many starbucks,1.016
office,1.01
restroom,1.0089000000000001
caramel,1.0071
hot chocolate,1.0024000000000002
seat open,1.0
open early,1.0
priced,1.0
rude employee,1.0
great place,1.0
dirty washroom,1.0
smooth,1.0
spacious clean,1.0
tasty frappucino,1.0
usual starbucks,1.0
ok,1.0
favourite,1.0
normal starbuxks,1.0
helpful staff,1.0
nice environment,1.0
nice coffee,1.0
nice coffe,1.0
free restroom,1.0
nice clean,1.0
fresh drink,1.0
love place,1.0
lovd starbucks,1.0
good place,1.0
good stuff,1.0
like starbucks,1.0
wrong coffee,1.0
bad server,1.0
awesome,1.0
average starbucks,1.0
another starbucks,1.0
always good,1.0
cent coffee,1.0
friendliest group,0.9729
standard,0.9726999999999999
latte,0.9697
easy convenient,0.9658
best starbucks,0.9632
bathrooms clean,0.9573
friendly bathrooms,0.9552
super clean,0.9535
quick easy,0.9517
clean fast,0.9495
starbucks love,0.9484
clean inside,0.9418
fast friendly,0.9367
nice remodeling,0.9362
always great,0.9361
friendliest,0.936
crowded starbucks,0.9258
small fit,0.9243
love starbucks,0.9217
experience,0.9199999999999999
starbucks store,0.9182
okay friendliest,0.9153
favorite starbucks,0.9151
early,0.9148
easy,0.9114
slowly waiting,0.9016
wait night,0.8985
hello grateful,0.8934
worst ever,0.8883
great experience,0.8855
refresh mind,0.8854
place refresh,0.8754
starbucks coffee,0.8754
coffee free,0.875
ever never,0.8747
loud,0.8726
table small,0.8713
service good,0.8712
today fabulous,0.8688
grateful,0.864
ice tea,0.8633
refresh,0.8628
amazing place,0.8614
way loud,0.8594
convenient,0.8587
decent seating,0.8573
love specially,0.8543
coffee lavatory,0.8536
slow,0.8531
thanks sharing,0.8528
fresh coffee,0.8522
laptop blocked,0.8517
milk latte,0.8495
long slowly,0.8482
tasty,0.848
helpful,0.8479
small staff,0.8476
seat,0.844
day crazy,0.8402
friendly inviting,0.8356
efficient service,0.8355
coffee latte,0.8351
remodeling job,0.8341
night,0.8339
abismal morning,0.8338
unfortunately decent,0.8337
chill place,0.8319
starbucks world,0.831
amazing,0.8288
clover press,0.8208
friendly toilets,0.8196
delicious coffee,0.8195
fast efficient,0.8175
thanks starbucks,0.8162
mediocre coffee,0.8115
reasonable food,0.8114
fresh,0.8098
glad wonderful,0.8044
clover,0.8001
starbucks seem,0.799
shop open,0.7989
misto today,0.7957
food long,0.7953
single chair,0.7943
good quick,0.7937
oat milk,0.7931
location fast,0.7925
quick service,0.7889
one clover,0.7876
never go,0.7872
starbucks good,0.784
washroom,0.7832
plug laptop,0.7814
coffe,0.7802
hi glad,0.7795
courteous employee,0.779
chair avoid,0.7787
stuff,0.7763
slowly,0.7757
service noisy,0.7725
android customer,0.7722
starbucks edge,0.7719
unfortunately coffee,0.7719
starbucks bad,0.7703
great ice,0.7684
love coffee,0.7676
rude electricity,0.7674
avoid need,0.7667
chill,0.7657
need customer,0.7621
never,0.7621
onflow customer,0.759
decent,0.7589
cool location,0.7569
specially service,0.7557
great corner,0.7543
dirtiest starbuck,0.7539
waiting time,0.7532
order quick,0.753
efficient,0.7519
inside seating,0.7509
free vanilla,0.7504
worst,0.7498
environment,0.7477
bathroom,0.7471
remodeling,0.747
salted caramel,0.745
wonderful experience,0.7438
today,0.7435
service attentiveness,0.7434
hot coffee,0.7417
crazy busy,0.7411
place small,0.7402
experience thanks,0.7396
nice starbucks,0.7369
ice coffee,0.7369
good location,0.7366
noisy,0.7362
need staff,0.732
unwelcoming starbucks,0.7306
starbucks peppermint,0.7302
coffee vacation,0.7298
lazy staff,0.7288
spacious opposite,0.7283
needed drink,0.7263
nice location,0.7254
crowded time,0.724
fabulous,0.7229
coffee order,0.7226
good atmosphere,0.7206
soy milk,0.7204
clean toilet,0.7189
worst starbucks,0.7187
toilets slightly,0.7184
frustrated staff,0.717
caramel frapaccino,0.7163
meh starbucks,0.7162
dirty,0.7151
sandwich better,0.7133
slow service,0.7122
busy unless,0.7097
inside,0.7089
fine starbucks,0.7088
burnt coffee,0.7085
attentiveness requirement,0.7077
music,0.7071
starbucks solution,0.7068
fit group,0.7066
lavatory available,0.7063
waiting,0.7052
horrible starbucks,0.7034
staff handle,0.7017
great day,0.7004
employ android,0.6996
place wait,0.6991
starbucks sit,0.6988
crowded frustrated,0.6982
coffee could,0.6977
starbucks minute,0.6939
wrong,0.6928
day great,0.6927
starbucks disappointed,0.6923
tea,0.6922
open round,0.6918
starbucks glad,0.6915
starbuxks,0.6902
starbucks visiting,0.6899
cent,0.6899
difficult relax,0.6892
latte great,0.689
food,0.6878
shop,0.6876
pyramid friendly,0.6871
opposite transamerica,0.687
inviting,0.6867
bit busy,0.6865
avoid,0.6864
friendly liked,0.6853
quick coffee,0.6851
friendly starbucks,0.6842
friendly vaccine,0.6838
free wiffi,0.6824
music way,0.6818
service courteous,0.6816
employee sunday,0.681
android,0.6792
location good,0.6791
nicely spacious,0.6791
bathrooms,0.6789
advertised closing,0.6768
lazy,0.6758
took forever,0.6735
good experience,0.6728
laptop,0.6721
blocked booooo,0.6719
cold tasted,0.6707
staff close,0.6702
coffee fast,0.6693
customer,0.6686
perfect drink,0.6683
fit,0.6659
good one,0.6658
coffee tea,0.6654
busy rude,0.6652
drink coffe,0.6642
coffee sugar,0.664
bkfast sandwich,0.6639
coffee packed,0.6639
tried misto,0.6633
often crowded,0.6628
generic starbucks,0.6616
sugar free,0.6604
milk,0.66
great starbucks,0.6587
spacious coffee,0.6571
sunday morning,0.6538
worker wednesday,0.6515
many electrical,0.6473
bathrooms usually,0.6468
friendly let,0.6454
busy fast,0.6449
electrical plug,0.6429
done mobile,0.6419
cleaner anyway,0.6413
staff bathrooms,0.6407
comfortable seating,0.64
long queue,0.6395
slightly dirtier,0.6392
mobile order,0.6385
regular coffee,0.6379
starbucks since,0.6375
seating friendly,0.635
starbucks use,0.6339
good brew,0.6339
staff super,0.6337
healthy food,0.6322
phone charging,0.6298
really rude,0.6284
find starbucks,0.628
across transamerica,0.6279
place drink,0.6267
latte double,0.6263
coffee lover,0.6223
wednesday morning,0.622
starbucks cons,0.6217
office service,0.6191
attentive need,0.6189
transamerica,0.6159
location staff,0.6146
free wi,0.6115
could cleaner,0.6113
drink starbucks,0.6112
luckily starbucks,0.6107
ice,0.6095
busy location,0.6094
little starbucks,0.605
closing time,0.6039
vanilla,0.6021
freezing inside,0.6019
location slow,0.6015
coffee continue,0.6009
business freezing,0.6007
lavatory,0.5979
drinking coffee,0.5976
starbucks partner,0.5967
outlets plug,0.595
coffe free,0.5938
good service,0.5913
good drink,0.5908
restaurant shop,0.5894
frapaccino soy,0.5886
dragon blend,0.587
cappuccino woman,0.5854
weekday weekend,0.5847
restroom locked,0.5844
super,0.5829
coffee need,0.5828
starbucks care,0.5826
toilets,0.5811
starbucks cards,0.581
orders done,0.5797
almost every,0.5774
best,0.5758
starbucks location,0.5756
service though,0.5749
coffee receive,0.5749
dirtiest,0.5747
lover free,0.5736
expensive always,0.5734
neighborhood thanks,0.573
starbucks financial,0.5716
necessarily bad,0.5711
forever,0.5707
tasted great,0.5686
feedback starbucks,0.5681
komodo dragon,0.5678
bad comparison,0.5667
many coffee,0.5667
opens weekday,0.5665
always expensive,0.5617
starbucks value,0.5611
location office,0.5601
reasonable,0.5596
ordered ice,0.5593
close starbucks,0.5593
morning huge,0.5578
food choice,0.5573
fast customer,0.5544
office decent,0.5526
locked inconvient,0.5525
one starbucks,0.5524
job,0.5521
server,0.5514
group people,0.5511
inconsistent employees,0.5498
wednesday,0.5497
relax,0.5496
starbucks get,0.5493
single,0.5492
vaccine proof,0.5481
hilton financial,0.546
group,0.546
flavor bkfast,0.5453
service fresh,0.5449
sunday,0.5447
toilet code,0.5446
financial district,0.5438
dirtier,0.5434
morning waiting,0.5432
coffee danish,0.5396
decent interior,0.5372
starbucks well,0.5371
tea item,0.5359
always busy,0.5303
starbucks ordering,0.5294
quickly enjoyed,0.5287
starbucks going,0.5284
inconvient need,0.5277
store,0.5267
get coffee,0.526
usual,0.5246
house blend,0.5244
indicate toilet,0.5238
probably dirtiest,0.523
ashy flavor,0.5213
tasteless well,0.5155
od coffee,0.5154
