keyword,weight
starbucks,15.1793
coffee,9.3398
good,6.1666
great,3.0028
excellent,2.5793999999999997
fast,2.5742000000000003
breakfast sandwich,2.1833
service,2.1426
place,2.1419
good place,2.0898
great coffee,2.0
fast friendly,1.9569999999999999
nice starbucks,1.8734
many people,1.7665000000000002
always,1.6816
nice,1.6703999999999999
crowded,1.647
people,1.52
friendly efficient,1.4994999999999998
bathroom,1.4984
love coffee,1.4821
many,1.4561000000000002
friendly,1.4353
starbucks around,1.3936000000000002
charge phone,1.3487
every morning,1.3314
expensive,1.3228
coffee service,1.2922
efficient,1.2604000000000002
caffeine,1.2302
location,1.1948
small,1.1681
feedback thank,1.1142
best,1.0786
see starbucks,1.0743
worst,1.0699
grateful shared,1.0622
drink,1.0303
grab coffee,1.0211
good service,1.0
like,1.0
excellent service,1.0
life saver,1.0
nice environment,1.0
super good,1.0
red eye,1.0
great location,1.0
thumbs,1.0
phenomenal,1.0
always crowded,1.0
love starbucks,1.0
great baristas,1.0
average,1.0
burger great,1.0
fast accurate,1.0
alright,1.0
must see,1.0
best starbucks,0.98
morning,0.9757
pokey little,0.9661
longer wait,0.9617
red,0.9597
weakest coffee,0.9501
amazing pizza,0.9443
pizza exquisite,0.9414
starbucks enjoyed,0.9352
must,0.9282
good team,0.9263
starbucks nice,0.9161
sign falling,0.9108
place attention,0.9097
manager kicked,0.9077
coffee hand,0.9075
attention,0.9065
loved starbucks,0.9059
weak coffee,0.9052
quick caffeine,0.9012
page http,0.9006
little place,0.8977
see,0.8973
burger,0.8956
hello grateful,0.8934
worst san,0.8887
go coffee,0.8858
starbucks restroom,0.8834
pokey,0.8787
plug bathroom,0.8781
cleaner wise,0.8758
little,0.8727
efficient staff,0.8715
longer,0.8663
people service,0.8661
grateful,0.864
super,0.8591
saver,0.8583
crowded prepared,0.8544
thanks sharing,0.8528
perfect drink,0.8461
good flow,0.8435
bathroom location,0.842
cake lonely,0.8368
wish cleaner,0.8286
best place,0.8284
row good,0.8278
accurate,0.8266
good branch,0.8234
employee starbucks,0.8217
branch buck,0.8202
falling,0.8191
wise consistent,0.8135
awesome,0.8129
power plug,0.8103
staff good,0.8103
flow good,0.8095
time day,0.8095
friendly awesome,0.8094
illuminated sign,0.809
food expensive,0.8049
lot mistake,0.8046
glad wonderful,0.8044
bad slow,0.8044
excellent placement,0.7965
courteous guest,0.7925
slow service,0.7922
wait expected,0.7902
wait,0.7868
mistake preparation,0.7842
morning customer,0.783
wise,0.782
place hang,0.7811
dedicated courteous,0.7797
hi glad,0.7795
order tight,0.7781
caffeine fix,0.7779
day row,0.7715
day,0.7666
wait stand,0.7661
near moscone,0.7647
people find,0.7645
restroom inside,0.7595
coffee walking,0.7593
illuminated,0.7584
seat,0.7583
service wrong,0.756
wish,0.7508
morning staff,0.7493
wrong dring,0.7491
shabby clean,0.7488
clean starbucks,0.7487
dirtiest starbucks,0.748
environment,0.7477
mistake,0.7459
wonderful experience,0.7438
faster starbucks,0.7431
experience thanks,0.7396
understand starbucks,0.7396
wireless charger,0.7391
coffee decent,0.7391
pizza,0.7381
good location,0.7359
busy know,0.734
baristas slow,0.7339
nicest interior,0.731
baristas,0.7298
courteous,0.7283
stand,0.7278
prepared wait,0.7274
eye,0.7267
expensive quality,0.7264
hang,0.7241
starbucks confusion,0.7221
always ready,0.7192
sign,0.7182
kicked reason,0.7167
small people,0.7145
buck,0.7138
friendly staff,0.7134
efficient work,0.7131
starbucks market,0.7127
quite expensive,0.7068
worst starbucks,0.7063
location customer,0.7057
cold breakfast,0.7035
small seating,0.703
bad,0.7023
area toilets,0.6999
moscone,0.6993
mobile app,0.6989
coffee friend,0.6975
always perfect,0.6969
life,0.6911
expected,0.6901
really tiny,0.6891
busy,0.6881
coffee fast,0.6859
enjoyed drink,0.6847
staff dedicated,0.6814
line shabby,0.6814
tight,0.6779
customer,0.6774
tiny place,0.676
plug,0.6752
coffee free,0.6728
san francisco,0.6711
weakest,0.6676
lonely people,0.6672
area wireless,0.6666
tiny,0.6665
manager,0.6647
starbucks really,0.6638
home starbucks,0.6633
toilets,0.6633
grand canyon,0.6624
funky ceiling,0.6619
free wifi,0.6601
phone computer,0.6565
starbucks coffee,0.6529
preparation drink,0.6509
small interior,0.6504
starbucks sf,0.6452
excellent location,0.6449
tiny starbucks,0.644
team excellent,0.6414
inside amazing,0.6408
use mobile,0.6391
wireless,0.6385
walking right,0.6338
worst customer,0.6326
sandwich even,0.632
coffee cake,0.6305
enter buy,0.6298
app item,0.6281
kicked,0.6264
item always,0.6258
starbucks easily,0.6241
perfect coffee,0.6237
weak,0.6234
buy,0.6216
right door,0.6206
sitting space,0.6182
francisco,0.6111
efficient crew,0.6015
coffee taste,0.5996
lonely,0.5994
cheese grill,0.595
branch,0.5921
pumpkin spice,0.5906
fresh start,0.5898
starbucks hygiene,0.5893
spice latte,0.588
cinnamon dolce,0.5874
enough sitting,0.587
coffee mind,0.5867
one grant,0.5863
small exterior,0.5855
westfield center,0.5848
fat cat,0.5845
enjoying caffeine,0.5845
goodbye starbucks,0.5843
nicest,0.5836
coffee food,0.5833
always loved,0.581
awful coffee,0.5789
placement near,0.5788
white coffee,0.5784
coffee milky,0.5783
want coffee,0.5774
friendly barista,0.5768
sandwich,0.576
phone power,0.5757
smile face,0.5727
great care,0.5698
chaos fruit,0.5685
milk coffee,0.5678
staffed drink,0.5676
one westfield,0.5673
starbucks worked,0.5668
computer,0.5653
seating area,0.5638
barista staffed,0.5633
