keyword,weight
starbucks,26.9445
coffee,22.3746
good,9.008799999999999
service,7.1854000000000005
love,6.0639
fast service,4.6964
great coffee,4.3206
fast,4.2059999999999995
good service,4.1279
great,3.9586
always,3.7847
friendly,3.769
love starbucks,3.5842
staff,3.1083
mall,2.7584999999999997
coffee shop,2.7391
drink,2.5791
clean,2.4987
quick,2.4918
starbucks coffee,2.4656000000000002
good coffee,2.4574
page http,2.3852
staff great,2.2531
cup coffee,2.15
every starbucks,2.1277
review appreciate,2.0472
thanks taking,1.9508999999999999
shop,1.9401
starbucks good,1.8611
hello thanks,1.8516
regular,1.8516
thanks,1.7847
appreciate look,1.761
regular coffee,1.7165
slow,1.7088
thanks sharing,1.7056
favorite coffee,1.696
coffee great,1.6656
starbucks thank,1.6541000000000001
standard starbucks,1.6421999999999999
best,1.6253
glad wonderful,1.6088
delicious,1.5594000000000001
hi glad,1.559
bart station,1.5219
small starbucks,1.5165000000000002
tea,1.4990999999999999
wonderful experience,1.4876
experience thanks,1.4792
grab coffee,1.4456
typical starbucks,1.4249
coffee breakfast,1.4199
starbucks experience,1.3883999999999999
always order,1.3212000000000002
friendly staff,1.3172
http sbux,1.2772999999999999
friendly fast,1.2647
coffee drink,1.2601
small,1.2434
love service,1.1795
starbucks city,1.1738
order,1.1703000000000001
go starbucks,1.1665
banana loaf,1.1242
food,1.1225
excellent,1.1039
baristas super,1.0721
breakfast,1.0428
place always,1.0272999999999999
appreciate sharing,1.0054
consistent delicious,1.0
decent starbucks,1.0
coffee lover,1.0
always professional,1.0
frappes yummy,1.0
cool,1.0
lovely staff,1.0
friendly service,1.0
well maintained,1.0
coffee tea,1.0
good drink,1.0
quick service,1.0
best drink,1.0
stingy strawberry,1.0
good staff,1.0
busy,1.0
love starbuck,1.0
slow service,1.0
big coffee,1.0
enjoy,1.0
poor service,1.0
happy place,1.0
hella buck,1.0
everything fine,1.0
homeless,0.9821
favorite starbucks,0.9768
coffee go,0.9686
staffing slow,0.9679
staff friendly,0.9664
happy,0.9661
quick sweet,0.9625
yao shou,0.9621
worst ever,0.9613
coffee delicious,0.9604
friendly baristas,0.9602
staff clean,0.9423
quick clear,0.9403
comfortable seating,0.9398
clean speedy,0.9378
choices starbucks,0.9344
pretty clean,0.9344
clear service,0.9335
typical sb,0.9276
starbucks sorry,0.9273
liked sf,0.925
many new,0.9246
coffee better,0.9215
yummy,0.921
fine,0.921
clean comfortable,0.9184
new people,0.9167
poor,0.9126
nicely cafee,0.911
great folk,0.9107
long efficient,0.9102
white mocha,0.9042
maintained,0.9022
best coffee,0.9014
starbucks free,0.9002
love staff,0.8951
really quick,0.89
yao,0.8893
sb joint,0.889
warm coffee,0.8842
comfortable,0.8813
friendly helpful,0.8799
good shop,0.8787
shou zan,0.8755
sf returned,0.8743
everything,0.8731
starbucks convenient,0.8725
favorite,0.8722
clear,0.8711
hella,0.8709
fast correct,0.87
coffee small,0.8683
loved egg,0.867
give good,0.8651
strawberry,0.8634
order wrong,0.8624
efficient nice,0.8624
place sit,0.8617
starbuck,0.8613
enter worst,0.8588
banana,0.8562000000000001
worst,0.8555
drink snack,0.8544
bravo lady,0.8523
worth wait,0.8513
buck,0.8512
love white,0.8504
coffee perfect,0.8493
eyerything great,0.8492
quick drink,0.8488
frap worth,0.8463
efficient,0.8462
starbucks without,0.8453
fix starbucks,0.8438
small hip,0.8412
sit,0.837
slow order,0.8364
location pretty,0.8333
assistance team,0.8262
tiny employee,0.8262
service menu,0.8254
team please,0.8242
quick food,0.8209
happy starbucks,0.8202
suggest always,0.8159
sb,0.8148
bad,0.8145
correct service,0.8134
consistent,0.8126
ultra frap,0.8119
starbucks unfortunately,0.8095
order mobile,0.8056
quick starbucks,0.8041
pretty,0.8023
location fast,0.7985
rude one,0.7961
great good,0.7944
helpful,0.7941
inexpensive quick,0.7937
sf,0.7932
always friendly,0.7918
tasty cafe,0.7874
zan,0.7866
coffee day,0.7855
liked,0.7839
way work,0.7836
worth,0.783
peet coffee,0.7829
inexpensive,0.7824
snack,0.782
friendly remember,0.7819
starbucks conveniently,0.7814
cafee,0.7807
new,0.7777
sweet,0.7767
always remember,0.7757
egg bite,0.7747
regular always,0.7744
remember drink,0.7737
bit rude,0.7736
bad enter,0.7733
one family,0.7719
drink consistently,0.7714
shou,0.771
lines long,0.771
well,0.7703
excellent service,0.7693
like starbucks,0.7673
coffee always,0.7668
expected starbucks,0.7662
wrong,0.7655
starbucks friendly,0.7635
starbucks place,0.7622
rude,0.7619
shop way,0.761
professional,0.7598
comparable starbucks,0.7594
coffee wan,0.7513
nice,0.7504
starbucks san,0.749
typical,0.7489
delicious service,0.748
starbucks fine,0.7467
love coffee,0.7463
big,0.7459
great friendly,0.7454
bart police,0.7438
go please,0.743
joint,0.7413
ultra,0.7402
baristas staff,0.74
plenty homeless,0.7393
gorgeous woman,0.739
upbeat staff,0.7382
menu,0.7375
forget preorder,0.7374
work,0.7343
bit rough,0.729
hip place,0.727
tea butter,0.7269
roast starbucks,0.7242
coffee flavor,0.7216
hear joke,0.721
rough,0.7182
mall open,0.7181
bart mall,0.7154
coffee money,0.7119
returned,0.7107
food dinning,0.7101
local seat,0.7089
go,0.707
ok coffee,0.7065
big starbucks,0.705
mobile,0.703
favorite chai,0.6996
starbucks daily,0.6983
time order,0.6965
place,0.6946
lovely,0.6935
white,0.6884
always upbeat,0.6833
chai tea,0.6824
remember name,0.6809
joke decafe,0.6765
please,0.6741
starbucks racist,0.6726
great locale,0.6721
always busy,0.672
starbucks going,0.6678
give,0.6668
good cup,0.6657
every time,0.6612
love everything,0.6598
consistently good,0.6567
breakfast food,0.655
mall closed,0.6535
butter crossiants,0.652
great cup,0.6506
correct,0.6499
tiny,0.6489
starbucks amazing,0.6481
yet tiny,0.6465
busy always,0.6452
coffee sometimes,0.6448
starbucks always,0.6431
iced coffee,0.6425
staff favorite,0.6417
nothing special,0.6416
could starbucks,0.6363
baristas,0.6361
seating,0.6356
say really,0.6327
hear banana,0.6321
frappes,0.6319
daily fix,0.6312
starbucks crew,0.6299
starbucks inside,0.6289
around mall,0.6278
food super,0.6268
tiny starbucks,0.6265
busiest starbucks,0.626
service bravo,0.626
drink breakfast,0.6254
great service,0.6254
bravo,0.6252
relaxing sit,0.6243
thanks daily,0.6231
right every,0.6224
issa starbucks,0.6197
starbucks know,0.6181
many,0.6177
starbucks limited,0.6161
time,0.6135
work somehow,0.6128
forget,0.6117
