keyword,weight
starbucks,34.1687
coffee,19.290300000000002
nice,7.5164
good,5.888199999999999
best starbucks,5.6098
great,4.6111
place,4.5876
great staff,4.2532
starbucks reserve,4.247199999999999
love,3.7465
friendly,3.5876
normal starbucks,3.2580999999999998
friendly staff,3.1618
nice place,2.7647
beautiful,2.7107
staff,2.6208
awesome coffee,2.5987999999999998
efficient,2.5512
starbucks ever,2.4906
spacious,2.419
good coffee,2.218
great coffee,2.1118
review appreciate,2.0472
thanks taking,1.9508999999999999
great place,1.9447
nicest starbucks,1.888
hello thanks,1.8516
cool,1.8227
love starbucks,1.7922
thanks,1.7847
service,1.7678
convenient,1.7639
appreciate look,1.761
upscale,1.7363
chocolate mocha,1.7122
thanks sharing,1.7056
standard starbucks,1.7045
good service,1.6899
awesome,1.6704
friendly efficient,1.6503999999999999
glad wonderful,1.6088
page http,1.6026
many starbucks,1.6001
beautiful place,1.599
really,1.5788
hi glad,1.559
beautiful starbucks,1.5547
great starbucks,1.5507
work,1.5299
wifi,1.5265
appreciate sharing,1.5081000000000002
fast service,1.4963
wonderful experience,1.4876
experience thanks,1.4792
delicious coffee,1.469
clean,1.4575
always,1.4211
coffee experience,1.4018000000000002
like,1.3833
average starbucks,1.3700999999999999
kind coffee,1.3529
tea latte,1.3468
definitely starbucks,1.3319
store nice,1.312
starbucks city,1.2989000000000002
starbucks downtown,1.2524
coffee shop,1.251
hazelnut bianco,1.2455
mill starbucks,1.2423
assistance team,1.2393
team please,1.2363
http sbux,1.2285
reserve coffee,1.2268
starbucks store,1.1822
starbucks well,1.1676
drink quality,1.1649
drink,1.1629
starbucks drink,1.1476
fast,1.1257000000000001
employee nice,1.1206
designed starbucks,1.1002
staff great,1.0646
starbucks sf,1.0476999999999999
coffee place,1.0444
worth visit,1.0285
like starbucks,1.0
modern,1.0
regular starbucks,1.0
free wifi,1.0
yummy dilicious,1.0
goo,1.0
good attention,1.0
always line,1.0
grilled cheese,1.0
decent,1.0
daily,1.0
rude staff,1.0
worth hype,1.0
