keyword,weight
starbucks,10.0621
coffee,9.5536
good,5.807
friendly staff,4.5536
friendly,4.3624
love,3.0433
service,2.6225
place,2.3151
great coffee,2.3093
good service,2.0
slow,1.9713
staff,1.9268
good place,1.9171
love place,1.8276
bathroom,1.8054000000000001
great,1.7113
like starbucks,1.5513
restroom,1.388
bad customer,1.3635
fast,1.2481
customer service,1.1486999999999998
horrible customer,1.1454
chocolate,1.1012
worst,1.0368
starbucks starbucks,1.0
excellent,1.0
little slow,1.0
time favorite,1.0
option,1.0
worst starbucks,1.0
bathroom unavailable,1.0
love coffee,1.0
love baristas,1.0
forgot order,1.0
awesome service,1.0
clean neighborhood,0.9684
forgot,0.9531
calmer starbucks,0.9434
carmel macchiatos,0.9358
music good,0.9326
favorite,0.9269
usual like,0.9238
usual,0.9184
quality drink,0.9157
awesome,0.9148
use restroom,0.9077
busy job,0.905
fast internet,0.9044
great music,0.9022
little,0.8994
small wifi,0.8735
glass strawberry,0.8734
crowded busy,0.8705
starbucks delicious,0.8704
good customer,0.8647
great location,0.8623
afternoon coffee,0.8621
coffee takeout,0.8546
helpful great,0.8498
vince nice,0.8453
starbucks always,0.8432
nice helpful,0.8409
well maintained,0.838
coffee convenient,0.8358
unavailable,0.8355
food good,0.8327
like others,0.8318
nice clean,0.8296
size coffee,0.8284
macchiatos,0.8195
coffee good,0.8169
carmel,0.8124
lot carmel,0.8043
staff pleasant,0.8017
maintained good,0.8012
busy,0.801
place chain,0.799
starbucks quality,0.798
strawberry acai,0.7976
cup coffee,0.7936
fast super,0.7927
decoration bathroom,0.7816
strawberry,0.7771
due staff,0.7749
clean,0.7702
helpful,0.7698
delicious coffee,0.7656
starbucks favorite,0.7632
good caf,0.7631
good cup,0.7577
drink coffee,0.756
amd friendly,0.7514
baristas,0.7495
crowded,0.7483
nothing world,0.7476
always fast,0.7476
already closed,0.7473
starbucks downtown,0.7471
calm place,0.7457
coffee bathroom,0.7446
chain,0.7446
pier parking,0.7442
bathroom tho,0.7434
closing already,0.7415
white chocolate,0.7384
bought chocolate,0.7357
quality coffee,0.7346
calm,0.727
birthday treat,0.7265
love starbucks,0.7256
limited hour,0.7208
coffee work,0.7189
standard starbucks,0.7187
balcony afternoon,0.7174
expected coffee,0.717
bad,0.715
wifi friendly,0.7147
service horrible,0.7146
chocolate milk,0.7141
coffee right,0.7137
like,0.7135
coffee made,0.7125
branch good,0.7119
nice starbucks,0.7116
restrooms need,0.7114
coffee great,0.7068
others,0.706
parking restrooms,0.703
pleasant attentive,0.7026
little hideaway,0.7026
service sometimes,0.6976
quality,0.697
convenient food,0.6962
say closing,0.6937
closing,0.687
perfect studying,0.6855
nice park,0.6839
worst service,0.6832
closed,0.6818
coffee quality,0.6817
nothing,0.6792
miss great,0.6788
offer better,0.6785
cheese danish,0.6756
starbucks bright,0.6713
premises clean,0.67
cheese breakfast,0.6687
good location,0.6687
place coffee,0.6656
chocolate mocha,0.6655
buy something,0.6638
hideaway spot,0.6603
better,0.6595
drinks food,0.6581
great people,0.6578
great service,0.6562
spot pier,0.6554
order,0.654
additional sugar,0.6532
sometimes,0.6526
sugar diabetic,0.6488
quiet nice,0.6467
simple cappuccino,0.6453
staff best,0.6451
starbucks mango,0.6447
crazy cheese,0.6429
container coffee,0.6398
friendly limited,0.6382
efficient friendly,0.6378
good lot,0.6363
location fast,0.6351
best location,0.6348
nice,0.6347
hit miss,0.6332
nice environment,0.6302
decoration coffee,0.6294
pier nice,0.6281
rude staff,0.628
local starbucks,0.6261
drink kind,0.6255
coffee staff,0.6234
hideaway,0.6212
wifi,0.6203
downtown starbucks,0.62
drink,0.6139
super nice,0.6125
place due,0.6123
job,0.6112
northern beach,0.61
food,0.6094
consider quiet,0.6085
something use,0.6038
buy,0.6016
daily starbucks,0.6014
cup,0.598
starbucks customer,0.5974
read drink,0.5968
starbucks partner,0.5967
wrong coffee,0.5955
kind efficient,0.5888
world place,0.5864
cream latte,0.5846
bought coffee,0.5838
friendly consistently,0.5825
jackson starbucks,0.5821
bit dirty,0.582
time,0.5805
people great,0.5805
great environment,0.579
entrance restroom,0.5779
cup half,0.5778
breakfast sandwich,0.5776
traveler size,0.5761
made suck,0.5723
contained sugar,0.572
