keyword,weight
starbucks,13.657300000000001
coffee,7.5986
great,3.9688999999999997
nice,3.0593
good,2.902
place,2.5238
love,2.4383
service,2.4195
clean,2.1646
staff,2.0884
friendly,1.8096999999999999
thank,1.6944
salesforce,1.588
thanks,1.4751
excellent,1.2156
vanilla,1.1325
amazing,1.0157
standard,1.0
bucks,1.0
mehh,0.9823
crowded,0.9196000000000001
nostalgia,0.8878
perfect,0.8705
grateful,0.8664
fix,0.8628
usual,0.8593
welcoming,0.805
experience,0.7969
free,0.7962
relaxing,0.7857
cream,0.7548
small,0.7528
feedback,0.7251000000000001
slow,0.7179
appreciate,0.7176
cafe,0.7097
quiet,0.6891
relaxed,0.6631
wonderful,0.6587000000000001
morning,0.6441
waiters,0.6408
sharing,0.6234
staffs,0.618
sunday,0.6172
rude,0.6171
transit,0.6163
park,0.6159
review,0.6128
convenient,0.6069
just,0.601
drink,0.6001
busy,0.5907
cheers,0.5874
reliable,0.5815
glad,0.5806
safety,0.5763
new,0.5745
better,0.5546
easy,0.5514
workers,0.5453
job,0.5384
taking,0.5334
nearby,0.5296
white,0.5201
wifi,0.5091
outside,0.5083
interested,0.5032
cold,0.5021
share,0.5016
typical,0.5006
atmosphere,0.4966
bathroom,0.4881
tea,0.4881
fantastic,0.4842
smiling,0.4837
touch,0.4836
charging,0.475
flavorful,0.4603
sit,0.4603
cute,0.4526
welcome,0.4513
limited,0.4496
watch,0.4496
food,0.4446
choosing,0.4387
dose,0.4342
thought,0.4295
bind,0.4273
outlets,0.4266
fujitsu,0.4192
tourists,0.4182
espresso,0.41790000000000005
stores,0.416
missing,0.41590000000000005
exceptional,0.4116
power,0.399
center,0.3937
courteous,0.3915
walking,0.3891
chatting,0.389
eork,0.3877
offers,0.3873
store,0.382
fast,0.3804
christina,0.3791
need,0.374
black,0.3692
drinks,0.3656
employees,0.3638
want,0.363
listing,0.3524
delicious,0.3487
inviting,0.3487
restroom,0.3431
brew,0.33490000000000003
sf,0.3303
evening,0.3294
fi,0.3207
corey,0.3188
john,0.3168
eager,0.3166
rifht,0.3166
located,0.3151
trees,0.3094
early,0.3019
hello,0.2936
recreation,0.2936
caramel,0.2931
kiley,0.2886
hub,0.2762
best,0.2755
seating,0.2742
creamy,0.2645
buy,0.262
quality,0.2613
people,0.2605
brutal,0.2599
old,0.2583
hot,0.2579
sugar,0.2527
10,0.2401
consistent,0.2355
slowwwwwww,0.2334
finish,0.2326
open,0.2282
barista,0.22549999999999998
improve,0.2212
week,0.2159
unheated,0.1987
stars,0.1971
huge,0.1967
kids,0.1925
poweroutlet,0.1867
day,0.1837
soy,0.1833
different,0.1788
manager,0.1777
latte,0.1745
branded,0.1718
world,0.1701
pleasant,0.1696
online,0.1636
warm,0.1512
views,0.1505
muffin,0.1414
slower,0.1401
really,0.1397
beans,0.1396
roof,0.1348
spoiled,0.1307
tried,0.1244
trouble,0.1178
plus,0.1176
menu,0.1176
banned,0.1119
trash,0.1106
use,0.099
currently,0.0979
min,0.0965
basics,0.0948
app,0.0925
ordering,0.0918
addict,0.0888
shop,0.0864
efficient,0.0831
milk,0.0802
regardless,0.0745
calorie,0.0738
unfortunately,0.0695
bite,0.0625
beautiful,0.0602
lost,0.0587
taist,0.0519
dollar,0.0519
hack,0.0515
spill,0.0481
youtube,0.0478
grandma,0.0462
corporate,0.0442
fault,0.0439
ridiculous,0.0396
happy,0.0315
went,0.0308
lazy,0.0244
throw,0.0217
spilling,0.0093
regular,-0.0019
ferry,-0.0064
home,-0.0116
francisco,-0.0127
insider,-0.0455
quickly,-0.0489
fat,-0.0576
efficiently,-0.0641
visits,-0.0863
arrive,-0.0941
