keyword,weight
starbucks,10.0567
coffee,5.8464
great,5.0543000000000005
good,3.1065
friendly staff,3.0953999999999997
clean,2.9626
friendly,2.7024999999999997
nice,2.6067
best,2.1971
place,1.9113
closed,1.9020000000000001
staff,1.8172000000000001
bathroom,1.6959
fast service,1.613
nice place,1.5756000000000001
service,1.5711
great staff,1.5606
great place,1.5349
comfortable,1.4624000000000001
starbucks one,1.4032
service decent,1.3826
consistent,1.3195000000000001
nearly remodeled,1.2237
great location,1.1836000000000002
page http,1.1012
awesome,1.0759
remodeled,1.0646
power,1.0
great service,1.0
coffeeeeee,1.0
pleasant,1.0
convenient consistent,1.0
nice one,1.0
great quiet,1.0
great experience,1.0
good locality,1.0
ok,1.0
pm closed,1.0
thanks,1.0
best place,1.0
typical starbucks,1.0
app,0.9984
perfect clean,0.9877
best bathroom,0.9876
decent coffee,0.9634
polite staff,0.9621
quiet,0.9553
starbucks awesome,0.953
cool bench,0.9522
excellent,0.9510000000000001
busy fast,0.948
convenient,0.9355
cup coffee,0.9268
great app,0.9255
coffee vegan,0.9218
bad thing,0.916
best coffee,0.9159
fika bread,0.9157
nice service,0.912
comfortable polite,0.9108
place breakfast,0.9091
cheese good,0.9056
breakfast,0.9026
bad,0.9015
coffee actually,0.9008
good perfect,0.8998
clean nice,0.8997
friendly barista,0.8992
starbucks conveniently,0.8963
efficient staff,0.8893
perfect,0.8891
hehe starbucks,0.8829
love crew,0.8829
starbucks starbucks,0.882
drink wrong,0.8706
bread,0.8697
http sbux,0.8677999999999999
excruciatingly slow,0.8664
place clean,0.858
super efficient,0.857
vegan option,0.8566
morning shift,0.8546
polite,0.8543
thanks sharing,0.8528
also restroom,0.8522
greatest starbucks,0.8513
grill cheese,0.8467
service coffee,0.8416
go coffee,0.8385
barista comfortable,0.836
seating great,0.8322
helpful starbucks,0.8289
fast,0.8185
coffee timely,0.8117
app promotion,0.8078
vegan,0.8064
crew awesome,0.8047
glad wonderful,0.8044
calm clean,0.7977
bench space,0.792
efficient,0.7874
cool,0.7869
slow,0.7847
comfortable seating,0.7837
hour website,0.7802
decent seating,0.7801
hi glad,0.7795
table friendly,0.779
coffee super,0.7783
best starbucks,0.7768
busy,0.7732
experience,0.7722
green tea,0.7717
cheese,0.7716
get starbucks,0.7686
cool venue,0.7667
crawled fika,0.7621
great coffee,0.7616
staff consistent,0.7534
starbucks female,0.7511
love,0.7507
wonderful experience,0.7438
restroom,0.7399
experience thanks,0.7396
morning,0.738
coffees could,0.7356
bench,0.7338
starbucks san,0.7336
bathroom area,0.7318
starbucks robs,0.7317
amazing staff,0.729
venue great,0.7281
adjust hour,0.7272
starbucks bad,0.7222
early morning,0.7218
clean store,0.7214
thing seat,0.7185
coffee clean,0.7173
clean little,0.7136
good coffee,0.7131
one,0.7082
seat,0.707
establishment friendly,0.7059
great seating,0.7059
super friendly,0.7046
crawled,0.7046
clean bathroom,0.7046
consistent product,0.7033
shame starbucks,0.7002
ok cup,0.6983
ordering bathroom,0.6978
pm,0.6963
product quality,0.6945
well designed,0.6938
atmosphere coffees,0.69
staff good,0.686
coffees,0.6821
locality,0.6815
delicious coffee,0.6784
wrong,0.6758
joe early,0.6742
offer remake,0.6724
tea green,0.6713
designed nice,0.6695
staff great,0.6695
starbucks staff,0.6621
cup,0.6569
bathroom ordering,0.6515
best service,0.6503
friendly service,0.6501
getting drink,0.6487
enough seating,0.647
thing,0.6455
staff excruciatingly,0.6448
seating atmosphere,0.6439
starbucks sansome,0.6434
starbucks give,0.6361
inside get,0.6335
bathroom free,0.6323
rush bathroom,0.6302
dark inside,0.6286
drink,0.6281
good location,0.6259
pier peaceful,0.6229
website,0.621
fast baristas,0.6178
starbucks slow,0.6155
worker starbucks,0.6113
keep getting,0.611
alley starbucks,0.6083
excellent hehe,0.6008
ok starbucks,0.6
first starbucks,0.5993
tea latte,0.5966
needs adjust,0.5959
remain professional,0.5917
grill,0.5891
starbucks mind,0.5859
remake,0.5843
starbucks pas,0.5838
get order,0.5822
early,0.572
hour,0.5708
starbucks suggest,0.5694
promotion,0.5689
dark bathroom,0.5655
cappuccino worst,0.5647
excellent service,0.5631
friendly worker,0.5589
staff deserve,0.5557
could go,0.5548
window clean,0.5541
use starbucks,0.5523
bathroom locked,0.5493
starbucks patronized,0.5486
staff parking,0.5483
plus clean,0.5469
waiting ferry,0.5459
starbucks brand,0.5458
fika,0.5432
rip coffee,0.5407
seating spacious,0.539
place also,0.5379
professional,0.537
expected starbucks,0.5352
fully stocked,0.5348
starbucks within,0.5335
best star,0.5293
seating though,0.5201
remove frappuccinos,0.5191
fan ok,0.5173
could,0.5135
excruciatingly,0.5123
female employee,0.5117
sold green,0.5091
frappuccinos menu,0.5074
worker great,0.5073
awesome consistent,0.5067
bathroom setup,0.5066
attitude rude,0.5066
conveniently located,0.5051
starbucks location,0.5039
branch,0.5037
appreciate sharing,0.5027
typical,0.5006
nearby starbucks,0.4954
service relaxed,0.4942
francisco friendly,0.4925
tea,0.4892
spectacular respite,0.4874
friendly helpful,0.4814
american starbucks,0.4809
busy remain,0.4801
respite tired,0.4777
charging chocolate,0.4694
chocolate croissant,0.4642
mobile app,0.4592
super recommended,0.4588
hehe,0.4529
spacious clean,0.4401
delivers know,0.4385
chocolate syrup,0.4297
san francisco,0.4291
cold milk,0.4242
http,0.4238
free wi,0.4227
stocked fast,0.418
listed menu,0.4136
assistance team,0.4131
team please,0.4121
rude,0.412
slushie cinnamon,0.4114
mug coffee,0.4039
us page,0.4003
apologize long,0.3979
service cashier,0.3913
butter croissant,0.3868
bad business,0.3845
cold needed,0.3838
crew,0.3736
cashier would,0.3513
clean fast,0.3471
staff friendly,0.3376
know one,0.3244
tasted raw,0.3136
coffee item,0.3114
one know,0.3093
star fidi,0.3083
raw cold,0.297
quick clean,0.2822
nice staff,0.2761
small cappuccino,0.254
comfortable crowded,0.2341
ordering really,0.2191
area,0.2061
