keyword,weight
milk tea,10.2243
popcorn chicken,9.4907
tea,8.871500000000001
popcorn,5.6738
dessert,4.9035
egg waffle,4.1993
bubble tea,4.1407
ginger milk,4.0317
avocado smoothie,3.4184
avocado,3.3395
waffle,3.2921
boba tea,3.0987999999999998
coffee,2.9268
ice cream,2.6912
brown sugar,2.4579999999999997
drink,2.3942
great,2.239
milk,2.2382999999999997
sweet,2.0
snack,1.8662
sugar milk,1.7927
snack great,1.6442999999999999
great boba,1.5328
black sesame,1.4526
good snack,1.4234
delicious,1.4089
jasmine tea,1.3774000000000002
chicken,1.3607
tea delicious,1.3365
sesame paste,1.335
chicken great,1.3199
smoothie,1.2934999999999999
ginger juice,1.2924
good dessert,1.257
slow,1.2391
tea amazing,1.2296
taro milk,1.1912
egg,1.1709
drink nice,1.1562000000000001
waffle crepe,1.1174
nice,1.0836999999999999
matcha latte,1.0786
sweetheart cafe,1.0692
bad,1.0605
ginger,1.0024
great drink,1.0
best drink,1.0
ok drink,1.0
closed,1.0
original,1.0
asian dessert,0.9685
chinese dessert,0.9622
place chinatown,0.9388
nothing special,0.9377
passion fruit,0.935
hot dessert,0.9304
coffee crepe,0.9197
chinatown,0.9197
favorite fish,0.9184
nothing,0.9143
ok nothing,0.9128
berkeley san,0.9019
great avocado,0.895
take long,0.881
san francisco,0.8759
great snack,0.8735
crowded afternoon,0.8697
watermelon slushy,0.8694
boba,0.8652
latte great,0.8633
waffle amazing,0.8625
refreshing drink,0.8614
long time,0.8586
food star,0.8518
place coffee,0.8442
berkeley,0.8428
good tea,0.8273
spicy popcorn,0.8218
milk deliciously,0.8204
love coffee,0.8199
milk always,0.8187
star food,0.8178
long,0.8135
love hot,0.8085
delicious order,0.8082
watermelon,0.8049
smoothie taste,0.7997
waffle lacked,0.7943
expensive quiet,0.7921
tea milk,0.788
day walking,0.7879
francisco,0.7869
green tea,0.7846
popcorn fried,0.7794
reasonably priced,0.7788
passionfruit tea,0.7784
francisco location,0.7777
herbal jelly,0.7774
tea best,0.777
time give,0.7725
tea soybean,0.767
waffle really,0.7663
cream boba,0.7661
good food,0.7646
best oreo,0.7645
grapefruit green,0.7638
dessert little,0.7636
cream herbal,0.7572
smell slow,0.7549
dessert quite,0.754
little coffee,0.7523
give order,0.7503
love bubble,0.7487
slow service,0.7471
good drink,0.7454
chinese fav,0.7445
drink snack,0.7442
tons chinese,0.7433
great price,0.7432
asian sweet,0.7427
puff pancake,0.7426
ok,0.7386
food good,0.7377
priced popcorn,0.7355
dessert item,0.7351
soybean pudding,0.7345
ok dessert,0.733
oreo cream,0.727
dessert room,0.7253
dessert shop,0.7237
great ginger,0.7214
tasty ice,0.721
darn popcorn,0.7181
nowhere sit,0.7179
special waffle,0.717
got matcha,0.717
bad service,0.7153
service nowhere,0.7119
tea sweetened,0.7094
fried chicken,0.7031
bad drink,0.7008
small shop,0.6968
lacked flavor,0.6951
nice stop,0.6951
bbt ok,0.6909
afternoon,0.6895
snack drink,0.6892
hot,0.6889
latte,0.6888
coffee shop,0.6867
warm ginger,0.6853
chicken freshly,0.6829
tea little,0.6822
popcorn mango,0.6798
tea fresh,0.6707
fresh milk,0.6704
chicken favourite,0.6684
tea refreshing,0.6682
fried flavorful,0.6668
tea tip,0.6645
tea great,0.6639
snack special,0.6636
bbt,0.6635
interesting snack,0.6613
spicy chicken,0.6609
fruit tea,0.6605
og place,0.6594
pancake,0.6586
tea boba,0.6572
black tea,0.6567
cream fried,0.6566
tasty treat,0.6543
pudding dou,0.654
desert food,0.6535
og,0.6528
boba milk,0.6526
walking,0.6513
late chill,0.651
delicious milk,0.6506
got popcorn,0.6505
delicious chocolate,0.6501
chinese,0.6469
fish ball,0.6426
taiwanese popcorn,0.6412
snack dessert,0.6389
refreshing,0.6382
craving snack,0.638
pricey slow,0.6371
good desert,0.6368
nice love,0.6349
bubble waffle,0.6335
pudding,0.6333
price reasonable,0.6331
slow nice,0.6329
tea taiwanese,0.6322
noodle soggy,0.6286
matcha,0.6284
waffle daily,0.6275
smoothie soo,0.627
chicken popcorn,0.6265
best,0.6253
tea pretty,0.6239
pancake disert,0.6238
taiwanese snack,0.622
cute little,0.62
good reasonably,0.6189
quiet,0.6181
phenomenal server,0.6159
open late,0.6153
dessert happened,0.6147
quite good,0.6146
dessert milk,0.6139
refund cone,0.6136
day,0.6133
star service,0.6116
freshly fried,0.6087
best sf,0.6074
chicken amazing,0.6048
chicken tasty,0.6042
fav dessert,0.6041
mango milk,0.6035
wanted refund,0.6029
dream popcorn,0.6022
like grapefruit,0.6018
holiday expensive,0.5996
grapefruit,0.5992
slow waited,0.5987
people nice,0.5968
nobody store,0.5961
ur holiday,0.5959
tea popcorn,0.5933
authentic ginger,0.5929
cream strawberry,0.5898
tea absolutely,0.5897
crepe,0.5872
cream,0.5839
warm milk,0.5835
accident glad,0.5814
many dessert,0.5812
minute popcorn,0.5798
juice milk,0.5786
cream popcorn,0.5786
taste,0.5782
avocado drink,0.5779
strawberry mandarin,0.5738
shop packed,0.5728
minute bubble,0.571
taste like,0.5705
shelf asian,0.5698
star spot,0.5686
chicken bubble,0.5676
cafe great,0.5659
cheap coffee,0.5657
service star,0.5624
holiday,0.5618
way crowded,0.5614
surprise price,0.5606
place,0.5603
stick popcorn,0.5599
amazing service,0.5586
whole avocado,0.5557
stop girlfriend,0.5533
service people,0.5529
matcha bubble,0.5529
sweet service,0.5525
great dessert,0.5522
buying snack,0.5515
rude popcorn,0.5514
mix refreshing,0.5493
cute,0.5492
enjoyed bingsu,0.549
iced milk,0.5484
crowded,0.5483
refreshing tasted,0.5479
missing coffee,0.5479
nice place,0.5476
jelly,0.547
room upstairs,0.5447
flavorful good,0.5428
late,0.5404
got passionfruit,0.5404
refund,0.5387
love,0.5381
bingsu vegan,0.5371
pancake tasting,0.5367
always right,0.5364
grapefruit tea,0.5357
really underrated,0.5347
chicken delicious,0.5345
small,0.533
sweetness milk,0.5329
around long,0.5314
great tapioca,0.5313
best asian,0.5312
good place,0.5299
dessert delicious,0.5298
dreyer popcorn,0.5296
ask jasmine,0.5296
cantonese diner,0.5284
flavorful crispy,0.5269
good customer,0.5266
flavorful,0.5197
amazing dessert,0.5162
cone price,0.5156
generous bowl,0.5137
fastest courteous,0.5093
tea olly,0.5069
passionfruit,0.506
fish,0.5046
food drink,0.5016
price clear,0.5008
yummy order,0.4999
inside ice,0.4998
recommended popcorn,0.4994
soo good,0.499
avocado boba,0.4975
tea still,0.4973
underrated,0.4962
tea large,0.4958
milk thick,0.4955
really nice,0.495
tasty refined,0.494
strawberry banana,0.4937
delicious pancake,0.4935
also tasty,0.4935
coffee lite,0.4932
ordered avocado,0.4922
oolong milk,0.4916
ehh noodle,0.4904
