keyword,weight
coffee,4.1684
good coffee,1.8887
tea,1.7539
delicious coffee,1.7125
coffee tea,1.4703
great,1.2298
great vibe,1.0
terrific teas,1.0
tallio delivers,1.0
happy enjoyed,0.9199
review happy,0.9199
tallio,0.9188
tallio coffee,0.8941
delivers,0.8917
teas,0.8753
vibe,0.8741
happy,0.8497
great coffee,0.8487
wonderful business,0.8416
business excellent,0.8322
blondie chock,0.8194
friendly owner,0.8169
like blondie,0.8157
owner nice,0.8108
enjoyed,0.8074
cute store,0.7932
store friendly,0.7867
excellent coffee,0.7812
blondie,0.7808
knowledgeable coffee,0.7786
full goodness,0.7705
thank much,0.7662
coffee shop,0.7639
excellent work,0.7632
passion coffee,0.7244
coffee caring,0.7224
starbucks taste,0.7218
blueberry smoothie,0.7
brother sf,0.6908
goodness place,0.6896
nice vibe,0.6855
coffee neighborhood,0.6814
local coffee,0.6761
coffee accompanied,0.6746
espresso good,0.6738
vegan option,0.6518
love coffee,0.6476
bagel vegan,0.6302
vegan,0.6292
price starbucks,0.6266
sf history,0.6187
coffee local,0.6085
cool brother,0.6055
coffee amazing,0.6008
busy espresso,0.5985
coffee got,0.5982
local bakery,0.5978
iced coffee,0.5936
pastry banana,0.5914
sf native,0.5825
banana bread,0.5802
thoughtful knowledgeable,0.5798
recommend coffee,0.5787
work community,0.5624
coffee greetings,0.5519
coffee good,0.5501
latte delicious,0.5485
wonderful,0.5473
starbucks,0.5467
place delicious,0.5424
service sf,0.5423
phenomenal shop,0.5404
iced latte,0.5402
undocumented immigrant,0.5386
treasure thoughtful,0.5361
greetings turkey,0.5359
absolute treasure,0.5333
email gladly,0.532
coffee half,0.5272
terrific,0.5266
experience coffeeshop,0.5263
hire undocumented,0.5262
staff friendly,0.5201
good brownie,0.5111
blueberry,0.5084
coffee delicious,0.498
welcoming coffee,0.4978
coffee bagel,0.4961
espresso incredible,0.4918
great espresso,0.4893
drink amazing,0.4865
bakery source,0.4827
friendly creative,0.4822
quick staff,0.4819
black tea,0.477
coffee place,0.476
vietnamese iced,0.4747
accommodating drink,0.4725
serving coffee,0.4696
upscale coffee,0.4621
mocha perfect,0.4586
neighborhood cafe,0.4565
coffeeshop,0.4544
googled local,0.4541
caramel latte,0.4499
drink pastry,0.4494
nice delicious,0.445
regular mocha,0.4439
seating nice,0.4406
iced caramel,0.4374
nice phone,0.4339
bread great,0.4335
pay bad,0.4327
tea smooth,0.4312
friend regular,0.4299
free wifi,0.4285
coffee parklet,0.4272
online social,0.424
shop friendly,0.423
tea check,0.4174
never recommend,0.4072
hour google,0.4052
particular tea,0.3986
pay worker,0.3885
quality taste,0.3849
present online,0.3828
smoothie good,0.3718
update online,0.3673
restaurant cafe,0.3643
cafe owner,0.3629
matcha tea,0.3604
cafe normally,0.36
online,0.3548
google care,0.3541
morning restaurant,0.3528
quick iced,0.3495
tea owner,0.347
love shop,0.3435
google,0.3114
update hour,0.2835
price fair,0.2693
glad delicious,0.258
