keyword,weight
thank,24.8684
see soon,18.3678
thank review,7.3452
soon,6.9829
hope,5.5483
review,5.1555
star review,5.1202000000000005
hope see,4.8995999999999995
salad,4.3224
thank star,4.1334
kind review,3.9646
food,3.4501
wait see,3.3492
appreciate,3.0564
glad enjoyed,2.9646
appreciate wait,2.8192
review hope,2.7538
seeing soon,2.6254
coffee,2.5766
glad,2.5129
star,2.3412
wonderful review,2.2462
thanks,2.2106
thank kind,2.0838
breakfast sandwich,2.0747
great coffee,2.0737
enjoyed,1.9348
avocado toast,1.8077
great food,1.7605
love,1.7385
cafe,1.7275999999999998
awesome review,1.7165
salmon toast,1.7161
breakfast,1.6456
coffee food,1.588
appreciate hope,1.5361
friendliest cafe,1.5323
food good,1.529
great breakfast,1.5282
happy,1.5222
chicken salad,1.4698
love neighborhood,1.432
great staff,1.3912
nicole,1.3817
favorite lunch,1.3475000000000001
serve soon,1.3392
service food,1.3321
wait serve,1.3019
forward seeing,1.2964
good coffee,1.2890000000000001
breakfast coffee,1.2464
sandwich,1.2332
yummy food,1.2163
taco friday,1.2135
salad huge,1.1867999999999999
thank five,1.1848999999999998
breakfast sando,1.1558
food coffee,1.1256
five star,1.1223
love food,1.1185
vegetarian panini,1.1134
caprese sandwich,1.0687
thank much,1.0509
new restaurant,1.0479
prison welcoming,1.0
merci,1.0
thanks luis,1.0
thank shayne,1.0
thank ryan,1.0
thank sarah,1.0
relaxing,1.0
place rule,1.0
thank nicole,1.0
thank pablo,1.0
love salad,1.0
chinese chicken,0.998
iced latte,0.9975
tasty,0.9944
cafe city,0.9914000000000001
breakfast lunch,0.9899
great,0.9730000000000001
master kitchen,0.9662999999999999
simon appreciate,0.9553
terrific salad,0.9536
max appreciate,0.9515
thanks max,0.9505
thank simon,0.9489
ruben amazing,0.9452
soup,0.9314
food nice,0.9301
breakfast sandy,0.927
mangal appreciate,0.9135
thank appreciate,0.9034
place,0.8999
vegetarian,0.8989
thank steve,0.8958
rule,0.8941
thank leander,0.8923
tidewatergirl glad,0.8803
great cafe,0.8698
coffee shop,0.8623000000000001
thanks ruben,0.8601
luis,0.8581
italian sandwich,0.8575
best pizzaa,0.8557
glad neighbor,0.8521
pablo,0.8486
thank tidewatergirl,0.8435
sarah,0.8405
enjoyed soup,0.8376
thank new,0.8368
leander appreciate,0.8337
tahsim appreciate,0.8326
steve wait,0.8299
ryan,0.8287
neighborhood cheers,0.8187
cafe lovely,0.8177
favorite cafe,0.8148
item glad,0.8133
shayne,0.8128
