keyword,weight
coffee,2.0204
foods,1.8689
cafe,1.4589
good,1.3503
friendly,1.1938
pizza,1.1027
great,0.9997
meals,0.9878
bakery,0.8807
trendy,0.6893
staff,0.6297
atmosphere,0.6236
everyday,0.6183
food,0.5983
assortment,0.5958
restaurant,0.5931
terrible,0.5612
market,0.5472
groceries,0.5195
burgers,0.4988
healthy,0.4966
closed,0.478
fourbarrels,0.4571
avocado,0.4296
sit,0.4193
free,0.4055
acceptable,0.4028
love,0.3981
organic,0.3923
par,0.3839
cool,0.3827
priced,0.3734
supermarket,0.3704
offers,0.3265
vibes,0.3218
excellent,0.2852
come,0.2822
pastries,0.2811
breakfast,0.2783
tomatoes,0.2623
12,0.2569
variety,0.2568
salad,0.2567
reasonably,0.25
portion,0.247
hip,0.2434
experience,0.2262
deli,0.2186
oz,0.2185
94,0.186
servers,0.1825
meat,0.1524
eat,0.1323
restrooms,0.1161
