keyword,weight
coffee,11.4657
great coffee,6.4965
thank,3.936
enjoyed coffee,3.2847
thank stopping,2.8334
happy hear,2.7682
enjoyed drink,2.545
stopping,2.4497
happy,2.1252
hear enjoyed,1.8995000000000002
good coffee,1.7628
best coffee,1.4924
care coffee,1.4032
coffee great,1.3536000000000001
amazing coffee,1.3386
glad enjoyed,1.184
coffee owner,1.1546
food,1.121
coffee pastry,1.0803
stopping glad,1.04
coffee okay,1.0
cheer,1.0
loved cappuccino,1.0
thank visit,1.0
cinnamon mocha,0.9761
great,0.9709000000000001
veronica thank,0.9222
coffee taste,0.9054
thank checking,0.8841
visit,0.8564
great customer,0.8499
coffee shop,0.8433999999999999
coffee thank,0.8392
kevin thank,0.8188
wave coffee,0.8018000000000001
exceptional coffee,0.7943
stellar smoothy,0.7908
hi veronica,0.786
coming happy,0.7839
enjoyed food,0.7838
thank appreciate,0.7784
thank coming,0.7718
appreciate comment,0.7548
delivery coffee,0.753
google maps,0.7481
cup coffee,0.7453
experience enjoyed,0.7411
checking,0.7396
word happy,0.7333
coffee tasty,0.7325
hey kevin,0.7291
able help,0.7287
kind people,0.7205
coffee break,0.7175
coffee bagel,0.7154
food great,0.7146
cappuccino,0.7142
great cafe,0.705
served friendly,0.6935
tasty pastry,0.691
drink food,0.6907
people stellar,0.6899
kevin,0.6893
loved,0.6835
cafe eating,0.6833
confident blessings,0.6741
bagel delicious,0.6736
coffee always,0.6709
cute cafe,0.6647
pastry breakfast,0.6615
absolute gem,0.6602
google,0.6593
open google,0.6567
yummy food,0.6563
cafe welcoming,0.656
cafe awesome,0.6483
gem kind,0.643
okay,0.6423
enjoyed,0.6422
boris happy,0.6384
best cup,0.6367
coffee sandwich,0.6308
coffee chilled,0.6306
coffee vibe,0.6276
good quality,0.6271
smoothy pastry,0.6238
friendly make,0.6163
eating lunch,0.6136
passionate coffee,0.6075
pastry delicious,0.6064
bright delicious,0.5984
iced hot,0.598
taste,0.5945
friendly staff,0.5932
quality young,0.58
coffee lovely,0.5799
maps ended,0.5752
modified sandwich,0.5742
take coffee,0.5718
found cafe,0.5711
breakfast food,0.5682
coffee service,0.5662
owner warm,0.5603
starbucks market,0.559
wife great,0.5552
loved coffee,0.5542
super cute,0.5491
sandwich hella,0.5384
excellent caf,0.5344
coffee tea,0.5331
food item,0.5326
cute place,0.5323
coffee staff,0.5307
smooth drink,0.5278
great service,0.526
guy enjoyed,0.5242
delicious super,0.5239
mocha iced,0.5227
cafe welcomed,0.52
drinking coffee,0.5179
niel thank,0.5167
glad guy,0.5162
warm friendly,0.5153
friendly vibe,0.5129
deal starbucks,0.5107
pastry coming,0.5096
best drink,0.5075
coffee rival,0.5056
coffee well,0.5022
get coffee,0.5021
delicious,0.5001
coffee plea,0.4991
vibe congrats,0.4942
lil coffee,0.4927
great shot,0.4922
one year,0.4909
berry smoothie,0.4873
savory bagel,0.4837
service thank,0.4825
coffee sf,0.4804
starbucks,0.4751
sandwich,0.4689
owned coffee,0.4677
super reasonable,0.4597
really care,0.458
hungry pina,0.4573
knowledgeable coffee,0.4562
reasonable pricing,0.4515
cinnamon,0.4508
chocolate chocolatey,0.4475
owner leo,0.437
coffee drink,0.4317
saigon sandwich,0.4309
staff great,0.4296
quick coffee,0.4234
espresso milk,0.4207
menu fun,0.4181
milk perfect,0.4165
cup,0.4164
chocolatey sweetened,0.4145
super nice,0.4097
extended menu,0.4067
ended closed,0.4064
service delivery,0.4054
iced chai,0.4051
mocha delicious,0.4042
chocolate espresso,0.4029
coffee ordered,0.4028
bagel sandwich,0.4008
chocolate dined,0.3906
coffee visiting,0.3896
hot chocolate,0.3689
care cinnamon,0.3686
pina colada,0.3567
pastry great,0.3556
bar super,0.3544
curb caffeine,0.3512
coffee good,0.3472
pastry,0.3447
vibe guy,0.3319
experienced barista,0.3082
leo make,0.2894
job interview,0.2845
lady working,0.2722
