keyword,weight
sandwiches,5.7192
sandwich,3.9644
salad,3.4999000000000002
salads,3.2872000000000003
great,3.062
lunch,2.91
food,2.0366
cafe,1.9102000000000001
awesome,1.6661000000000001
breakfast,1.4796
nice,1.4702000000000002
friendly,1.4509
coffee,1.1688
gd,1.0
excellent,0.9916
delicious,0.7964
california,0.7871
tasty,0.7378
convo,0.7158
melt,0.6548
favorite,0.6045
hoagazine,0.5974
fair,0.5502
good,0.5451
decades,0.5143
beer,0.5081
tried,0.4926
appetite,0.4786
chicken,0.4764
quality,0.4758
service,0.4723
fast,0.4203
greens,0.402
quick,0.3768
hearty,0.3635
staff,0.3604
downtown,0.3452
smaller,0.3357
couple,0.3279
variety,0.3271
love,0.32130000000000003
prices,0.3188
healthy,0.3156
spring,0.3116
place,0.3101
busy,0.2783
helpful,0.2717
wifi,0.2701
selection,0.2485
pastries,0.2485
sf,0.2463
pretty,0.2446
bigger,0.2443
decent,0.2417
fresh,0.2387
avocado,0.21
menu,0.20750000000000002
donuts,0.2057
bacon,0.1964
generous,0.1952
protein,0.1941
mixed,0.1922
solid,0.1913
did,0.1845
sizeable,0.1766
tuna,0.1671
large,0.1655
small,0.1542
sit,0.1519
hand,0.1504
bagels,0.1479
eating,0.1427
quinoa,0.1395
soup,0.1391
option,0.1372
soups,0.1227
customers,0.1025
beans,0.0705
cajun,0.0684
bread,0.0675
eat24,0.0649
cheese,0.0601
little,0.0407
owner,0.0312
eaten,0.0267
bad,0.0168
girls,-0.0136
nicer,-0.0424
iv,-0.0447
tips,-0.0565
