keyword,weight
coffee,68.5272
great coffee,20.2246
good coffee,18.6555
best coffee,8.6384
delicious coffee,7.3167
espresso,7.2359
good,7.0863
coffee shop,7.0104
excellent coffee,5.9104
coffee good,5.289
great,4.8988000000000005
amazing coffee,4.7994
delicious,4.2902000000000005
chocolate,4.0558
friendly staff,3.5676
awesome coffee,3.4778000000000002
hot chocolate,3.3424
coffee friendly,3.3279
latte,3.3136
cafe,3.2441
great espresso,2.8932
coffee spot,2.8224
coffee pastry,2.7317
highly recommend,2.7317
coffee great,2.7296
taste,2.5531
cute,2.4743
pastry,2.3988
best,2.3
strong coffee,2.1398
coffee lovely,2.115
really good,2.0983
coffee espresso,2.0784000000000002
excellent,2.0252
cool,2.0192
expensive,2.0004999999999997
great latte,1.9378
hipster coffee,1.9101
pineapple wallpaper,1.8894000000000002
good service,1.8777
cute place,1.8437000000000001
coffee amazing,1.8275000000000001
espresso drink,1.8083999999999998
drink coffee,1.7738
thank,1.7489
coffee slightly,1.7356
great cappuccino,1.7154
cookie,1.6993
quality coffee,1.6904000000000001
fantastic coffee,1.6873
barista,1.6196
loved,1.5965
love,1.5816
nice,1.5471
shop coffee,1.5459
chocolate cookie,1.5267
latte thank,1.5204
solid coffee,1.5161
starbucks,1.5059
good pastry,1.502
love coffee,1.49
nothing special,1.483
coffee nice,1.4819
oat milk,1.4643
place,1.4550999999999998
favorite coffee,1.4393
nice people,1.427
iced coffee,1.4245
nothing,1.3849
highly recommended,1.3689
wonderful coffee,1.3681999999999999
place clean,1.3662999999999998
coffee small,1.3628
coffee service,1.3599
drink,1.33
tasty coffee,1.3199999999999998
milk cappuccino,1.3133
made coffee,1.307
coffee wrecking,1.2776
neighborhood coffee,1.2719999999999998
hot,1.2542
iced cappuccino,1.251
specialty coffee,1.2464
brewed coffee,1.2221
slow,1.2215
excellent espresso,1.2175
coffee place,1.2077
cappuccino,1.1903000000000001
thank much,1.1886
coffee also,1.1863000000000001
lovely staff,1.1626
love place,1.1616
almond milk,1.1611
friendly,1.1589
coffee neighborhood,1.1408
atmosphere,1.1320999999999999
coffee quality,1.1263
wrecking ball,1.1249
milk espresso,1.1208
iced latte,1.1193
coffee strong,1.1186
pricey,1.112
san francisco,1.1036000000000001
cute coffee,1.1007
neighborhood,1.0991
hipster,1.0974
coffee flavor,1.0733000000000001
sorry hear,1.0716999999999999
wreckingballcoffee com,1.0592000000000001
pour coffee,1.0589
coffee make,1.0536
better coffee,1.0446
drip coffee,1.0425
local bakery,1.0372
coffee staff,1.0357
tea,1.0293
staff coffee,1.0209000000000001
wrecking,1.0205
cup coffee,1.0166
one best,1.0119
cool cool,1.0
chopped,1.0
good espresso,1.0
good excellent,1.0
needed food,1.0
delicious cofee,1.0
local owned,1.0
theme,1.0
carlos,1.0
good coffe,1.0
nice place,1.0
best mocha,0.9991999999999999
service,0.9959
latte also,0.9916
get coffee,0.9785999999999999
thanks asking,0.9726
stopped coffee,0.97
marla bakery,0.9672000000000001
loved coffee,0.9554
good thanks,0.9546
mehhh nothing,0.9492
matcha latte,0.9484
espresso expensive,0.9472
enjoyed visit,0.9324
glad enjoyed,0.9317
thanks,0.9316
artisan coffee,0.9288
coffee cool,0.9256
acidic thing,0.9229
wreckingballcoffee,0.9218
wrecking coffee,0.9087
delicious good,0.9072
acidic,0.9055
roastery loved,0.9042
star coffee,0.9020999999999999
standard coffee,0.8998
staff nice,0.8938
thank glad,0.8914
bakery,0.8911
cute cafe,0.8907
baristas definitely,0.884
coffee table,0.8824
local,0.8794
outstanding coffee,0.8784
coffee atmosphere,0.8779
cute neighborhood,0.8761
best latte,0.8711
ball coffee,0.871
really acidic,0.8662
love chocolate,0.8637
cookie yummy,0.8596
taste cappuccino,0.855
oh good,0.8509
coffee smooth,0.8507
highly,0.8506
tasted great,0.8504
espresso great,0.8494
coffee roasters,0.8483
coffee fantastic,0.8479
rock un,0.8477
wrong bathroom,0.8476
coffee stuff,0.8471
hipster roastery,0.8433
cortado yesterday,0.8426
taste amazing,0.8411
coffee pretty,0.8401
enjoyed,0.8359
owned,0.8343
cafe fantastic,0.8306
yummy coffee,0.8288
yum matcha,0.8274
wall coffee,0.826
super slow,0.8238
coffee heart,0.8237
cutsie cute,0.8234
chic taste,0.8229
ice coffee,0.8225
glad,0.8222
herbal tea,0.8205
super cute,0.8164
coffee love,0.8125
nice coffee,0.8099
best capuccino,0.8084
coffee hopelessly,0.8016
place rock,0.8001
neighborhood spot,0.7995
coffee stupid,0.7995
recommended,0.7965
coffee alright,0.7964
petite coffee,0.7953
yesterday,0.7942
also wallpaper,0.7936
clean,0.7933
pastry nice,0.7929
pastry delicious,0.7875
coffee herbal,0.7867
rock,0.7866
slow bloody,0.7854
coffe,0.785
little coffee,0.7819
saturday closed,0.7818
thanks sharing,0.7818
coffee drink,0.7816
bathroom mess,0.7811
pastry friend,0.7746
chocolate cooky,0.7697
amazing cooky,0.7694
cafe coffee,0.7689
great savory,0.7655
solid,0.7609
un marina,0.7592
righteous coffee,0.7586
coffee bit,0.7574
super fruity,0.7567
small cafe,0.7563
yummy chocolate,0.7562
overpriced without,0.7557
bit dirty,0.753
tasty pastry,0.7526
good hot,0.7523
favorite neighborhood,0.7511
morning coffee,0.7498
shared pastry,0.7484
smell wrecking,0.7481
closed sunday,0.7467
little bean,0.7465
overpriced,0.7446
flavorful cappuccino,0.7442
food,0.7431
try cookie,0.7428
artisan barista,0.7421
coffee lucky,0.7421
cafe tasty,0.7355
showed saturday,0.7355
delicate taste,0.7355
awesome earth,0.7345
weak espresso,0.7341
earth baristas,0.7337
cool atmosphere,0.7308
average coffee,0.7299
cappuccino especially,0.7298
fantastic cappuccino,0.7288
beans freshly,0.7276
hear drink,0.7269
great tea,0.7254
coffee coffee,0.7247
coffee simply,0.7231
making coffee,0.7228
morning croissant,0.7221
bloody expensive,0.7221
love interior,0.7217
chocolate best,0.7215
cappuccino oatmilk,0.7214
espresso yummy,0.7211
stopped,0.7193
decent coffee,0.7192
buttery chocolate,0.7145
poor customer,0.7105
butter croissant,0.7082
chocolate must,0.7077
coffee amazingly,0.7075
without better,0.7073
rude service,0.7066
pricey chic,0.7066
marina,0.7039
barista offday,0.7032
coffee tea,0.703
coffee carefully,0.7029
cool school,0.7022
drink really,0.6995
good place,0.6991
boutique coffee,0.6969
dirty,0.6968
loved hot,0.6967
coffee bean,0.6966
pastry pretty,0.696
awesome pastry,0.6954
espresso smooth,0.6949
coffee environmentally,0.6943
friendly coffee,0.6942
matcha,0.6928
sleek welcoming,0.6916
clean sleek,0.6907
coffee parking,0.6899
barista day,0.6886
shop wifi,0.6882
take coffee,0.6872
awkward ice,0.6868
loved pineapple,0.6867
wallpaper,0.6863
mehhh,0.6828
latte good,0.6828
delicious hipster,0.6812
baristas funny,0.6807
bean,0.6805
choice baristas,0.6803
grateful kind,0.679
minute delicious,0.6783
needed,0.6781
bad rude,0.6778
word thanks,0.6778
coffee limited,0.6757
love pricing,0.6753
nice staff,0.675
