0,1
901 Columbus,"Stopped here since I had some time to burn on the weekend. Chill vibes, very friendly people at the counter, and decent drinks. Got their limited eggnog latte and tiramisu and both items were excellent.  Good amount of seating here, can definitely imagine coming here with a laptop and working for an hour or two."
901 Columbus,"Really great little find! Tasty food. Great bagel and panini variations! No overwhelming portions. Fresh OJ. Good coffee. Clean, friendly and good service. Toilets very clean; in need of refurbishment. Will definitely be back during our stay"
901 Columbus,"This is a great place to grab something to eat before a show at Cobb's comedy club or bimbo's 360. The prices are super reasonable for the location, although the sandwiches are a little smaller than I expected. Great atmosphere. I think there are a lot of regulars from the neighborhood that hang out. I posted the menus as of June 2022"
901 Columbus,"Neighborhood deli/coffee shop/ beer/wine😉  Ordered chicken panini, very good. Great stop for a before heading to Lombard St.!"
901 Columbus,"Although I wasn't Able to try Their Food or drinks as shortly after I walked inside I was informed they were closing and as I turned to leave I took a terrible fall, there were 2 gentlemen there as I said it was a closing so there weren't a lot of employees but they were great. They ran to my aid. They got my husband from outside. They were amazing sweet loving kind men and I can't say enough for how grateful I am for them helping me. My fall turned out to be a really bad one and it was no ones fault, It was just an accident I had fallen but I had A very intense surgery just 6 weeks prior so when I Fell I landed on What was my scar from my surgery and all the stitches had been removed weeks before, But unfortunately my fall caused that to open up. It was quite scary but as I said these 2 gentlemen that were working Saturday night, Were awesome they were great.  I can't say enough about their employees and because of that soon, I will head back to the city as soon as I'm healed and I will stop in and I will get something to eat and I will thank those gentlemen in person instead of just over the phone as I have."
901 Columbus,This place had delicious paninis!! They had a big menu and I wish I lived nearby. I'd probably go several times a week. They also had alcohol to go! I got a chelada and my lady got a very tasty mimosa. The staff was very friendly and it's under new management so the hours have changed so call in. I believe they close around 6pm
901 Columbus,"I was walking around town for about 5miles and stumbled upon this spot. $4 beer sign outside pulled me in. I enjoyed some Kona big wave and Elysian for total of $8, unheard of in any big city. The guy was friendly and I was able to enjoy the outdoor and the bustling traffic while enjoying some good 🍺 If u ever walking around Lombard st or the wharf, stop by here for some 🍺"
901 Columbus,"⚠️Come here if you want to get POISONED! I came to this café this morning and I was just about to rate it five stars, but their labels don’t say what foods have nuts in them, and I’m allergic to nuts. I ended up getting food poisoning from the chocolate croissant and was sick almost the entire rest of the day. I had to stop eating my food and I barely got to eat any of it.  They didn’t even refund me for anything but $3 when I paid over $20 for the meal. Horrible service, the guy there was incompetent. 0/10 ❌"
901 Columbus,"Excellent neighborhood cafe. Staff is super nice. Price is fair. Sandwiches are tasty, good coffee as well"
901 Columbus,"Guy at the counter yesterday morning sat and had a conversation with a woman at the counter for several minutes, ignoring me and two other customers waiting and eventually we all left. Don’t really care how good the coffee is when employees are disrespectful. Too many places like this around here. Won’t be back."
901 Columbus,"Good waffles, a nice and quiet spot for breakfast in a corner of Columbus Ave in North Beach. Have a seat and enjoy the breakfast"
901 Columbus,Great Products and atmosphere great people who are trusted & good morning sunshine prices ❣️
901 Columbus,"For me personally, I think this is one of the last ""Great Ones"" as far as coffee shops go. An open space free WiFi, and plenty of tables to study, They have a nice touch to all the dishes they serve at a really reasonable price. Come show some love to this irresistibly comfortable new family owned Cafe❤️😀☕ …"
901 Columbus,"Great corner stop. Beer, Gatorade, coffee, smoothies. Bakery items, sandwiches and salads."
901 Columbus,Best BLT I've ever had. Delisious. Cozy atmosphere. Polite staff.
901 Columbus,The sandwich was so good I wished it was bigger.
901 Columbus,Highly recommended. Tasty and reasonable prices!
901 Columbus,VERY Tasty 👍. Staff quite helpful in navigating around my annoying allergy to wheat flour. They had some delicious goodies some with quinoa corn or rye flour. We Love eating there.
901 Columbus,"Very unassuming place when you walk by but was glad to stop in. Don't expect anything fancy but it's a great spot to get a quick bite or drink. Staff were very friendly and the mimosas tasted great,  made with fresh squeezed juice."
901 Columbus,"Exceptional cafe, sandwich, and salad spot. It maintains a low profile and I hope it doesn’t get over run by people, but a perfect spot to work and grab lunch. The family that runs it are always friendly and very attentive. Some outdoor seating too!"
901 Columbus,"This was a lovely little spot we stumbled on while trying to find something a 5 and 6 year old would eat. The gentleman behind the counter was great and helped us out by making grilled cheese for the kids. We had the panini, which he said were his “go to” sandwiches. The portions were sizable and very filling. The overall ambience of the establishment was eclectic and relaxing. Nice place to stop off, relax and enjoy a good meal before continuing on."
901 Columbus,"My favorite cafe during my Northbeach stay: good coffee, croissants, yogurts and panini. Colorful, liked music, not too crowded, warm people."
