0,1
Alamo Square Cafe,"Got a cappuccino and bagel breakfast here. Nice ambience and medium level of business  on a Sunday morning. I really enjoyed the ambience, the kind barista, and the ability to do work in this cafe. 6 tables and lots of power outlets! However the coffee is not my favorite at all. The coffee tasted like dark roast and reminded me of Starbucks coffee. Maybe that would fit the palette of someone else, but I would come back here to do work or grab a bite, and not for the coffee."
Alamo Square Cafe,"Hi Linda- I disagree with your comparison and so would our loyal clientele, but you’re right in that maybe your palette is drawn to something different.  Thanks for the visit and the kind words about the staff. "
Alamo Square Cafe,"This is a nice, unpretentious small cafe just around the corner from Alamo square. The couple who served us were super friendly and attentive. It's clean and calm inside with limited outside seating. Prices are reasonable for the neighborhood, three dollar coffee, $13.50 sandwiches. Nice place"
Alamo Square Cafe,Tks!
Alamo Square Cafe,"The Lox Bagel was super fresh, soft on the inside, lightly toasted, and warm enough to slightly melt the cream cheese, crispy cucumber, red onion, and fresh tomatoe~ Yummy! The Pumpkin Oat Milk Latte was perfect for enjoying walking through the nearby park on a fall morning."
Alamo Square Cafe,"Thanks, Mindi!  Hope to see you again real soon."
Alamo Square Cafe,"You’ll walk into this cafe from a trip to or from Alamo square (painted ladies) & think you’re in for normal sandwich/salad/coffee, how wrong you were! The man who served us was an artist of sandwiches, simplicity with effectiveness at a good price! Thank you for the meal today!"
Alamo Square Cafe,"Thanks, Andrew!  Appreciate the wonderful compliments.  "
Alamo Square Cafe,"Unpretentious little cafe serving breakfast, bagels, sandwiches, salad and a large assortment of coffee and teas.  Around the corner from Alamo park and Painted Ladies historical houses. The neighborhood is quiet, hilly and calm - fantastic way to spend a quiet afternoon working on a laptop, free wifi. Good large coffees and polite friendly service.  Really enjoyed it this authentic no frills place."
Alamo Square Cafe,"We stopped at this local corner shop for coffee, breakfast and to keep out of the rain for a bit. I had a garden salad with eggs and ham and my husband had the egg sausage sandwich, both delicious and my salad was huge! The server was friendly and willing to I accommodate my odd egg and salad request. Definitely recommend this place for a light breakfast or lunch and you want it prepared fresh! Also, loved the 90s music they were playing!"
Alamo Square Cafe,"Thanks, Christine!  Glad you enjoyed your experience with us.  We aim to please.  Come visit us again real soon."
Alamo Square Cafe,Cute little coffee shop with delicious sandwiches for lunch.  The staff was very friendly.  The only reason I didn't give it five stars is that it took almost a half an hour for our party of six to get all of our food so the first person was done eating before the last person even got their food.  I would recommend the chicken pesto sandwich!
Alamo Square Cafe,Courtney-thanks for your thoughtful review.  Your feedback is extremely valuable to us and we are certainly listening.  Hope to see you again real soon!
Alamo Square Cafe,The sandwich I had was really great - do give this place a try. Cozy interior and friendly staff. There is some interesting art on the walls that is available for purchase via QR code.
Alamo Square Cafe,"Thanks, Will!  Appreciate the kind words."
Alamo Square Cafe,Great breakfast and really nice stuff 💜💙
Alamo Square Cafe,"Thanks, Alex!"
Alamo Square Cafe,Absolutely poor customer service. I was made to wait for my order for 40 mins when at least 15 orders after us were already processed (racist???) Upon confronting we were rudely told that we needed to wait if we wanted the food. Poor poor customer service but expectation to be tipped is always high
Alamo Square Cafe,"Oh boy, what can I say, it was Bay to Breakers.  Obviously, you’re going for maximum pain with your (racist???) remark.  That’s a reflection on you and you should probably explore the reason(s) you would post something like this.  "
Alamo Square Cafe,"Great little spot! Stopped here before going to see the painted ladies, the sandwiches were delicious and the coffee was great! Will come again!"
Alamo Square Cafe,Appreciate it Danny!  Looking forward
Alamo Square Cafe,"Great sandwiches, disappointed in the BLT, very thin slice of bacon compared to the grilled chicken and black forest ham. Coffee could use more filtering, coffee grounds in the cup. Overall great spot."
Alamo Square Cafe,"Thanks, R."
Alamo Square Cafe,Great mocha! Nice place to rest after seeing painted ladies! Clean restroom for customers.
Alamo Square Cafe,"Thanks, Elizabeth!"
Alamo Square Cafe,"Vibe is great, but very disappointing coffee. I didn’t try the food but I definitely recommend getting coffee elsewhere."
Alamo Square Cafe,well.. i just bought BLT and latte . First.  latte was pretty decent maybe because i worked at coffee industry for very long time second.  not enough bacon at least that's just me any way!  and i totally forgot to mention light on sauce! overall i like the environment; it's  small and clean place. owner was nice!. only thing is that wish they accept the EBT but it's no problem. i'll definitely go again!
Alamo Square Cafe,Thank you…? 🥴
Alamo Square Cafe,"We stopped by on our first day in town and this little cafe was the perfect pit stop. It’s comfortable and down to earth with simple, tasty food as well. The prices are extremely reasonable and the staff was very friendly. I highly recommend Alamo square cafe if you’re in the area. We’ve already come back on our 1 week trip!"
Alamo Square Cafe,"Thanks, Gracie!  Hope to see you again real soon!"
Alamo Square Cafe,Best coffee in SF. Garden bagel and breakfast sandwich excellent. Service was pleasant. We’ve been here a week and do wish we found it sooner. You must visit !!!!
Alamo Square Cafe,"Thanks, Heather!"
Alamo Square Cafe,Must visit for breakfast or lunch… great coffee and delicious sandwiches 💪🏼🤟🏼 …
Alamo Square Cafe,"Tks, Robert!"
Alamo Square Cafe,"Absolutely love the cafe!  The staff is really wonderful and caring! We're regulars and love interacting with them!  If you like oatmilk drinks, I recommend their oatmilk cappuccino over the latte. Their pesto chicken sandwich is also really yum! It's also great that they have gluten-free bread, which is a bit hard to find in cafes sometimes.  Highly recommend this cute cafe with great art!"
Alamo Square Cafe,"Thank you for the kind words, Aakansha!"
Alamo Square Cafe,The Cafe au lay...mind the spelling was decent.  Good place to grab ☕️ before skating..
Alamo Square Cafe,Thanks Juan
Alamo Square Cafe,"Tried to stop by for a quick lunch. A lot of the items pictured are not on the menu, no gluten free bread, etc. probably a fine place to go if you’re a local and know what they offer, but maybe call ahead if you have dietary restrictions."
Alamo Square Cafe,"Can you be more specific about ""a lot of items pictured are not on the menu""? The only thing we're out of is gluten free bread.  I don't know if you're aware, but we're in the middle of transitioning out of a 2-year pandemic that disrupted the global economy including the supply of pretty much everything and anything you can think of.   As a result, we and the rest of the service industry are dealing with challenges in sourcing some of those things we sell and use from vegetables to lids, including, gluten free bread.  As much as we would love that have that available for you, we have zero control as to when that might be the case.  I don’t know what “local guide” means exactly but I would hope that as one, I you’d be more in tune with the state of the restaurant industry at a macro level.  Hope this helps you in understanding and you reconsider your 3 star review. Also our menu is on our website: alamosquarecafe.com"
Alamo Square Cafe,"Needing a boost to help us adjust timezones, we decided to stop by Alamo Square coffee for a pick-me-up before going to the Painted Ladies. The place has a great vibe that's perfect for those who want a warm & friendly neighborhood coffee shop where everyone knows your name and you're treated like a local. Our drinks were ready shorty after ordering so we set out towards Alamo Square. While walking away and sipping my latte, I noticed my order tasted different and assumed they messed it up. It still tasted great for whatever it was so I didn't care and we continued on our way. Suddenly I hear someone shouting my name from behind us and turn to see the lady from the coffee shop literally RUNNING towards us with a new drink in her hands. Even though I messed up and grabbed someone else's drink, they cared enough to run a full city block after us to correct MY mistake. We'll definitely be coming back to Alamo the next time we're the city!"
Alamo Square Cafe,Thanks Joel!  Appreciate the kind words!
Alamo Square Cafe,"Tasty coffee, plenty of seats with outlets and wifi. Ideal cafe to sit down to get some laptop work done.  In a city full of boutiquey cafes... Alamo Square Cafe is a relief."
Alamo Square Cafe,"Thanks, R!"
Alamo Square Cafe,"Amazing sandwiches at this great little lunch spot. Highly recommend, especially if you are looking somewhere to eat when visiting the pink ladies."
