0,1
All Star Cafe,"Exceptional Philly Cheesesteak, great prices.  I saw that they had sandwiches, so I chose the Philly Cheesesteak. After about seven minutes, my sandwich was ready. I also bought a bottle of water. I don't remember the total, but it was about $12. I opened the bag to find the sandwich, a decent amount of napkins, and a bag of chips. I wasn't expecting chips and I had no idea that I had chips until I opened the bag, so I'm not sure if chips are included or if they gave them to me for free.  The Philly Cheesesteak was absolutely fantastic. The beef was tender, there was a good amount of cheese, and the vegetables were perfectly cooked. The sandwich didn't drip and didn't fall apart easily. I haven't had very many Philly Cheesesteaks, but this was the best one I've ever had.  There's no seating here, but you could sit at Market Square, which is where Twitter's HQ is at. If you're in the area and you want something delicious and inexpensive, consider visiting this place."
All Star Cafe,"From the outside this place doesn’t look like anything special, but the food and staff are really great. They serve fresh sandwiches and donuts/pastries! Donuts are moist and soft & their sandwiches are big and very affordable!"
All Star Cafe,🥰🥰🥰🥰
All Star Cafe,"One of the best Cafés I've ever been to, I came here at 11:30pm at night & Got a coffee that was really good and the guy taking the orders at the front desk was probably one of the most genuine & kind people I met in all of San Francisco. 10/10 Would highly recommend to try their Food Menu as well, For locals & especially for travelers/tourists!"
All Star Cafe,i work graveyard so my options to food are minimal. saw this place was open & tried the philly cheese steak + thai iced tea. i love thai iced tea cant go wrong there but i never really order a philly cheese steak anywhere but im glad i took a shot on it here. sandwich was totally bomb. love that theyre open 24 hrs!
All Star Cafe,😇
All Star Cafe,"This place is a hidden gem! Super straight forward donut shop, the donuts are surprisingly quality and fresh! Very affordable by SF standards, nice employees"
All Star Cafe,🥰
All Star Cafe,"Wow, what a fantastic order that was quickly delivered, at a difficult hour of 5:30am. The options were simple and exactly what I wanted: breakfast sandwich with egg, bacon and cheese on sourdough bread. And a bagel with avocado and egg. I wish you had some sauce options, but at the same time respect the simplicity. And I had a fun time adding the sauces from my own fridge to both sandwiches. On the egg, cheese, and bacon on sourdough bread, I added classic hot sauce and Dijon mustard. On the egg and avocado on a bagel, I added champagne mustard and Sriracha. I recommend both order x sauce combinations for anyone interested. #Yummers  Wow, and then the donut! Do not get me started. That was an insanely delicious delight! More like a fritter, beautifully moist on the inside and almost cake like but JN donut form. With a fun textured, tasty sugar glaze.  They also added in a complimentary bag of Lays potato chips, classic flavor. #Hospitality makes the world go round!"
All Star Cafe,"I was mistreated and discriminated against by this Hispanic young male there are photos attached. A nice and professional Asian male helped me order a cold ham and cheese sandwich to go. 3 minutes later the young Hispanic male asked was this a grilled ham and cheese I said no. He Responded in a loud tone!! I was talk to him referring to the nice Asian man. I responded back citing I was merely trying to confirm my order. I thought nothing at first, I asked if he could ring up my order he said that he was off the clock. He walked away and continued to help customers who were not black. I decided to take his photo to report him and walked out after I paid for my sandwich. Note: the nice Asian male helped me. As I exited the building the young Hispanic male ran behind me and said I dropped something and took my photo. This further supports my claim of mistreatment and discrimination."
All Star Cafe,Wonderfully good hearty food and intense sweet sweet donuts but not necessarily a great place to eat as it has clientele coming and going you may not want to sit next to you.  I usually order of the chicken teriyaki and always get it to go. It’s an excellent place for a late night early morning quick grab and go
All Star Cafe,"This place will not only hook you up with some great donuts, they'll make sure you get some good food in you as well.  First off, I just have to say that the fries here are out of this world good. Perfectly crunchy, slightly seasoned, and piping hot every single time. I would highly recommend them! In terms of food, they have french toast, spam and eggs (with rice), burgers, hash browns, etc. I've heard great things about the spam and eggs from my friends and have seen how generous the portions are myself. I think it's something like 5-6 large slabs of spam with your eggs and rice. I'm happy that this place has some vegetarian options in terms of food -- ahem veggie burger :D Although, even if they didn't have veggie options, I would basically live here for the fries.  Service is quick and food typically seems to come out quickly. If you're the area and need more than just donuts, hit this place up and grab a filling meal."
All Star Cafe,"One of the few establishments open 24/7 in San Francisco. Tonight I ordered a Chi Tea Latte, it came premixed and ran through Some sort of single serve espresso type machine. The drink was nice and hot and did taste as expected it is nothing I would rave about in either taste no quality but given the options at 3:00 in the morning this is great."
All Star Cafe,"The donuts, pastries coffee, and latte's are all absolutely DELICIOUS! Aside from the heavyset younger man with glasses, the rest of the staff are always friendly and welcoming!"
All Star Cafe,"Love the ""overload fries"" I think thats what they're called. It's like a Torta but a French fry version. I recommend trying them."
All Star Cafe,Only 24 hour business you'll find in the city. Excellent donuts excellent coffee. We need more of these places around.
All Star Cafe,"If you’re looking for bougie brunch, this isn’t it but the food is simple and good and cheap. Good ownership that also feeds the needy"
