0,1
Angel Cafe & Deli,Very nice bagels for breakfast. It was so good that we went twice in a week to try different bagels 🤣
Angel Cafe & Deli,We appreciate your feedback Queenie thank you 
Angel Cafe & Deli,"A friendly deli, with lots of choice, The food was fresh and tasty  So good we went back 3 times during our week stay"
Angel Cafe & Deli,Thank you Barry we appreciates you 
Angel Cafe & Deli,"My 'Heavenly Breakfast Bagel' was freshly made: tomato, lettuce, cucumber, avocado, cream cheese and an egg - $8.50. The 'English Breakfast Muffin' I had the other day was light, tasty and grease free. The place is clean, and the friendly, professional staff have served me good, strong coffee all week."
Angel Cafe & Deli,Russell we truly appreciate your awesome feedback thank you for your business 
Angel Cafe & Deli,This place is more about convenience than anything else. Most of the items are microwaved and some bakery items are just bought elsewhere and repackaged. I don't hate it but I definitely don't recommend it.
Angel Cafe & Deli,Thank you Sa Nja we loved your feedback 
Angel Cafe & Deli,"Good coffee and the heavenly breakfast bagel was terrific. Location isn’t ideal but good for a stop in if you’re nearby. I probably wouldn’t get some of the deli items but the bagels, pastries and coffee seemed like a can’t miss."
Angel Cafe & Deli,Stephen thank you very much for your awesome feedback. We appreciate you.
Angel Cafe & Deli,This is a fantastic cafe. I’m a big fan of the heavenly bagel with its light balsamic vinegar. They have a great dirty chai as well. Definitely give this place a try if you’re in the area. The staff are great and the seating has a nice ambiance.
Angel Cafe & Deli,We appreciate your feedback Isabella  Thank you 
Angel Cafe & Deli,During our 10 day trip to SF we had every breakfast at Angel Cafe and enjoyed it very much. The owners are friendly and the bagels are amazing - our favorite was definitely the heavenly breakfast bagel! They also offer a (green tea) chai latte which is absolutely incredible.  Looking forward to coming back on our next trip to SF!
Angel Cafe & Deli,Thank you Tatyana  thank you for your business We hope to see you again
Angel Cafe & Deli,"Walk out of the Beresford Arms Hotel 🏨 and turn left. 1mins walk to the end of the block and turn left onto Leavenworth. Walk down the block 1minute onto Geary.  You won't be disappointed!! This deli and cafe looks a bit basic from the outside, but the food and service is 2nd to non. Wonderful quality and value for money in San Francisco 👏 Bravo Angel Cafe!!!"
Angel Cafe & Deli,We appreciate your awesome feedback WABBA Thank you 
Angel Cafe & Deli,If you are ever in this area you must try their food!!!  Very friendly service breakfast was amazing. I also purchased an apple fritter for a snack for later 😋 I have to say the best apple fritter I have had so freash yum yum yum... You guys set my mood for the day. Thank you so much. Love you long time!
Angel Cafe & Deli,We appreciate your feedback Xandria thank you for your business 
Angel Cafe & Deli,"Excellent food, quality, service, choicee and prices. One of the few great businesses I found in my 5 days trip. Had almost all my breakfasts there. 100% recommend"
Angel Cafe & Deli,We are so happy that you liked our godd and service Yanis. Thank you very much for your support 
Angel Cafe & Deli,"The owner was really friendly and filled up our water for us. We also had a really nice lox bagel, and I loved the full murals all over the walls. Really beautiful, had good quality, reasonably priced food and coffee, and the staff were really nice. Definitely worth a visit!"
Angel Cafe & Deli,We appreciate your feedback Josh thank you for your support 
Angel Cafe & Deli,We ordered Angel cafe&deli packed lunches for a group of 44 people 6 days in a row. Top organisation with a system of number for each kid to take their pack in a second and a large range of choices. Delicious and healthy sandwiches. Very grateful for this service which was not easy for the owner who even provided us lunches on the day they were supposed to be closed. Very nice and helpful.
Angel Cafe & Deli,It was my pleasure serving you and the group Virginie. Your business much appreciated 
Angel Cafe & Deli,I appreciate you guys for being open at an early hour. I was so surprised that sf had so few places to grab a bite before 7.
Angel Cafe & Deli,Kenny it’s our pleasure to serve you thank you 
Angel Cafe & Deli,"If you want to have the BEST BREAKFAST BURRITO you have to visit this spot !! If there is more than 5 Stars I would give it to these people 🥰 all the breakfast items are really good , very clean spot , service is great! They have some homemade items that are so yummmyyyyy🥰🥰🥰"
Angel Cafe & Deli,Thank you Saba for your kind words we appreciate your business and your kindness Thank you
Angel Cafe & Deli,"Great breakfast food, super friendly, cheap, outdoor seating"
Angel Cafe & Deli,We are so happy you liked our food and service Colleen. We appreciate you 
Angel Cafe & Deli,"Amazing place for a propper breakfast/lunch. During our multi-day stay we went there every single morning, because it was simply that great. The people, especially the owner, we incredibly friendly and cheerfull. The breakfast bagel and heavenly bagel were our the top choices."
Angel Cafe & Deli,It was my pleasure serving you and your folks Laura hopefully to see you again thank you
