0,1
Bernie's,Randomly came in on a rainy afternoon for a pick me up and was impressed! Definitely the type of cafe that gets a lot of regulars. Another customer recommended the pecan bar and it was so good! Not too sweet with an amazing butter crust. Latte was good as well. More of a mild espresso flavor compared to other cafes. Will be back to try the scones!
Bernie's,"There’s no atmosphere. Staff are masked and robotic. They won’t go near your cup from home, but they will take $4.50 in cash for a cup of poorly made coffee. Charged me $1 for regular milk, heated. A humbling and painful experience, like paying to be punched in the gut. Not my fetish."
Bernie's,"Lovely little community coffee shop with extremely friendly baristas and staff. It must be managed by a caring and happy person who hires equally warm people. I had the chai late with oat milk and my husband had the plain iced coffee, both of which were delicious. They also have nice greenery in the front of the café now!"
Bernie's,"Shockingly awful espresso, pulled incorrectly and extremely dark roast that tastes burnt. No wonder they ask you multiple times if you want sugar in the espresso."
Bernie's,"The perfect coffee shop for working, with patrons who reflect it. The tables are arranged for work, outlets are plentiful, and wifi is reasonable, or OK when it's crowded. Many students around here. The food is pretty good (got a burrito and a pumpkin cake), though more healthy options would be great.  The coffee shop is very stylish, as if reflecting the Noe vibe. Just the music was maybe too loud. The staff is very nice and chatty. The location is excellent, just run your errands and come do some work in the coffee shop."
Bernie's,"Bernie's is a great local coffee shop.  So much better than starbucks...friendly, cozy, local.    Great coffee and extras.  I love the breakfast burritos!  Support small businesses."
Bernie's,"The atmosphere and vibe is great. I ordered a latte and the milk that was used was frothed beforehand and sitting in a large pitcher so my ""latte"" wasnt frothy at all. It was basically an espresso with warm milk. I also got a quiche. It was pricier a bit overpriced for the size but pretty good.  Tldr; It's a good place to camp out if you're not picky with your coffee, but if you care more, try somewhere else"
Bernie's,"Super homey cafe with a wonderfully welcoming staff, and dope soy lattes. As a student, I appreciate the ability to camp out here in a sunny window and study away with some fun music in the background. Definitely one of my new go-tos in the city 😊 …"
Bernie's,"The loveliest little coffeeshop! The staff is super friendly and warm, and the atmosphere is great.  Love all the plants inside, and I notice there's always people outside on the benches sipping their coffee.  I got the Iced Bernie and it was delicious!"
Bernie's,"Adorable, but not much seating to speak of. It's certainly true that proximity to the Whole Foods is to their benefit, but it sort of kills the small neighborhood vibe outside the whole establishment. That's not a knock on the place, just an observation."
Bernie's,"Just FYI to others that, as of April 2023, they still have no seating -- it's takeaway only still."
Bernie's,"Very friendly service, chill vibe. Pleasant music. Has WiFi and a bathroom. Try ""the Bernie"" Americano."
Bernie's,"What an amazing place, so cute full of plants and the coffee is delicious. It’s SF so coffee will always be expensive, but Bernie’s worth it!!"
Bernie's,"Best coffee shop in San Francisco, hands down. Not only amazing coffee and quick bites, but the warmest welcome by Bernie and her staff, day after day, rain or shine."
Bernie's,I love this place. Bernie is like the coffee Mama and truly has you feeling cared for and tended to when you step in the door. Coffee is good too!
Bernie's,"Hands down my favorite coffee place in Noe Valley.  Bernie (the owner) is an amazingly warm and caring person and all the baristas there are somehow maintain a cheery disposition, even despite the stressful work conditions these days.  They’ve taken covid seriously, and try to keep all their patrons safe.  And bonus... if you visit with your pup, they will often give your furry friend some treats!!  Keep up the amazing work, everyone!!  Toby and I love what you do!"
Bernie's,Bernie's is quite possibly the best coffee place I've ever walked into. Not because of the coffee (that's a bonus) but because Bernie is just the kindest soul I've ever met. I'm incredibly grateful I got to live so close to her beautiful  haven for a  few years and miss it incredibly.
Bernie's,The place itself is cute and I liked the service but unfortunately I really didn't like the coffee. I got a decaf cappuccino with oat milk and my sister got a regular cappuccino with whole milk. Neither of us enjoyed the coffee. They have benches outside too so if you don't mind the coffee it can be a cute place to sit and unwind.
Bernie's,"Bernie's is the quintessential local coffee shop. World class coffee and Bernie and her staff are the warmest, caring coffee people anywhere!"
Bernie's,On my last day of a visit to San Francisco.  Had coffee here every morning.  I'm a Dunk's guy since I'm from Mass.  There was a Starbucks close by (gross) and I was happy to find this local place.  Coffee was excellent and the service even better.  Great atmosphere.  I have to leave for the airport at 5AM tomorrow and I am sad they won't be open yet.
Bernie's,"This is the best coffee shop I've ever been to. In quality of drink, food--of course. But above and beyond all that--in quality of staff, culture and Bernie as person.  I stopped by on the recommendation of a local friend, as I'm an out-of-towner. I needed a place to chill for a few hours before meeting up with family coming into town later. I ended up spending three hours watching a beautiful coterie of customers rotating in through her doors--all seemingly devoted regulars. She small talked about birthdays, children, and jobs, but it was more than small talk. Her conversation betrayed a personal intimacy that I simply don't see anymore.  Bernie instantly pulled me into this warmth. Not knowing me, she asked me about who I am, why I find myself in her shop, and spun me off delicately into other conversations with staff and regulars. I was pleasantly jolted by sociality of this wonderful shop, which was only rooted further by how delicious I found the coffee and pastries.  The only comparison that comes to mind is Phoebe Waller-Bridge's coffee shop in the second season of Fleabag. But this place exists.  Got me dreamin' of San Francisco. If you're a local--it should be obvious to skip the Starbucks on the corner and come here. But even if you just live anywhere in the Bay Area, you must make the trek to come check out this glittering diamond of a coffee shop."
Bernie's,"As a third generation San Franciscan, I can genuinely say that Bernie’s is as San Franciscan as it gets. Both she and her staff are welcoming and oh man is her coffee strong. As an over-worked teacher there are days when I would not make it through without a big cup of Bernie’s Blend. Don’t compromise and go to Starbucks (☹️) when right across the street you can get a vastly superior cup of coffee and support a local business woman at the same time"
Bernie's,Thee best decaf in SF! Bernie memorizes everyone's favorite coffee drink for the whole neighborhood. Support local businesses in SF!
Bernie's,"Great, friendly vibe at this locally-owned coffee shop. I wish they offered a less-bitter variety of coffee for their espresso. It has tasted burnt the last two times I've been in :( Other than this, it is a good place to work from."
Bernie's,Have known Bernidette for a long time. A cafe with history and ties to the community. And excellent coffee.
Bernie's,"I stopped by Bernie's earlier today and not only enjoyed a delicious espresso but also had the pleasure of chatting with Bernie! Her cafe is so warm and inviting - no wonder it's bustling every time I go there. But seriously, the coffee..... bruh, it's some next level brew!!"
