0,1
Biscoff Coffee Corner,I love Biscoff biscuits but never heard of coffee so tried their hot chocolate and cream buscuits. Biscuits are costly and nothing special and I think I just paid the price of pier 39. Hot chocolate was good. The order taking guy was just doing his job like robit and easily did wrong with my order.just to mention you will get a sample biscoff biscuit with your order.
Biscoff Coffee Corner,Thank you for sharing your feedback about your experience with Biscoff. We appreciate your love for Biscoff biscuits and your willingness to try our hot chocolate and cream biscuits. We apologize if you found the biscuits to be costly and not particularly special. We value your input and will take it into consideration to ensure we provide a better value for our customers.  We're glad to hear that you enjoyed the hot chocolate. We apologize for any mistakes with your order and any inconvenience caused by our order taking process. We will review our procedures to ensure more accurate and attentive service.  Thank you for mentioning the sample Biscoff biscuit that comes with your order. We hope this added touch enhances your overall experience.  We appreciate your patronage and hope to have the opportunity to serve you again in the future.
Biscoff Coffee Corner,"We were having dinner across from this place and the delicious scent of coffee enticed us to save room and come over for dessert after our meal.  Got a glazed donut, plus coffee and hot chocolate. All were very good."
Biscoff Coffee Corner,"We love hearing from our guests, Athena. I'm pleased to hear you enjoyed your experience at Biscoff. I will share this with the team and thank them for taking care of you. I hope you come see us again."
Biscoff Coffee Corner,"This place is a themed coffee station which gives free cookies with every coffee ordered.  I found the predominant colors of red and white as tasteful as the cookies. The cinnamon rolls could have been softer, they seemed stale. The salted caramel coffee was not exactly enticing."
Biscoff Coffee Corner,"Thank you for visiting us Bartika, and taking the time to write a review. We are sorry to see you did not have a the best experience possible. We do hope you give us another try next time you are in the area."
Biscoff Coffee Corner,Was getting kind of chilly out on the pier when I spotted this Jen what a delicious cup of coffee I enjoyed every sip recommended if your in pier 39 and don’t get me started on the pastries what a delicious treat.
Biscoff Coffee Corner,Thank you for taking the time to share your experience at Biscoff Coffee Corner on Pier 39! We are thrilled to hear that you enjoyed your delicious cup of coffee and the pastries. It's great to know that our warm and cozy coffee shop provided the perfect respite from the chilly pier. We hope to see you again soon for another cup of coffee and some more delicious treats!
Biscoff Coffee Corner,"Had cappucino & Lotus waffle. coffee is regular, nothing special about it. Waffle was 10/10 especially if you like lotus as i do."
Biscoff Coffee Corner,"Thank you for taking the time to leave us a 5-star review, Mohamed. We appreciate your support and are glad to hear that you had a positive experience with us at Biscoff. We hope to have the pleasure of welcoming you back soon and providing you with another enjoyable experience. Thank you for choosing us!"
