0,1
Blue Bottle Coffee,"The Blue Bottle Coffee chain has a nice, clean interior design and a good selection of beverages. The food is mostly on the sweet side, with more cakes and croissants on offer. We have tried Blue Bottle Coffee in various locations, and this is a nice outlet. We enjoyed double espresso macchiato, ice coffee, and cappucino. All the coffees were excellent, and the staff was friendly and correct. Prices are average for this type of cafe and this type of coffee. We didn‘t try any of the sweet food options."
Blue Bottle Coffee,"Always liked Blue Bottle for its sleek, clean design and ability to not complicate coffee. My order here is always a double espresso (Hayes Valley) and as I always say, if you don’t get served water with the espresso—don’t take it seriously!"
Blue Bottle Coffee,"I went here for coffee break. I ordered the green tea latte. It was plain, but then i added syrup. It taste good. Services were good. Good for small meeting and friends.  CONCLUSION = RECOMMENDED!!!"
Blue Bottle Coffee,The customer service here is out of this world! The friendliest people I've met. Thank you for the excellent service and just being so kind! Love Blue Bottle and the love it brings into the world!
Blue Bottle Coffee,"Had the worst customer service experience ever from Blue bottle on July 16th, Sunday afternoon. When I was picking up my drink I wanted to confirm that its decaf. I asked the barista, but I couldn’t hear him at all because he was wearing a mask. So I asked him again and he scowled at me and yelled “yes” in disturbing tone. I’m sure anyone could have a bad day but he was giggling and having fun with other coworkers right after I talked to him. So he was just throwing a tantrum at me. He’s asian, tall, and has black hair. (I’m asian too…) Train the staffs and improve your service. No one wants to experience such an attitude."
Blue Bottle Coffee,"Oh no! We'd love to hear more about your coffee, can you email us at support@bluebottlecoffee.com? Thanks! "
Blue Bottle Coffee,"Been to plenty of Blue Bottle in the City (and around the world), this is the by far the worst location in terms of service. It’s really a shame, nice ambiance is ruin by abysmal hospitality. Condiment table lack maintenance and no one bothers to refill. Was wondering why the store is empty on Sunday morning. SERVICE MATTERS."
Blue Bottle Coffee,"Hi there, thank you for sharing this! Will you email us with more info at support@bluebottlecoffee.com?"
Blue Bottle Coffee,"I recently tried Blue Bottle coffee, and I was super impressed with the quality. First of all, the coffee was incredibly smooth and flavorful, with a strong and balanced flavor. The beans were roasted perfectly, and the coffee was overall incredibly delicious. Additionally, the customer service was great! I felt like they really cared about making sure I had a good experience. I would highly recommend Blue Bottle coffee to anyone looking for an amazing cup of coffee."
Blue Bottle Coffee,"We have come to this location several times and the service has been subpar on several occasions. When taking orders, several of the cashiers did not greet nor acknowledge us- not saying a word while we ordered.  I have also seen on one occassion, an employee raising their voice at a customer who did not speak english well- who was asking questions about the menu.  Coffee is good, food is good, service is less than average at this location."
Blue Bottle Coffee,"Thanks for sharing this, can you email us at support@bluebottlecoffee.com "
Blue Bottle Coffee,"Food and coffee is amazing, but the employees’ attitude is the worst. It was 4:51pm, we wanted to use the restroom, and because they cleaned it already, they didn’t let us use. My blatter is literally hurting and I couldn’t use the restroom. This is ridiculous, and honestly an attitude I don’t expect from any person who has a little bit of humanity. Unbelievable!"
Blue Bottle Coffee,"6/3/23 at 4:20pm.. 30 minutes prior to closing. I asked the person taking orders if the bathroom was open and he said no the bathroom is not available bc they’re closing soon.  But when I asked the person making the coffee, she told me the code.  Please make that make sense because it’s not like it’s five minutes before closing!! 🤷🏻‍♀️"
Blue Bottle Coffee,Clean and spacious be blue bottle. Delicious coffee and nice space. They confused what an espresso macchiato is with ... a latte i think but upon complaint immediately fixed it and redid it.
Blue Bottle Coffee,"The staff was nice. Tried the matcha drink, but it was not the best. Unfortunately there was a homeless man outside who kept looking inside the store through the windows."
Blue Bottle Coffee,"One of my new favorite Blue Bottle cafes in town. Beautiful space, central location, great coffee and menu. Highly recommend ✌🏼🥑☕️"
Blue Bottle Coffee,"This spot is ok.  But I think it's really not worth the money. I got a 12oz latte and a plain croissant for breakfast and it was more than 12 bucks. I dunno, it wasn't bad or anything. I just feel like it was expensive for something rather mundane."
Blue Bottle Coffee,It’s a bright airy place to grab some excellent coffee. Staff are very friendly. Baked goods are yummy as well
Blue Bottle Coffee,In a very quiet neighborhood. We went Sunday 11:00am and there were only three people. You can sit and work/read/chill quietly here.
Blue Bottle Coffee,"02/05/23, 11AM Walk in, 4 staff messing around behind the counter not serving anyone. Fat loud girl (most useless of the staff) shouting her head off with her nauseating nasal voice. Floors and tables a mess.  15:20: line of 7 people including myself waiting to get served, suddenly there’s only one person to serve and make coffee. In the 15 minutes of waiting to pay for my pre-made boxed coffee, two of the other 4 tontos come out and then walk back leaving just the one person to make and serve coffee for 7 people.  They clearly don’t care about their jobs, and should be sacked immediately."
Blue Bottle Coffee,"If you're looking for the most consistent barisita experience when it comes to quality lattes, Blue Bottle never disappoints. If you want to skip the line, they have a great app!"
Blue Bottle Coffee,"The staff was friendly, avocado toast was good size and iced latte was delicious. The store is in a quiet neighborhood, residing in a lovely red brick building. There are plenty of seating inside and a couple of tables outside. I really enjoyed my visit there. This just might be my favorite Blue Bottle location in SF!"
Blue Bottle Coffee,"I always love a cup of Blue Bottle coffee! Stopped by on a drizzly Boxing Day and ordered this Snickerdoodle milk, which the barista kindly informed me was totally non-caffeinated. I was also pleasantly surprised to see that their default milk is now oat milk, which is great news for someone like me, who's been vegan for the last 2 years now!"
