0,1
Cafe Réveille,"Love Réveille! Every location in SF is great, but we usually go this one because it’s closer to our home. Fresh and home roasted coffee, great selection of Japanese loose tea that they serve in Kinto teapot😍. Amazing breakfast and food quality. Prices are great! Also their pastries are from Starter Bakery which is good too, but before Starter bakery used to bake better quality for wholesale as for me. Anyway, highly recommend this place - their breakfast, tea, coffee, fresh squeezed juices and best chia pudding in the world!!"
Cafe Réveille,"When I arrived there was a line that took around 10 minutes, but the staff were friendly and made my order very quickly. The cappuccino I got was great, as was the coffee cake. I will say that there were some smaller light brown species of cockroaches in the bathroom crawling around on the sink. This was a bit unnerving, but nevertheless it was reasonable for SF so I can't blame this place in particular."
Cafe Réveille,very normal i was kinda craving a regular croissant normal but could only find sweet pastries. maybe I'd come here to study as a student... the coffee looked good too. not too expensive for decent quality. just don't expect nothing special. gotta give them props for the ginger tho that one had my socks spinning
Cafe Réveille,"Sorry, but this place is the definition of mediocre. Food, coffee, service and atmosphere are super mid. Just nothing special about it."
Cafe Réveille,My favorite coffee in town! Their cappuccinos are addicting :D They also have great brunch options. Lots of space both inside and outside to sit down. Also dog friendly!
Cafe Réveille,"(Update) In case helpful:  Indoor seating: yes WiFi: yes, with protected password Restroom: yes, two Recommendations: Acai bowl for food and latte for drinks  Ordered the Homestyle Breakfast and Açaí Bowl, for coffee we had a latte with oat milk and another latte with almond milk. The food was good and the coffee was good too. Slightly on the pricier end, but felt that Açaí bowl was especially worth it!  Update: I’ll probably keep updating as I come back to the place, but so far I’ve had:  Food: Homestyle Breakfast, Breakfast Sandwich (with the works), and Acai Bowl. I like Acai Bowl the best so far.  Drinks: I’ve had latte w almond milk, capuccino with almond milk, matcha latte with almond milk. I like my matcha latte without so much foam (some places make it like 80% foam so there is almost no weight to the drink at all) and I like that here, it was rich and creamy instead of being foamy. I still think latte with almond milk is the best.  Pastries: For pastries, both coffee cake and croissant were good. I might try to get the croissant warmed up next time :)"
Cafe Réveille,"An impressive coffee place in the neighborhood!  Dropped by this place to pick up a coffee for the go. I was impressed by the ambience of the place and friendliness of the staff.  We got a matcha latte and latte. Both were delicious. They had a single size, the prices are at par to Starbucks. The size of coffee is similar to Grande of Starbucks.  I didn’t dine-in but there were people who were dining indoor and outdoors. The condiments - sugar/ cream area is open too.  Will definitely go back to their other items on the menu!"
Cafe Réveille,"The best breakfast bowl I've ever had. So flavorful, filling, and beautifully presented! The breakfast sandwich, coconut breakfast bowl, and smoothies are all so good. Everything I've had so far is tasty and reasonably priced. Love this local spot for brunch."
Cafe Réveille,"Really mellow atmosphere, with modern decor. Tall cellings with plants placed above the windows. Perfect for enjoying a coffee/tea beverage.  Food is very good, had the eggs and potato breakfast with a side of falafel. Chimichurri was awesome.  I'm hoping to go back soon and try more dishes."
Cafe Réveille,"Been here multiple times, always great coffee. They also have baked goods and smoothies/bowls that are yum! Tasteful interior and great spot to WFH"
