0,1
Cafe Suspiro,"I happened to stumble across this cafe and am so glad I did! Simple menu, delicious coffee, great record selection and genuine and friendly service. I only want good things for this place! Already looking forward to going back soon."
Cafe Suspiro,"I Like this place but it’s frustrating that they don’t post an accurate schedule or keep to their posted hours.  I tried to go twice this week during hours when their website and their sign outside says they should be open, and they were closed with no explanation or notes on their website.  Consistency is important to me in a coffee place if I’m going to be a regular.  That said, food and drink quality are great if they’re actually open.  Edit to reply to owner:  having to close due to health reasons is understandable but next time please at least post a sign.  Your reply says back to normal hours “next week” but I have no idea what that means since you didn’t include a date.  Please be specific so people can plan their day!!  We need to know when you’re open and when you’re not!!"
Cafe Suspiro,"I apologize for the inconvenience. Normally I’m open on the hours posted. But as a small business owner with a skeleton crew sometimes it’s necessary to close without notice, and in this case for medical reasons. I’m sorry my disability inconvenienced you. We’re back to regular hours next week. "
Cafe Suspiro,"Very small cute shop. They have coffee, some pastries, records, art etc. We got two lattes the Mexican Mocha and the horchata. Both were delicious and not overly sweet which I always appreciate. Also got two spinach and feta pastries which were amazing. Definitely worth a stop."
Cafe Suspiro,"The coffee is top top level.  Raul and the staff are amazing, welcoming, and friendly.  The shop is so cool and has an excellent collection of books and music.  I'm not going anywhere else!"
Cafe Suspiro,"Great coffee, real cups. In SF."
Cafe Suspiro,"Very good coffee and pastries and Chris, the bartender, made me feel welcome everyday.  Besides, the second-hand records worth a browse."
Cafe Suspiro,"This place is great. Always fast even if there's a small line. But even if there is, the owner is always talkative. And the coffee is great. I usually get a macchiato which has good balance but it can sometimes taste like the espresso is a little under or over extracted. Overall I love this place.  It is cash only!! So be careful of that one."
Cafe Suspiro,The best chocolate croissants I have ever had and I have tried many croissants in my life. The mocha is also superb.
Cafe Suspiro,"Cool, chill spot for great coffee. Raul's Mexican Mocha and Eddie's Horchata Latte are our favorites."
Cafe Suspiro,"My favorite coffee shop in the city! Better cappuccino than Sightglass / etc. alongside a far better experience.  Amazing beans (I buy them for making my own espresso-based drinks) and the owner is extremely friendly. It’s a model local business.  It was recently renamed Cafe Suspiro, used to be called Vega, and is becoming a record shop + cafe. Highly recommend trying it out!"
Cafe Suspiro,Among my favorite coffee shops in one of the greatest cities of coffee shops for two main reasons: the drinks are fantastic (try the New Orleans iced coffee for a real sweet treat!) and the service is genuine - it truly feels like that small-town warm & welcoming coffee shop! It also has a fun sports feel with lots of soccer apparel hanging along the walls
Cafe Suspiro,"Our favorite local coffeeshop. We feel fortunate to have a place like this within a block! Raul's got a wonderful vision for coffee, books, music. We have been enjoying his coffee and company for years and look forward to the evolution of the shop."
Cafe Suspiro,"perfectly curated little coffee, book and records shop.  a new jewel in the SOMA neighborhood."
Cafe Suspiro,Lovely little coffeeshop in downtown SF. Very cozy with music and books. Right next to an art gallery too!
