0,1
Caffe Capriccio,"Ordered an iced matcha latte and a chicken club with pesto and it was so delicious!! The latte was a perfect flavor, earthy but still creamy and mild, with honey sweetener! The sandwich was so tasty, smokey from the bacon, substantial with chicken and cheese, and flavorful with the pesto condiments and fresh tomato and arugula!! The service was wonderful, so nice and fast, the cafe was clean and tranquil in a nice environment :) I strongly recommend!!"
Caffe Capriccio,"Great experience at this lovely cafe! Owner is very attentive and is proud of the quality of food being served. We had a breakfast bagel with egg, cheese and bacon as well as a funky avocado toast with a boiled egg on top. Coffee was delicious and the space is very relaxed. Happy we got to try this place on our trip!"
Caffe Capriccio,"I walked by and stopped for a quick Espresso. Nice little cafe with outdoor and indoor seating. Inside it feels like little Italy. A fancy Espresso Machine, small delicious pastry and a nice selection of breakfast, sandwiches, salads and more. What stood out to me was the friendliness from the very beginning. Absolut amazing. You feel so comfortable here. Almost like home or on vacation in Italy. Very kind. Not to forget, Espresso was excellent and the pastry super delicious. Try the trio (mini bomboloni) - it won’t disappoint you. I just added this place to my favorite coffee and breakfast places in San Francisco. I will definitely come back. Thank you"
Caffe Capriccio,"Delicious food and coffee, healthy options as well as tasty treats offered and all delicious. Everything is obviously made with skill and quality ingredients. The menu has so many great options, too.  The atmosphere is great too, the interior is clean and beautiful. Everything is small and quaint but neat and well put together. There are even plants on the window sill you can purchase from another local shop. There's calm Italian music playing. It's got such a great vibe for a slow, relaxing, beautiful place to enjoy your food and drinks.  The service was also fantastic! One of the two days I visited, they had a massive rush mid morning and they rocked it. A worker even went around after the rush died down and made sure everyone was happy and got the right thing. Definitely they give more service than a typical cafe."
Caffe Capriccio,"Excellent and warm masters of hospitality, americanos, lattes, lox bagels, and so much more!  I wish I had enough time to try everything on the menu, unfortunately I am a tourist at the moment.  The space is so inviting and CC is so beyond what I envisioned what a great a cafe in San Francisco would be."
Caffe Capriccio,Stopped in for a coffee and breakfast. The food was fantastic and so was the coffee. Seems to be family owned and operated and the people were very friendly and accommodating. Next time I’m in the area I will be stopping again. Thank you for a great Friday morning breakfast.
Caffe Capriccio,"A gem on the corner of Mason St. And Chestnut. After walking around seeing the sites and sounds, we stop here for a late lunch. Everyone there was so nice! Service was excellent and the Caffé is charming. They ran out of falafel but more than willing to substitute with chicken or another alternative. All the sandwiches were made with care and had fresh ingredients. If you are touring and want a nice place to stop and just breathe... This is a great spot."
Caffe Capriccio,"Wonderful experience! This is a cute, family-owned cafe run by husband and wife. They both are so friendly and welcoming! I visited a few times during my trip to San Francisco and they remembered who I was during my repeat visits. They really show appreciation for all their customers. I love their golden turmeric latte. During my last visit, I also got a chicken pesto sandwich, which was delicious. I would definitely go back if I'm back in San Francisco!"
Caffe Capriccio,I ordered the veggie bagel! Not bad! Many dishes inside. The service was good! The one who I believe he’s the owner was kind and passionate to customers. And he recommended me the hummus dip to try.
Caffe Capriccio,"I absolutely love this place! The staff is friendly, the coffee is some of the best I’ve ever had. Great attention to detail. Cozy inside for work and sunny quite outside."
