0,1
Caffe Moda,"We stayed at The Signature San Francisco and wanted some pastries for breakfast, so we set off walking and came across Caffe Moda. I am so glad we did! Everything we got was amazing. The apple fritter and the ham and cheese croissants were to die for. I love this place! The lady behind the counter was working her butt off but still managed to give great service. I would love to eat here again. Thank you!"
Caffe Moda,"Great place. Tea was great value. Also got a great value banh mi (Vietnamese roll) that was very tasty, great tofu, what more could you want. Very friendly and welcoming woman serving there."
Caffe Moda,"I seriously LOVE this place! They make the most delicious breakfast sandwiches and they have a nice variety of freshly baked pastries for reasonable prices. You'll be hard-pressed to find a better chai latte, too (either hot OR iced - both are amazing) Just get there before 2pm - ya ain't got all day! 😋"
Caffe Moda,Got a very large croissant it was very filling. However there are lots of homeless on the corner nearby that kinda take away from the atmosphere.
Caffe Moda,My Bride and I Loved this place. First day in Frisco from Chicago and ended up here. These peeps know their craft. Freshly squeezed OJ. Glazed donuts were super fluffy. Ham and Cheese croissant also delicious. Must try if your in town!!
Caffe Moda,The one lady staffed there was very excellent on how she made my drinks and the food was good and later on her helper came and he was very nice and accommodating as well :-) the atmosphere is simple but clean neat and tidy
Caffe Moda,"New owners! They make the Doughnuts on site, and they are Great.  Nice people who are doing  it right."
Caffe Moda,"A quick stop for your usual coffee. Nothing fancy, but the lady serving it is super nice and efficient."
Caffe Moda,Tried it for the first time today. I got a turkey breakfast sandwich and it wasn't anything to rave about. My friend got 2 donuts and after he purchased it I noticed there was a bunch of small flies in the donut case. This place needs to work on cleanliness and address the small fly issues. Won't be going back
Caffe Moda,"The breakfast sandwich that i had was great, but the secret is in the waffles. My sister had one and said it was the best waffle she's had anywhere in a long time.  Delicious milk shakes and smoothies. Very friendly service, and decent prices. Will definitely go back if I'm in the area again. (This breakfast was better than the one that i had to pay for at my hotel)"
Caffe Moda,"I took a $20 Uber ride here at 5am because they were one of the few restaurants that stated on Google they were open at that time.  They were closed.  Paid another $20 to go to Denny's several blocks away.  Thanks a bunch Caffe Moda.  Try updating your open times so you don't cost other potential customers over $20 each, I'm sure you've costed many of us thousands collectively by now."
