0,1
Cavalli Cafe,"An authentic cafe!  We had craving for dessert and luckily we were right by this place. We were really surprised by the food and great service we got here. Fresh and delicious tiramisu and cannoli which you can never forget. This place has this atmospheres of an italian cafe which adds up to whole experience. People were really having good time here. And the prices are just right.  Do go if you are around, stop by for coffee or dessert, look no further…!  Note- cannoli is a must try!"
Cavalli Cafe,"Drove past this place and thought the exterior was so cute, so we braved through finding parallel parking to stop by. The people who work here were so nice and helpful when I asked questions. We loved the desserts and coffee that we got. Would definitely recommend if you’re in SF!"
Cavalli Cafe,"Charming place til it’s not. Employees not super nice unless they think you’re rich- much like many places here. I put up with it I noticed the sign by the bathroom. Don’t think it’s funny at all. Upstairs has very little airflow. Even though it’s close to where I stay I will not be back. Be prepared to hear the same music on repeat … and by the way, Stella coffee across the street is kind to everyone.. at least as far as I have seen…"
Cavalli Cafe,Relaxed yet classy. I went solo for a pick up. Chose a mocha & Tiramisu. WOW!THE BEST! thick foam head on mocha in a  8oz Mason jar-  The Tiramisu  slice was generous &  moist throughout!  And for extra fun:  the many coffee themed mini signs on the high walls kept me entertained. ...One more perfect part: A handsome friendly barista/front clerk!
Cavalli Cafe,"It’s sad when one bad interaction is enough to ruin a long relationship. I’ve been coming here for years as I live around the corner. The coffee is awful and grossly overpriced, the food is wildly sub par, and the pastries are soggy. I didn’t care, as It was close to my house and they are open late - call them quirks of your standard bad cafe.  Today I sat down to have a coffee and work, and while doing so, I bent over to tie my shoe, and as I have chronic back pain, I used the plastic seat at the table to support my foot. An employee ran out and rudely began to berate me for placing my foot on a seat. He then proceeded to shoo me away with a rag and wipe down every surface I had touched as if I were carrying the plague. He then loudly began passive aggressively complaining about me to a fellow customer.  I’m one who loves the quirks of bad businesses - the mismanaged greasy spoon, burnt diner coffee, and house painted murals on restaurant walls are endearing, but i draw the line at verbal harassment.  Spend your money at any of the numerous better cafes within a 50 foot radius, and skip this tourist trap."
Cavalli Cafe,Holy cannoli!!!!   Seriously one of the best items we consumed all weekend!  Highly recommended and latte was great as well!  Thank you for the little piece of heaven!
Cavalli Cafe,"It has most fascinating people watching view of street life that I could gaze  forever ;  cafe seems to have  been transplanted here from Casablanca with international soundtrack , along with French pop and rock ; walls are adorned with photos of old San Fran , making it a photo art gallery. I also like the tackiness of how they display photographer Ruth Orkin’s famous photo. Some photos and murals outside cafe on bus stop nearby are great too.  Love their frothy cappuccino and  fashionable cups; their pistachio cannoli is to die for! Also they televise all global soccer matches for free. Only thing missing is a hookah;  Love taking photos of the scenes surrounding this cafe , esp on quite Monday nights"
Cavalli Cafe,"10/10 recommend this place. The atmosphere,the music and the decors are great. As a coffee lover, I can tell you that the coffee is a must try there. The cannoli with the orange vest is so good. If you are in San Francisco you need to come to this italien coffee place."
Cavalli Cafe,"Stopped off to get some dessert in North Beach and boy did we get lucky!  The delicious cannolis were sweet and creamy with a delicate pastry. And, if that wasn't enough, their wedding cookies simply melted in your mouth. Can't wait to go back."
Cavalli Cafe,"The place needs more reviews!!! The espresso, pastries, cannolis everything were outstanding!!"
Cavalli Cafe,Come on i’ve had 2 Italian Restaurants  back in the day but this little pastry/ Cappuccino & beverage shop was THE BEST!!! The cannoli & Cappuccino was THE BEST IVE EVER HAD HONESTLY! The owner was so fun & sweet and totally takes pride in what he does!!! Grazie Mille!!!!
Cavalli Cafe,"My husband picked this place out during his first trip to SF; he's from Napoli. The espresso was nice and creamy, so it met his discerning taste. The cannoli, however, was not authentic. He noted that it was cream, not ricotta, and that the orange tasted like it'd been thawed from frozen."
Cavalli Cafe,"I’m gonna have to reply to this usually we  don’t but your husband is wrong about Ricotta cheese It’s a real Ricotta cheese, and that’s why are Fresh cannolis  made to order and you can bring any  expert to taste it. And by the way, the cannoli was made in front of your eyes how that can be possible to be frozen Thank you."
Cavalli Cafe,"It’s probably the best cannoli the city has to offer, but $9.79 for just one cannoli is kinda outrageous expensive… it used to be ~ half the price before the pandemic."
Cavalli Cafe,"The owner is NOT prejudiced against Asians. I'm Asian and have been coming here for years though not as much as before since they close early now. Perhaps the other person is the issue.  Anyhow, delicious authentic Italian handmade goodies like tiramisu and cannoli. An Italian owned and operated business, that I'm happy to patronize and recommend."
Cavalli Cafe,Excellent service and coffee. I tried the latte and the cappuccino coffee. The coffee flavor is excellent. Tiramisu is one in a kind! Excellent flavor not to sweet and the canoli is also excellent. 100% recommended 👌
Cavalli Cafe,Loved the freshly made “New York style” Cannoli and our Matcha Latte and Chai Tea - just the right amount of flavour! Nice attic seating and friendly service as well (they really check and make sure that everything are what we want)!!
Cavalli Cafe,"This Italian café is a gem in the city. If you are looking for a cappuccino as good as you would get in Italy itself, you must come here. Lovely place to place to spend hours on the weekend 😌"
Cavalli Cafe,"Came here right before they closed and it was pretty empty. Ordered a cannoli and they made it fresh! It was the perfect amount of filling to pastry ratio, and the candied orange peels were a fantastic addition."
Cavalli Cafe,"Awesome authentic Italian cafe, perfect👍"
Cavalli Cafe,Canolli was great! Tiramisu is not bad. Excellent for breakfast with a view.
Cavalli Cafe,Delightful and intimate spot with a very long history of business in San Francisco. The pictures on the wall alone are with the visit! But then... The house made fresh cannoli is an experience into itself. OMG! I found myself saying over and over while I was eating it how incredibly delicious it was. It's a work of art for the eyes as well as the palate! Add a rich hot cappuccino on a rainy morning and you have guaranteed a great day ahead! Don't miss it!
Cavalli Cafe,"Best tiramisu of my life!! Amazing texture + not too sweet! Hand filled cannolis made to order -- so good & beautifully presented. Big portions for the price, too!"
Cavalli Cafe,"Extremely well made cannoli, they do it half chocolate chip and half pistachio. Very enjoyable and the Latte was spot on too."
Cavalli Cafe,Really good tiramisu and cannoli. Pleasantly surprise my the amazing latte and mocha!
Cavalli Cafe,"Nice place, and very good food"
Cavalli Cafe,"Awesome cannoli! Crispy and well seasoned pastry stuffed with a fresh, creamy, sweet ricotta. Espresso was good as well."
Cavalli Cafe,Sweet Italian cafe with the most luxurious double mocha and biscotti. Great atmosphere with a lovely bar seating area in their second story window overlooking Columbus St and Coit Tower. A new favorite!
Cavalli Cafe,I came here as part of a Culinary tour of north beach and little Italy. I had a mango Italian soda and it was a refreshing treat.
Cavalli Cafe,"Beautiful ambience. Have been to so many cafes around Columbus and the Downtown but, missed this gem in between. Quiet and cozy with plenty of seating inside and outside. Wonderful menu and barista really cares in getting it right. The owner is also super friendly and smiling all the time. Would definitely be on the regular visit list from now on."
Cavalli Cafe,"The coffee was good but Cannoli was by far the worst one I ever had. Also I asked for a large coffee, the charged me double the price and I had refill option on my cup coffee!!  Edited after response from owner: I believe the owner mixed up our table with somebody else, but I prefer to explain. coffee was good taste so I gave 3 star first but after rude and unfair comment from owner I changed it to one star. I ordered 3 Canoli for 5 people and after tasting from both side(because of different taste in each side) we didn't touch the rest. I didn't understand the size of coffee is large and if that so why you were so kind to give us one refill!!!! I didn't complaint in the store about the Canoli because there was customer in line in store and it's rude and unfair to tell the store something is that bad in front of customers!!! if you remember us right I thanked you and even mentioned to you the coffee is good."
Cavalli Cafe,"We do not like to reply to stuff like this, but people have to be honest sometime the mistake was made the barista gave you and your friend or colleague ?   2 large Americanos instead of 1 small and  large, so to make you feel better we told you that we’re going to give you a refill on the house  and you were complaining about the price if you don’t like the price, walk away  don’t buy nothing and about the cannoli. What do you know about cannolis but that’s your opinion but we are willing to give you money back  for the cannoli, but the  weird thing  is nothing left on your plates my understood in life  if someone don’t like something doesn’t eat it what  stop you from complaining at the spot? ???? Oh well "
Cavalli Cafe,Amazing cappuccino and cannoli. Great prices for coffee and they’re open late!
Cavalli Cafe,The tiramisu was delectable. The customer service was the best The owner is a very good guy and very funny.
Cavalli Cafe,Amazing Tiramisu and coffee…
Cavalli Cafe,"Food was amazing, service was amazing, we'll definitely come back for more great canolies"
Cavalli Cafe,"Cavalli Cafe is the perfect embodiment of North Beach. Santo, an Amfali Coast native, took over Cavalli and transformed this historic Italian bookstore (and originally the first Italian printing press on the West Coast) into this iconic cafe straddling the border between Chinatown and North Beach.  No latte art here -- folks come for true Italian espresso imported from Rome. And the cannoli. Santo makes the shells in-house and doesn't fill them until someone orders one -- so no soggy shells!  The cherry on top? Well, it's not a cherry -- it's Santo's secret orange topping! Grab a cannoli and a cappuccino and head to the second floor to pull up a chair to the floor to ceiling windows."
Cavalli Cafe,"The canoli was crisp, crunchy and incredibly indulgent! A must try treat!"
Cavalli Cafe,"Great food, kind people. What more do you need?  :) This is the place to have dessert and hang out in peace."
Cavalli Cafe,Everything is delicious! Best cannoli I ever had! Surprised me!
Cavalli Cafe,"Polite staff, delicious food, nice background music and beautiful decor & views. Opening hours are great too. Loved it :)"
Cavalli Cafe,The prices are high but the taste of coffees are amazing
Cavalli Cafe,"Thank you 🙏 believe me it’s not us everything went up it’s crazy now they make us pay delivery fee, and gas fee, plus the coffee went up. It’s crazy it’s not really fair to anyone"
Cavalli Cafe,Very Tasty options and Great location! Thoughtful staff and owners. I live nearby and they have been Sooooo thoughtful in helping me find Tasty food I can eat with my unfortunate allergy to wheat flour. (Happily oatmeal rye brown rice and quinoa are Great 👍 options …
