0,1
Compton’s Coffee House,Found this coffee ☕️  shop after watching suntise. It is a nice local little coffee shop. Looks like many are regular and live in neighborhood. Service was quick. The latte is not that strong. Pastries are yummy. It is pet friendly coffee shop.
Compton’s Coffee House,"Hi Dharma,  Thank you so much for the kind words about our store and service. For the lattes, we do add 2 shots to every drink, but our espresso does trend a bit on the lighter side and can blend in with the milk a little more.   Thank you again for visiting,  Compton’s"
Compton’s Coffee House,Medium roast single origin. Coffee was slightly bitter = medium Barrister. Overall if you look for an exciting coffee experience then this is probably not your place. But ok to stop by.
Compton’s Coffee House,"Thanks for the feedback Lutz, we appreciate your business. Have a great rest of your day."
Compton’s Coffee House,"Honestly pretty average coffee with a cashier that really didn’t want to be there. I asked if the matcha latte had any expresso and they said it did not, which is contrary to what I thought so I paid an extra $1.00 for one shot. Got the latte and it didn’t hit any expectations well. It wasn’t that hot, it had just a bit of matcha taste (for what the dark green color looked like, it should have had more matcha flavor) and it didn’t even taste like there was coffee in it.  Also it’s alright for a single person to work from but the tables aren’t really for having more than one person at each"
Compton’s Coffee House,Thanks for the feedback Wilson. We will continue to work on improving so we can be better going forward.   -Compton’s
Compton’s Coffee House,Great coffee. And very reasonable prices too. Service with a large smile and quick too. Clean restroom as well for the weary tourists. Didn't try any food items though.
Compton’s Coffee House,"Excellent Service. Delicious Coffee. Great Environment. Worth It. ♡♡♡  Yummy Treats, Try The Banana Bread. ♡ The 'Indulgent Brownie' is A Bit Over Priced for The Size. I would call it a 2.50. Cheers."
Compton’s Coffee House,"Jana,   Thank you so much for the amazing review, we’re so happy that you like our coffee and treats.  Please come back anytime :)  -Compton’s"
Compton’s Coffee House,Had a cold brew and lavender latte. Both were good! Lavender latte was a bit sweet for me. I’ll probably have it less sweet next time.
Compton’s Coffee House,The bacon cheddar scone was kinda trash but the hot americano was one of the best I’ve had in a while! I came for the coffee so the pastry was whatever.
Compton’s Coffee House,What a lovely place for coffee and pastries in the neighborhood. My standard black coffee and either the vegetarian or bacon scone are highly recommended. My only issues is that it had become a hangout for the remote workers so getting a seat to enjoy quiet moment with your coffee and treat can be challenging. Parklets have been replaced with a couple tables and chairs.
Compton’s Coffee House,"Chill spot with friendly staff, decent coffee and small pastries. They have outdoor parklets if the weather permits. The inside seating ain’t made for parties but has comfy seat pads.  Wifi if you are looking to hang for a little bit. Water bottles available for purchase with a few other random drinks."
Compton’s Coffee House,Great cortado. Absolutely love the vibe and it was a great place to get some work done. Friendly staff as well
