0,1
Cozy Cafe,"The wife found this place on Google maps....so glad she did. The service was exceptionally great, fast, and satisfying. 3 Beautifully Spirited Ladies running the place, and very accommodating. Food came to our table hot and ready to eat. Simply Delicious. Other customers coming in were obviously previous customers, very relaxing (cozy), in and out in minutes. A true taste of San Francisco (in my opinion)"
Cozy Cafe,"Great, simple, clean cafe and breakfast restaurant.  This is one of the few places post-pandemic that relies on providing good value for money and serving more customers rather than simply jacking up prices and hoping for the best.  I like the values they stand for, and their breakfast sandwiches:)."
Cozy Cafe,Great neighborhood place to eat in or take out. For me it's perfect for grabbing  homemade type sandwiches on my way to work or on a tight schedule and need something fast and inexpensive.
Cozy Cafe,"The french toast here is great, its not usually crowded, and the prices are half of any other breakfast place in sfo."
Cozy Cafe,"Simple, but very tasty breakfast options available: from bagel, cheese sandwich to pancakes or muffins. Staff is great and extremely friendly. Prices are fair. If you want some good food for a good price served by friendly staff - we can highly recommend this place. A lot of locals come around for their daily breakfast/snack routine."
Cozy Cafe,I have a Egg avocado tomato bagel and it's delicious..with Cafe Au Lai!!!
Cozy Cafe,this is a very nice cafe for breakfast with fair prices and delicious food
Cozy Cafe,"Tried the California bagel, with extra sunny side egg and a side of 3 pancakes. Yummy!"
Cozy Cafe,Microwaved breakfast products.croissant was buttery and crispy tho.
Cozy Cafe,"It is the ideal place for those who are in a hurry to work, but need to eat something fast. The price is good and service too."
Cozy Cafe,"Friendly place, good food and reasonable prices."
Cozy Cafe,very nice place with friendly staff.  tuna sandwich and bagel lox  are delicious!
Cozy Cafe,"This is a charming little space run by two very friendly women. The breakfast I had was fresh, simple , and very nicely prepared. Lastly, the price was very reasonable , I started my day here multiple times during my visit to SF."
Cozy Cafe,"Very friendly staff, breakfast was served quickly. We had eggs with bacon and sausage, no complaints there. Reasonably priced."
Cozy Cafe,Great service and good taste~ Clean environment
Cozy Cafe,Great food and the ladies there are the kindest people
Cozy Cafe,Incredibly nice staff & great service. Very affordable food & drinks. Great hidden spot right in downtown! Perfect for a quick breakfast/lunch or cheap coffee. There is inside & outside seating & to-go options as well. They will definitely cater to your preferences as possible. :) two very nice women running this joint!!!! Love to see it
Cozy Cafe,"Tiny itty bitty place, very friendly ladies running it.  Great place to grab a quick bite!"
Cozy Cafe,Amazing California bagel. Latte is okay. Great place overall 👍 …
Cozy Cafe,"Foods OK, bagel with egg and cheese for $4.25. About the same as I pay at Starbucks. Rushed, cramped, as friendly as a McDonald’s. It will do, but not much more than that."
Cozy Cafe,Very tasty! The best place ih this area
Cozy Cafe,The ladies here always know my order whether I call ahead or order in person. They make a great BLT or breakfast sandwhich. Great for a quick bite.
Cozy Cafe,"I highly recommend the Cozy Cafe! Wide selection of breakfasts, very delicious and the staff is very kind😊 …"
Cozy Cafe,We ate here almost everyday during our honeymoon. The girls behind the counter are so friendly and the food is absolutely delicious! We recommend the French toast and the San Francisco bagle! The OJ and the coffee are pretty amazing and the prices are very reasonable too!
Cozy Cafe,"Wouldn't ever want to have breakfast here again. Eggs and pancakes are low grade, and the price is no different than the cafe further down the block that serves at a much higher quality. The eggs are served from a container, which is why you only get the scrambled option. You clearly see them microwave most of their menu. NOT HOME COOKED, just cheap instant packaged produce"
Cozy Cafe,"Great place, great food, great staff, and good prices.  This is my new FAV breakfast spot."
