0,1
Equator Coffees,Espresso is smooth and not bitter!! I got the brainwash latte with oatmilk & caramel. It was very good. Not too sweet if that’s what you’re looking for. The glass all around the cafe is beautiful to look out.
Equator Coffees,"Great atmosphere, helpful staff and good music in the cafe. All the staff seemed to have a good time with each other. Great coffee and snacks (maple scone and banana toast). Needless to say the view is also priceless."
Equator Coffees,Amazing ambience! The view from the cafe is very pretty. The baristas were a little slow so our first two coffees were cold by the time we got them while the last one prepared was perfect temperature.
Equator Coffees,Great cafe with an amazing view of the bridge and ocean. It’s quite a serene cafe location though weekends can get super busy but worth the visit. Must try the everything croissant and special pour over blends.
Equator Coffees,"Finally found the cafe shop serves Matcha Latte without sugar, it’s pretty nice.Turkey panini also good, it a little bit small can’t full stomach but it’s tasty. Good view, good service. The reason why I give 4 stars because the food portion size is not quite sufficient, not equal to the prize."
Equator Coffees,"Walking across the Golden Gate Bridge sure builds an appetite. The Round House Cafe offers plenty of snacks to keep you on your feet. They have pastries, coffee, gelato and paninis. The EQ Ultimate Sub was an awesome first pick. Thank you."
Equator Coffees,"There was a line to place an order. Place had a nice atmosphere. Friendly staff, Asa was great, friendly, and our lattes were on point!!! Place could be a bit cleaner, but they were so busy!!!"
Equator Coffees,The coffee and view are amazing. The staff is friendly but slow. The lone was wrapped around the whole cafe.  The merchandise was not marked with the price so I didn't get it as I didn't want to wait in line again for nothing. Very limited parking so get ready to walk!
Equator Coffees,"A must-stop if you are in the area! Very affordable price, fast service, good food! And the best view of the Golden Gate Bridge! No public restrooms so do your business near the visitor center before coming :)"
Equator Coffees,"We stopped by just craving for a coffee and found this little café just on the south side of the Golden Gate Bridge at the visitor center. The view is amazing and if you want to stay to enjoy your coffee while overlooking the golden gate bride and Alcatraz it is the spot to be. The coffee is definitely ok as well, even though the americano was on the weak side. At least they know how to brew coffee and they have the proper equipment to do so. The cortado on the other hand was spot on👍🏻"
Equator Coffees,My ham and cheese croissant was given to someone else who ordered a vegetarian one. They took a bite out of it and then there were no more for them to give me one. They also gave me the wrong latte and when I asked about it they told me the milk tastes sweet when you heat the milk right. I swapped with my friend as I hate sweet coffee (we ordered the same drink) which confirmed they gave me the wrong coffee as hers was a regular latte (what I ordered). Requested a refund for my croissant which I didn’t receive and was told that it would be processed by the end of the day. I guess I just have to trust they’ll do it. Definitely didn’t deserve the tip I gave. If I had known I was getting nothing of what I ordered they wouldn’t have gotten a tip from me. I don’t understand tipping before a service is completed because this is the perfect example of this USA tipping system not working. Disappointing.
Equator Coffees,"Hello Alanna,  Thank you for visiting our cafe and for taking the time share your feedback.  We want everyone who visits our cafe to have a wonderful experience and in this instance we fell short of that goal.  I want to personally apologize and invite you back to any cafe for a beverage on us.  I hope that you will consider giving us a second chance.  If this is something that you would like to do, please let me know.  You can reach me directly at tmalouf@equatorcoffees.com.  Again, I'm really sorry.  Sincerely, Tina Malouf"
Equator Coffees,Well positioned for enjoyment while sitting outside the bridge and their drinks and food were tasty too.  It seemed like the place was busy but didn't feel packed if you were sitting by the window.
Equator Coffees,"Great views of the Golden Gate Bridge even on a foggy day, very reasonably priced food and drinks."
Equator Coffees,"I was a bit skeptical about this place because its on a very touristy place and it could be very expensive and could offer only fast food - but! What a pleasant surprise! Most of the options are super healthy, also Vegan options and prices are quite reasonable for the position. I was so happy to get their vegetarian bowl after a long walk."
Equator Coffees,Great spot to have a coffee or a snack and enjoy the Golden Gate Bridge view. They have both indoor and outdoor sitting.
Equator Coffees,"One of the best breakfasts with the view we have had in a while. The coffee, food, service, view were all excellent! Not too many people, surprisingly. Highly recommend!"
Equator Coffees,Great prices and decent seating area. Food was good and there’s good views of the bridge from the store while you eat.
Equator Coffees,"$10 for an 8oz cappuccino & an orange juice,not bed, friendly service, and the Best view ever at Golden gate bridge."
Equator Coffees,"It’s a busy cafe where you can drink and eat something with a nice view to the Golden Gate Bridge. The seatings near the glass are difficult to get on rush hours. It’s a busy coffee place and sometimes  some itens go out of stock, when I was there for example they run out of croissants. Prices are ok for such a touristic spot."
Equator Coffees,Very delicious sandwiches. EQ ULTIMATE was a 10.
Equator Coffees,"Great view, good food, friendly staff and bilingual  always a + on a turistic spot."
Equator Coffees,Wonderful coffee and priceless views of the golden gate bridge. No restrooms available at the cafe...but you can walk a few steps and public restrooms available near the visitor center.
Equator Coffees,Delicious latte. Excellent sandwich. Great location with an awesome view.
Equator Coffees,Nice spot. Great snacks. Prices are decent and you have a great view of the bridge.
Equator Coffees,"The have amazing fikka buns, and the latté was outstanding!"
Equator Coffees,"Expensive, personnel really friendly and the best view to eat a sandwich."
Equator Coffees,"A little expensive for such small portions, relatively fast, amazing view. That’s about it. Wouldn’t recommend getting coffee before the bridge, get it after."
Equator Coffees,"Fantastic coffee with an unbeatable view of the Golden Gate Bridge, a big selection of food to choose from too which I unfortunately had no time to try! A great stopping point if you’re walking the bridge or the trails around it."
Equator Coffees,Grilled cheese was fairly priced and tasty. Coffee was excellent and matched with a stunning view of the bridge. Limited gluten free options available.
Equator Coffees,Makes waiting for friends before a bike ride pleasurable. Recommend the espresso if your pregaming a bike ride. Comes with sparkling water.
