0,1
Fresh Brew Coffee,Great service and a wonderful menu selection. I was very comfortable in this cozy quinta space. The employees were very helpful and made my experience the best one since I was in San Francisco. It's on a block lined with trees and no homeless people around to spoil your eating experience 😉. The service is amazing. You're giving a number after you pay and place your order. There's sitting outside and inside. It is small but cozy and the food is amazing. Price are inexpensive 😄😄😄. I love this place and recommend it if you're in the union district or willing to travel 🧳.
Fresh Brew Coffee,"Been going here frequently for over a year and this is an establishment that you’ll feel great about supporting! The owners are so friendly, and really add to the neighborhood with their coffee shop and amazing Banh Mi sandwiches.  Everything is very fairly priced, the banh mi’s come with the best toasted bread I’ve ever had with these type of sandwiches (only around $8 too)! They have all day breakfast as well, and lots of coffee options.  These types of bodega style shops are rare outside of the east coast, so SF is very lucky to have this local hidden gem. I Love the bacon avocado Banh Mi the most 🥓. Stop by and see for yourself! 🥪"
Fresh Brew Coffee,Amazing price and food. It is very cozy and relaxing you forgot you were in San Francisco. Best customer service. In and outside sitting. A bit small but very welcoming 😊.
Fresh Brew Coffee,This little hole in the wall has some excellent Vietnamese style sandwiches. Took awhile but its freshly made. Cash only.
Fresh Brew Coffee,"This place was great. Very small and not too many tables to sit at but the food was delicious. very friendly staff. Got the turkey and veggie breakfast sandwich. Ingredients were fresh, took a few minutes to make it, but I'm happy to wait for fresh and delicious food. Vietnamese coffee was really good, nice kick in the morning to start your day. Highly recommend, inexpensive. They even let me order before they were officially open."
Fresh Brew Coffee,"Been here 2 days in a row on my vacation and will probably stop once more before we leave. The owners are so nice and attentive! Such great Vietnamese coffee (9/10) and their bagels (8.5/10), I know basic, but are so delicious. As someone who goes to Dunkin' for their bagels, FBC’s cream cheese and bagel itself, are very good and way better than Dunkin’s! Their pastries (8/10) are good too and sandwiches (8/10) are delish! Definitely recommend.  *They take cash (preferred), Venmo and CCs!"
Fresh Brew Coffee,Excellent breakfast sandwich and cappuccino.  Very busy which is always a good sign.  Small location and only a few tables and chairs but it's breakfast that can be ate while walking down the street.  Friendly service.
Fresh Brew Coffee,"Best bahn mi I’ve ever had. Balanced flavors, the bread is perfection. Crispy but not hard or chewy. Breakfast sausage was on point. Vietnamese coffee wasn’t too sweet or too bitter, just perfect. We paid under $20 for the sandwiches and coffee"
Fresh Brew Coffee,"Walked here from the Fairmont during our last stay for breakfast sandwiches and smoothies. Great food. Much better than what Fairmont had to offer for breakfast. We liked it so much, we ended up going back for lunch. The owner was really kind. My wife forgot to ask that her latte be made decaf, and he re-made it for her. It’s not fancy stuff, but it was just what we wanted. Hot, fresh, good quality, excellent service. This place earns its high start rating."
Fresh Brew Coffee,"Worst Vietnamese iced coffee. Very water down. Not sweet, no strong. Disappointed for Asian ran shop. Their sandwiches looks great! Didn’t get a chance to try."
Fresh Brew Coffee,Top 3 Viet sandwich I’ve had all time! Family that runs it are so sweet! My go to when I’m in the area now!
Fresh Brew Coffee,They have a great American style sausage egg n cheese bfast sandwich that is perfect for quick tasty fuel.  But someone recommend me the combo; now this is all I get. Say yes to the jalapeños.  The prices you cannot beat. Love these guys.
Fresh Brew Coffee,"One of the better banh mi I’ve had outside of Vietnam. Baguette was crispy on the outside, soft in the middle and served warm. The filling was solid, and you could taste a good amount of pate and vinegar from the pickles. Will def be back"
Fresh Brew Coffee,"EXCELLENT spot!! Extremely inexpensive for quality food. I can’t speak to the bagels (we’re from NJ so we don’t get bagels in other states) but the breakfast platters, hash browns, bacon, coffee, and espresso were amazing. There’s seating if you want to eat in. Very nice people working there and a lot of locals who you can tell love frequenting this place."
Fresh Brew Coffee,"Nice little place with an asiatic charme and great original cambodian Sandwiches (Banh Mi) but also American breakfast items. Cappuccino is great and nice conversation about Cambodian travels, experiences."
Fresh Brew Coffee,Very very nice latte which is best I try in SF. Fresh and so delicious snadwitches!!!
Fresh Brew Coffee,"This mom & pop coffee shop is the spot to go to for a quick bite.  Been coming for at least 7 year before the pandemic and their quality hasn't changed since.  They did upgrade the inside so it looks a lot nicer.  The couple that runs this spot are so sweet. I highly recommend you coming here if you're in the area.  Today I had their chicken & Avocado viet sandwich with extra Jalepeno, with a chai Latte with oat milk!  Probably the best chai latte I've had to date.  Come you won't regret it."
Fresh Brew Coffee,"Avocado bacon,my favourite one! Great place to eat breakfast"
Fresh Brew Coffee,Went there every morning for my last stay in San Francisco. The Vietnamese sandwiches are really tasty. The coffee isn't the greatest but gets the job done. The Avocado Báhn Mì is AMAZING! And it's really affordable aswell.
Fresh Brew Coffee,"We woke up craving Vietnamese iced coffee so we found this hole in the wall coffee shop and it was a great choice! Super friendly service and delicious banh mi (among other things!)—probably the best banh mi I’ve had, ever, and that’s saying a lot! The French bread is warmed up and crunchy on the outside and fluffy on the inside 😋 The Vietnamese iced coffee is very good also. Very small with 3 small tables inside and two tables outside. Looks like a small family owned business, definitely worth a visit if you’re in the area!"
