0,1
Hideaway Cafe,"Person working the store was really friendly and accommodating. The machine worked well and the coffee wasn't too bad either. Funny to say, I liked the atmosphere too!  I recommend coming here to get your laundry done or to just grab a quick bite and some coffee!"
Hideaway Cafe,Been a repeat customer for years and this place has best coffee and breakfast sandwiches in this part of Nob hill. Friendly staff and very reasonably priced. Also a great place to hang out while doing a load of laundry.
Hideaway Cafe,"You'll be pleasantly surprised to find one of the best coffees in such a hidden spot. I do my laundry here and always get a drink. It's strong enough where you don't need to ask for a second shot of espresso. And the stuff is so friendly and nice at all times! Great quality, taste and price! Love it!"
Hideaway Cafe,"The little hidden gem. Cozy space, best coffee, music and bites in the Lower Nob Hill neighborhood ❤️☕️🥯🎶✅ Hey, and it has new washing equipment 💦 …"
Hideaway Cafe,"This place is such a hidden gem. The barista was super nice and funny, and coffee and pastries were perfect. I got an iced salted caramel and matcha latte, and almond croissant. I might ask to decrease the sweetness next time, but thats on me. Can’t wait to try more things on their menu!"
Hideaway Cafe,"Awesome coffee ! I’m from Melbourne, Australia so used to good coffee and this coffee is good. Great service too."
Hideaway Cafe,"This place has a really nice cafe, cozy. Great place to meet up, it's called the Hide Away Cafe. The barista (Gigi) is gorgeous and friendly. The coffee is great, as well as the food. Reasonably priced."
Hideaway Cafe,"So dysfunctional, seems like nobody actually works here since no one's at the counter half the time I come here and the other half of the time they're messing up my order or the checkout system doesn't work lmao. & the bagels r stale and not good"
Hideaway Cafe,"Hi Sara, our baristas responsibilities also include assisting customers in the laundromat section, and socializing with the many tourists San Francisco receives, so it is by intention that they are not sitting idly at the cafe counter waiting for the next customer. I apologize for any order mishap, we keep a tight minimal menu to eliminate that possibility, and am surprised at the comment of the checkout system being down as it is a newer system that has a back up....so it should never not work. That being said if the neighborhood is having an internet issue, certain features like Apple pay may not be available at that time. And I apologize if our staff did not inform you that our bagels are not the hard, crispy New York style bagels you may have been expecting, as we use the softer sandwich style for flavor and sandwich integrity. Typically customers request extra toasted for that hard New York bagel experience."
Hideaway Cafe,"I had to do laundry tonight, desperately. This place was great really. Granted I was the only person there..but still. They have nice chairs and games and wifi and a change machine. Also a cafe next door and some corner stores nearby. More perks than I'm used to for sure, although you do pay for these conveniences. It's 3.75 per load and 0.25 for 6 minutes drying time. In the end I was totally fine with the additional cost (largely because of their generous hours). I left at 10:55pm with no hassle from anyone. Here's my view, exquisite."
Hideaway Cafe,"Traveling with family and I always wash mid trip, and before returning home. I used to wash up the road but decided to give this a try based on reviews. A much better experience here! The place is bright and the machines are clean. Even at 9 pm I felt safe. There were 3 other people also doing their wash at this time."
Hideaway Cafe,What an absolute gem. This is what makes SF special
