0,1
Home Coffee Roasters,"Home was the perfect spot to pick up a delicious latte and avocado toast while in town for the weekend. Our entire group went here and all 5 of us were very happy with what we got. The avocado toasts were great, definitely throw the fried egg on top. The holy cow latte was very good. Overall very satisfied with everything Home had to offer."
Home Coffee Roasters,I cannot recommend this place more highly. I stumbled upon this coffee shop during the pandemic and ever since I’ve been a regular customer. You really cannot go wrong with any of the items on the menu. I wanted to try something new and the Barista was so helpful in recommending me the Coconut Vanilla Latte which has become my new favorite. Also the latte art is always insanely beautiful. If you’re ever around the Finical District/Chinatown you have to check out Home Coffee. One of the best coffee shops in SF!
Home Coffee Roasters,"A lovely coffee shop that’s super close to Chinatown. Plenty of seating options to get some work done, read a book, or catch up with a friend. The prices are a bit steep (over $11 for a small latte and croissant), hence the 4 stars, but the quantity was generous and the quality of the coffee was wonderful."
Home Coffee Roasters,Super friendly little shop. Had a pour over (Ethiopian beans) and a toast. Both excelent. Kimchi and avocado harmonize perfectly on the sourdough toast with egg. A must try if you like kimchi! Absolutely great.
Home Coffee Roasters,I really like the place. Especially beverages are great. All coffee but different flavours and beautiful art. They make coffee right on the spot. Pretty and nice. Recommend. Btw coffee was so I didn’t have chance to take a picture
Home Coffee Roasters,"I found Home looking up best coffee in SF before my vacation. So I was delighted to finally come in person after following on Instagram for months. I started with the birthday cake latte which comes with rainbow latte art. It was a delicious, not overly sweet vanilla latte with gorgeous latte art.  Before leaving I wanted to try another drink since I knew I wouldn’t be back. I ordered the Cookie Monster latte and asked the barista if they do a cute animal and cookies like on Instagram. She said she’d make me something cute and she didn’t disappoint!!!  Service and products are delicious. Ambiance to this particular cafe is boring and uninviting. Little to no artwork and an industrial style with odd seating arrangements. This would be best to take on the go."
Home Coffee Roasters,Cute coffee shop in Chinatown that does lovely latte art. This place gets very busy with line ups out the door. I ordered a birthday cake latte which was beautifully decorated with latte art.
Home Coffee Roasters,"OMG, the birthday cake latte was the absolute best. I had this 9 days shy of my birthday, so I considered this my birthday coffee. ;) The churro mochi muffin was a little dry, so thank god for this delicious coffee to help go with the muffin.  I am so glad I tried this place before heading out of San Francisco."
Home Coffee Roasters,What a cute coffee shop! Came after a Barry’s class and got the Cookie Monster latte.  Good: - Unique lattes that just look aesthetic and cute - Cute inside area and nice friendly staff - Quick service and great to catch up with friends  Bad: - Not many chairs and the place isn’t super big  Overall loved the drinks and the vibe and would come back!
Home Coffee Roasters,"This is a hidden gem in SF for all those coffee lovers who are bored of the generic coffee shops all over the place. They have a variety of lattes. If you're a chocolate lover, you must try the Red velvet latte... The staff is very friendly and the ambience is great. You'd feel like you've entered a different world in the busy streets of San Francisco."
Home Coffee Roasters,"I’m normally a black coffee person, which I did have here and was also good, but the lattes here are actually amazing! Everyone who works here was great every day that I came in. They do beautiful latte art, the lattes are flavored a touch but not overly sweet, I tried a few of them and they were all amazing. The red velvet might have been my favorite, the birthday cake was also really good (vanilla with rainbow colors and sprinkles!)"
Home Coffee Roasters,"Definitely a chain in SF, but it feels like a specialty coffee place. The latte art is incredible here and the service is always good and there’s free self serve water. The Wi-Fi is strong and lots of people work there and there’s a huge table for people to work off and then there are nooks to sit in that make the place feel pretty homey."
Home Coffee Roasters,Above and beyond 🥲 the bunny in my delicious but not overly sweet coconut vanilla latte was sublime and my friends birthday cake latte also incredible 💓 will be coming back for sure. The ambiance was also just so inviting with the big windows and cozy corners. …
Home Coffee Roasters,"Let me start off by saying if you like sweet coffee, this is the place to go! I only have tried the birthday cake latte so far and it's 🥵👁️🫦👁️☀️💥🔥.  There are a lot of good treats that you would expect from a coffee shop and they do it right, both by the metrics of looks and taste. Avocado toast is where it's at for a quick healthy pick-me-up!  Atmosphere wise, it's a nicely designed coffee shop. Great aesthetic inside, but really didn't look like a coffee shop from the outside, was a little hard to see compared to the other shops in the china town district.  The staff there is nice and my gosh the barista who made my drink, the dude is an absolute artist. Given that it wasn't that busy, he really took his time making a masterpiece of my drink. The focus and attention to detail when creating the latte art was a sight and I was impressed by how detailed he was. Something as simple as making coffee was turned into an art form for me yesterday.  I'm excited to come back and try all the wonderful creations and flavors they have here. If you're an adventurous coffee connesiaur, Home Coffee Roasters is the shop for you!"
Home Coffee Roasters,Had a good cappuccino. Coffee and milk are well balanced. Service is great and beverages are served relatively fast. Barista could even remember my name while i’m leaving despite a busy morning. I’m impressed!
Home Coffee Roasters,Great quality coffee. Interesting flavours like coconut vanilla latte. Service was fast and friendly. Limited seating but great open feel with air circulating. Recommended.
Home Coffee Roasters,"Great friendly coffee shop with lots of different latte options. The latte art is so cute , it made my day. The buttery croissant was warm and flaky. Overall chill and friendly vibes."
Home Coffee Roasters,One of the best coffee places in town with sometimes really creative flavors. My personal favorite is their coconut vanilla latte. The cafe itself is really cute too - perfect for a catch-up or working remotely. May get a little loud during rush hour.
Home Coffee Roasters,Great coffee! Cool variety of creative drinks!! We loved this coffee shop and it definitely deserves 5 stars!! Love the homey vibe!!
Home Coffee Roasters,"Perfect cafe experience. Great atmosphere and staff, the coffee is stellar and the latte art is so cute. They don't drown their coffee in sweetener, there is a good balance between the milk/flavoring and the coffee itself. Their whole bean selection is great and the bag art is cool too. The owners clearly care about this place, it shows. Give it a try, you won't be disappointed."
Home Coffee Roasters,"Their croissant is really delicious especially when it’s warmed up!  They close really early during the day but doesn’t open until 7:30am so you only have a short amount of time period to get your coffee.  I ordered macchiato and it’s not latte macchiato, instead it’s espresso macchiato so expect a 3oz/small sized cup of coffee.  I give 4stars because it was better than the average but not ‘wow’ good."
Home Coffee Roasters,Their latte is really good! And latte art is very beautiful. They have couple of options and the staff is nice. Indoor atmosphere is very pleasing. There’s space to get some work done while enjoying a good latte.
Home Coffee Roasters,I was drawn in by the latte art and cute aesthetic and I stayed for the delicious drinks and toast. Avocado toast tasted fresh and bright. I got an iced caramel latte and my boyfriend got an iced chai. The staff were very friendly too!
Home Coffee Roasters,The guys there are amazing. The best coffee I had in my San Francisco visit. The cafe is so clean and pristine. The boys were so friendly with amazing. And what can I say about their amazing talent of the coffee art. They even asked my boy what he wants on his hot chocolate. I will definitely send all my friends from Australia whenever they visit San Francisco. Thank you so much for being so awesome.
Home Coffee Roasters,I technically didn't try out the food but there wasn't an option for just the coffee/drinks. The beans that they had was pure blissful. I had an Americano which is my go to. It was slightly sweet and settle a great roasted coffee. The smell was gentle and made my day with just the right caffeine in the morning. It didn't have any bitter taste at the end worth trying and supporting the local cafe shops. The place alone was cute and clean and the layout was quite and big. Plenty of space to sit with friends or even working on your laptop. My go to spot !!
